Size np Time Threads
20000 1 2.120711 64
20000 1 2.171789 64
20000 1 2.109404 64
20000 1 2.146230 64
20000 1 2.128903 64
20000 2 1.125074 64
20000 2 1.102216 64
20000 2 1.088511 64
20000 2 1.102759 64
20000 2 1.095223 64
20000 3 5.663832 64
20000 3 5.769830 64
20000 3 5.594894 64
20000 3 5.593614 64
20000 3 5.770547 64
20000 4 3.058156 64
20000 4 3.365422 64
20000 4 3.121506 64
20000 4 3.380637 64
20000 4 3.173151 64
20000 5 4.171121 64
20000 5 4.331649 64
20000 5 3.987261 64
20000 5 4.266338 64
20000 5 4.575741 64
20000 6 5.201261 64
20000 6 5.295119 64
20000 6 4.964935 64
20000 6 5.215862 64
20000 6 4.978804 64
