Size np Time Threads
5000 1 42.710112 1
5000 1 42.816725 1
5000 1 43.022032 1
5000 1 43.113772 1
5000 1 43.097909 1
7050.00 2 43.611170 1
7050.00 2 43.687455 1
7050.00 2 43.536146 1
7050.00 2 43.571835 1
7050.00 2 43.582333 1
8650.00 3 43.845456 1
8650.00 3 44.040558 1
8650.00 3 44.099795 1
8650.00 3 44.093206 1
8650.00 3 44.086289 1
10000.00 4 44.311299 1
10000.00 4 44.076422 1
10000.00 4 44.155140 1
10000.00 4 44.168741 1
10000.00 4 44.165179 1
11150.00 5 44.097873 1
11150.00 5 43.982856 1
11150.00 5 43.938451 1
11150.00 5 43.961320 1
11150.00 5 43.948503 1
12200.00 6 44.121154 1
12200.00 6 44.297194 1
12200.00 6 44.120639 1
12200.00 6 44.326300 1
12200.00 6 44.276313 1
