Size np Time Threads
5000 5 8.854315 1
5000 5 8.866671 1
5000 5 8.839477 1
5000 5 8.983645 1
5000 5 8.862913 1
5000 5 4.797253 2
5000 5 4.636155 2
5000 5 4.649499 2
5000 5 4.612113 2
5000 5 4.626173 2
5000 5 3.229606 3
5000 5 3.224860 3
5000 5 3.212100 3
5000 5 3.212564 3
5000 5 3.215923 3
5000 5 2.511148 4
5000 5 2.513714 4
5000 5 2.523699 4
5000 5 2.506619 4
5000 5 2.520867 4
5000 5 2.219963 5
5000 5 2.208424 5
5000 5 2.222904 5
5000 5 2.219176 5
5000 5 2.209251 5
5000 5 1.964709 6
5000 5 1.956795 6
5000 5 1.973655 6
5000 5 1.963557 6
5000 5 1.954459 6
5000 5 1.789098 7
5000 5 1.774695 7
5000 5 1.780486 7
5000 5 1.788014 7
5000 5 1.786283 7
5000 5 1.655678 8
5000 5 1.659548 8
5000 5 1.658572 8
5000 5 1.663370 8
5000 5 1.653423 8
5000 5 1.540356 9
5000 5 1.537660 9
5000 5 1.547934 9
5000 5 1.528847 9
5000 5 1.549654 9
5000 5 1.430022 10
5000 5 1.440958 10
5000 5 1.418447 10
5000 5 1.440235 10
5000 5 1.431897 10
5000 5 1.332555 11
5000 5 1.330788 11
5000 5 1.333388 11
5000 5 1.343070 11
5000 5 1.346775 11
5000 5 1.274394 12
5000 5 1.274413 12
5000 5 1.269335 12
5000 5 1.283780 12
5000 5 1.267790 12
5000 5 1.214943 13
5000 5 1.207772 13
5000 5 1.210479 13
5000 5 1.214330 13
5000 5 1.211279 13
5000 5 1.164143 14
5000 5 1.144326 14
5000 5 1.144101 14
5000 5 1.144419 14
5000 5 1.154934 14
5000 5 1.108356 15
5000 5 1.113576 15
5000 5 1.111200 15
5000 5 1.108208 15
5000 5 1.102504 15
5000 5 1.064791 16
5000 5 1.101880 16
5000 5 1.085493 16
5000 5 1.053096 16
5000 5 1.071068 16
5000 5 1.035264 17
5000 5 1.028348 17
5000 5 1.032885 17
5000 5 1.037691 17
5000 5 1.052565 17
5000 5 1.012128 18
5000 5 1.026718 18
5000 5 1.006812 18
5000 5 1.016185 18
5000 5 1.018789 18
5000 5 0.983172 19
5000 5 0.969854 19
5000 5 0.975789 19
5000 5 0.977872 19
5000 5 0.965927 19
5000 5 0.964215 20
5000 5 0.946821 20
5000 5 0.960144 20
5000 5 0.953601 20
5000 5 0.961955 20
5000 5 0.948173 21
5000 5 0.929774 21
5000 5 0.938090 21
5000 5 0.944184 21
5000 5 0.935513 21
5000 5 0.938250 22
5000 5 0.893684 22
5000 5 0.911974 22
5000 5 0.931040 22
5000 5 0.914327 22
5000 5 0.901647 23
5000 5 0.884867 23
5000 5 0.889649 23
5000 5 0.880268 23
5000 5 0.879859 23
5000 5 0.839252 24
5000 5 0.867331 24
5000 5 0.847990 24
5000 5 0.843298 24
5000 5 0.853567 24
5000 5 0.846856 25
5000 5 0.851320 25
5000 5 0.837027 25
5000 5 0.856220 25
5000 5 0.832466 25
5000 5 0.803693 26
5000 5 0.811382 26
5000 5 0.823645 26
5000 5 0.822748 26
5000 5 0.815535 26
5000 5 0.792611 27
5000 5 0.796545 27
5000 5 0.794086 27
5000 5 0.797520 27
5000 5 0.790760 27
5000 5 0.784560 28
5000 5 0.761518 28
5000 5 0.775926 28
5000 5 0.787000 28
5000 5 0.756213 28
5000 5 0.745760 29
5000 5 0.754090 29
5000 5 0.749467 29
5000 5 0.742252 29
5000 5 0.758083 29
5000 5 0.734032 30
5000 5 0.723815 30
5000 5 0.732191 30
5000 5 0.733949 30
5000 5 0.746336 30
5000 5 0.720721 31
5000 5 0.733103 31
5000 5 0.740741 31
5000 5 0.727812 31
5000 5 0.735550 31
5000 5 0.715157 32
5000 5 0.711889 32
5000 5 0.733787 32
5000 5 0.715127 32
5000 5 0.714383 32
5000 5 0.712747 33
5000 5 0.707862 33
5000 5 0.702808 33
5000 5 0.705434 33
5000 5 0.706582 33
5000 5 0.706679 34
5000 5 0.698612 34
5000 5 0.706358 34
5000 5 0.702024 34
5000 5 0.708771 34
5000 5 0.684543 35
5000 5 0.684266 35
5000 5 0.687319 35
5000 5 0.693558 35
5000 5 0.704854 35
5000 5 0.677963 36
5000 5 0.685753 36
5000 5 0.689691 36
5000 5 0.681991 36
5000 5 0.674742 36
5000 5 0.676199 37
5000 5 0.674571 37
5000 5 0.690929 37
5000 5 0.681851 37
5000 5 0.679361 37
5000 5 0.666455 38
5000 5 0.680979 38
5000 5 0.664777 38
5000 5 0.678526 38
5000 5 0.669732 38
5000 5 0.659615 39
5000 5 0.682579 39
5000 5 0.680559 39
5000 5 0.658768 39
5000 5 0.649354 39
5000 5 0.654102 40
5000 5 0.657696 40
5000 5 0.654501 40
5000 5 0.654977 40
5000 5 0.649408 40
5000 5 0.640203 41
5000 5 0.645170 41
5000 5 0.637371 41
5000 5 0.641446 41
5000 5 0.648798 41
5000 5 0.632984 42
5000 5 0.657691 42
5000 5 0.630854 42
5000 5 0.638433 42
5000 5 0.635956 42
5000 5 0.645242 43
5000 5 0.630197 43
5000 5 0.618993 43
5000 5 0.636457 43
5000 5 0.624930 43
5000 5 0.621113 44
5000 5 0.617134 44
5000 5 0.618384 44
5000 5 0.626079 44
5000 5 0.626630 44
5000 5 0.616556 45
5000 5 0.621059 45
5000 5 0.615676 45
5000 5 0.623684 45
5000 5 0.618624 45
5000 5 0.607046 46
5000 5 0.615307 46
5000 5 0.608978 46
5000 5 0.623002 46
5000 5 0.615716 46
5000 5 0.607421 47
5000 5 0.609711 47
5000 5 0.641351 47
5000 5 0.616988 47
5000 5 0.609628 47
5000 5 0.621754 48
5000 5 0.616538 48
5000 5 0.608427 48
5000 5 0.605285 48
5000 5 0.612183 48
5000 5 0.622288 49
5000 5 0.609007 49
5000 5 0.599536 49
5000 5 0.633125 49
5000 5 0.608164 49
5000 5 0.598722 50
5000 5 0.602653 50
5000 5 0.606731 50
5000 5 0.608453 50
5000 5 0.606336 50
5000 5 0.596728 51
5000 5 0.596167 51
5000 5 0.589394 51
5000 5 0.588397 51
5000 5 0.601077 51
5000 5 0.590838 52
5000 5 0.596064 52
5000 5 0.590068 52
5000 5 0.589834 52
5000 5 0.588995 52
5000 5 0.591425 53
5000 5 0.605866 53
5000 5 0.584237 53
5000 5 0.593967 53
5000 5 0.586751 53
5000 5 0.582190 54
5000 5 0.579821 54
5000 5 0.580387 54
5000 5 0.587522 54
5000 5 0.579450 54
5000 5 0.590192 55
5000 5 0.595038 55
5000 5 0.652476 55
5000 5 0.584305 55
5000 5 0.589278 55
5000 5 0.591312 56
5000 5 0.587312 56
5000 5 0.592855 56
5000 5 0.576167 56
5000 5 0.581101 56
5000 5 0.581734 57
5000 5 0.603295 57
5000 5 0.572137 57
5000 5 0.573954 57
5000 5 0.567937 57
5000 5 0.577188 58
5000 5 0.570757 58
5000 5 0.561893 58
5000 5 0.587346 58
5000 5 0.582587 58
5000 5 0.576400 59
5000 5 0.571248 59
5000 5 0.577668 59
5000 5 0.570848 59
5000 5 0.570096 59
5000 5 0.589405 60
5000 5 0.584437 60
5000 5 0.575155 60
5000 5 0.574616 60
5000 5 0.581046 60
5000 5 0.561855 61
5000 5 0.568332 61
5000 5 0.569088 61
5000 5 0.558603 61
5000 5 0.564358 61
5000 5 0.560298 62
5000 5 0.555028 62
5000 5 0.555108 62
5000 5 0.562632 62
5000 5 0.561135 62
5000 5 0.586165 63
5000 5 0.557217 63
5000 5 0.565161 63
5000 5 0.583090 63
5000 5 0.558937 63
5000 5 0.558819 64
5000 5 0.563755 64
5000 5 0.555599 64
5000 5 0.554297 64
5000 5 0.553951 64
