Size np Time Threads
1000 1 43.185316 1
1000 1 43.685872 1
1000 1 42.802942 1
1000 1 42.936945 1
1000 1 42.868288 1
1000 2 22.256630 1
1000 2 21.682963 1
1000 2 21.808671 1
1000 2 21.922358 1
1000 2 22.405910 1
1000 3 32.612668 1
1000 3 32.325837 1
1000 3 33.088626 1
1000 3 33.129705 1
1000 3 32.522975 1
1000 4 24.368183 1
1000 4 24.025902 1
1000 4 23.680408 1
1000 4 23.760600 1
1000 4 23.587086 1
1000 5 28.228108 1
1000 5 28.094921 1
1000 5 27.906912 1
1000 5 28.032099 1
1000 5 28.075888 1
1000 6 24.872991 1
1000 6 24.750059 1
1000 6 24.995407 1
1000 6 25.000748 1
1000 6 24.784993 1
