Size np Time Threads
5000 1 5.712991 12
5000 1 5.711007 12
5000 1 5.710764 12
5000 1 5.711593 12
5000 1 5.706111 12
5000 2 2.987049 12
5000 2 3.003319 12
5000 2 3.009921 12
5000 2 2.989670 12
5000 2 3.010872 12
5000 3 7.935473 12
5000 3 7.971440 12
5000 3 8.514999 12
5000 3 7.930899 12
5000 3 8.132357 12
5000 4 5.503475 12
5000 4 5.534369 12
5000 4 5.458479 12
5000 4 5.519084 12
5000 4 5.446621 12
5000 5 6.689444 12
5000 5 6.545274 12
5000 5 6.729781 12
5000 5 6.579054 12
5000 5 6.930029 12
5000 6 7.369363 12
5000 6 7.013905 12
5000 6 7.345263 12
5000 6 7.112969 12
5000 6 7.406981 12
