Size np Time Threads
5000 1 43.856065 1
5000 1 43.860021 1
5000 1 43.861277 1
5000 1 43.854164 1
5000 1 43.847825 1
7050.00 2 44.407949 1
7050.00 2 44.649495 1
7050.00 2 44.646300 1
7050.00 2 44.625758 1
7050.00 2 44.626854 1
8650.00 3 44.822521 1
8650.00 3 44.876495 1
8650.00 3 44.913895 1
8650.00 3 44.876048 1
8650.00 3 44.873607 1
10000.00 4 45.123823 1
10000.00 4 44.966119 1
10000.00 4 44.964515 1
10000.00 4 44.970521 1
10000.00 4 44.936194 1
11150.00 5 45.578800 1
11150.00 5 45.144484 1
11150.00 5 45.138577 1
11150.00 5 45.163696 1
11150.00 5 45.149207 1
12200.00 6 45.503972 1
12200.00 6 45.554578 1
12200.00 6 45.482960 1
12200.00 6 45.462785 1
12200.00 6 45.565040 1
