Size np Time Threads
5000 6 7.375835 1
5000 6 7.440477 1
5000 6 7.462242 1
5000 6 7.429945 1
5000 6 7.447136 1
5000 6 3.999310 2
5000 6 3.981016 2
5000 6 3.984994 2
5000 6 3.978491 2
5000 6 3.983362 2
5000 6 2.809131 3
5000 6 2.812107 3
5000 6 2.819954 3
5000 6 2.821317 3
5000 6 2.818788 3
5000 6 2.237504 4
5000 6 2.230380 4
5000 6 2.233005 4
5000 6 2.239992 4
5000 6 2.232691 4
5000 6 1.877009 5
5000 6 1.889394 5
5000 6 1.902800 5
5000 6 1.873788 5
5000 6 1.890877 5
5000 6 1.654033 6
5000 6 1.658181 6
5000 6 1.649174 6
5000 6 1.663349 6
5000 6 1.652307 6
5000 6 1.484508 7
5000 6 1.471792 7
5000 6 1.476944 7
5000 6 1.476558 7
5000 6 1.489283 7
5000 6 1.358582 8
5000 6 1.349901 8
5000 6 1.354654 8
5000 6 1.371594 8
5000 6 1.368120 8
5000 6 1.249401 9
5000 6 1.273525 9
5000 6 1.246035 9
5000 6 1.255727 9
5000 6 1.265247 9
5000 6 1.180396 10
5000 6 1.196255 10
5000 6 1.203317 10
5000 6 1.177436 10
5000 6 1.187796 10
5000 6 1.120492 11
5000 6 1.122983 11
5000 6 1.111997 11
5000 6 1.122636 11
5000 6 1.108913 11
5000 6 1.070889 12
5000 6 1.067960 12
5000 6 1.060325 12
5000 6 1.056659 12
5000 6 1.049250 12
