cores,exTime,gflops
1,42.575707,,46.975145
1,42.637684,,46.906863
1,42.309270,,47.270964
2,21.881803,,91.400146
2,21.788421,,91.791875
2,21.871315,,91.443974
3,15.026130,,133.101473
3,15.032314,,133.046717
3,15.106914,,132.389714
4,11.751259,,170.194528
4,11.739749,,170.361399
4,11.761900,,170.040562
5,9.487535,,210.802911
5,9.506759,,210.376628
5,9.452463,,211.585076
6,8.191202,,244.164403
6,8.147307,,245.479878
6,8.204882,,243.757321
7,6.510670,,307.188068
7,6.525339,,306.497495
7,6.527203,,306.409974
8,5.871608,,340.622207
8,5.840969,,342.408960
8,5.874754,,340.439795
9,5.645344,,354.274220
9,5.650126,,353.974397
9,5.663009,,353.169155
10,5.273604,,379.247301
10,5.257100,,380.437911
10,5.273105,,379.283202
11,4.205525,,475.564834
11,4.234664,,472.292491
11,4.234149,,472.349923
12,4.194632,,476.799882
12,4.200617,,476.120551
12,4.199396,,476.258954
13,4.202097,,475.952831
13,4.199830,,476.209717
13,4.194952,,476.763507
14,3.961939,,504.803318
14,3.964315,,504.500781
14,4.054222,,493.312928
15,3.803576,,525.820987
15,3.793644,,527.197653
15,3.792458,,527.362433
16,3.137877,,637.373636
16,3.151202,,634.678431
16,3.136637,,637.625588
17,3.136700,,637.612826
17,3.127859,,639.415063
17,3.133874,,638.187839
18,3.186222,,627.702555
18,3.205750,,623.879012
18,3.197246,,625.538417
19,3.204833,,624.057570
19,3.210168,,623.020258
19,3.197290,,625.529700
20,2.596610,,770.235049
20,2.593097,,771.278610
20,2.584820,,773.748207
21,2.956039,,676.581043
21,2.955303,,676.749450
21,2.976862,,671.848335
22,2.874786,,695.703972
22,2.852271,,701.195615
22,2.852823,,701.060031
23,2.841960,,703.739742
23,2.856695,,700.109864
23,2.847780,,702.301339
24,2.574663,,776.800741
24,2.535355,,788.844306
24,2.538674,,787.812772
25,2.451463,,815.839416
25,2.453868,,815.039650
25,2.441420,,819.195408
26,2.643416,,756.596899
26,2.639185,,757.809770
26,2.644627,,756.250401
27,2.314152,,864.247311
27,2.331456,,857.833196
27,2.302193,,868.737070
28,2.291005,,872.979205
28,2.287841,,874.186449
28,2.290409,,873.206573
29,2.318210,,862.734702
29,2.277195,,878.273524
29,2.299030,,869.932111
30,2.288153,,874.067317
30,2.288718,,873.851515
30,2.297818,,870.390892
31,2.282198,,876.348042
