cores,exTime,gflops
1,43.610599,,45.860411
1,43.154178,,46.345454
1,43.243058,,46.250198
2,22.121825,,90.408455
2,22.233274,,89.955262
2,22.075304,,90.598979
3,14.784117,,135.280312
3,14.856418,,134.621955
3,14.772525,,135.386469
4,11.345341,,176.283809
4,11.270011,,177.462115
4,11.326143,,176.582626
5,8.932246,,223.907862
5,8.969175,,222.985960
5,8.855881,,225.838631
6,7.536302,,265.382150
6,7.474357,,267.581547
6,7.457794,,268.175807
7,6.447621,,310.191919
7,6.483594,,308.470884
7,6.456541,,309.763377
8,5.860767,,341.252250
8,5.805368,,344.508712
8,5.883405,,339.939196
9,5.248115,,381.089223
9,5.234245,,382.099008
9,5.262589,,380.041054
10,4.853298,,412.090908
10,4.851225,,412.266972
10,4.877772,,410.023254
11,4.548549,,439.700687
11,4.524034,,442.083351
11,4.529366,,441.562859
12,4.272785,,468.078744
12,4.224335,,473.447272
12,4.262515,,469.206567
13,4.058022,,492.851006
13,4.081705,,489.991334
13,4.061384,,492.443024
14,3.862121,,517.850114
14,3.876670,,515.906680
14,3.866595,,517.250923
15,3.714128,,538.484412
15,3.736697,,535.232040
15,3.707021,,539.516703
16,3.930239,,508.874923
16,3.922260,,509.910167
16,3.940663,,507.528794
17,3.540498,,564.892263
17,3.547218,,563.822142
17,3.605812,,554.660111
18,3.645832,,548.571597
18,3.673010,,544.512533
18,3.647289,,548.352432
19,3.403651,,587.604365
19,3.442713,,580.937174
19,3.388054,,590.309299
20,3.698092,,540.819398
20,3.689679,,542.052608
20,3.718390,,537.867210
21,3.308280,,604.543759
21,3.312514,,603.771085
21,3.280107,,609.736171
22,3.540574,,564.880234
22,3.517635,,568.563784
22,3.533597,,565.995546
23,3.059901,,653.615977
23,3.152933,,634.329964
23,3.160978,,632.715669
24,3.604137,,554.917832
24,3.622506,,552.103961
24,3.610561,,553.930600
25,3.148354,,635.252678
25,3.158697,,633.172514
25,3.166829,,631.546574
26,3.418919,,584.980288
26,3.419153,,584.940116
26,3.431211,,582.884651
27,2.980103,,671.117723
27,3.041508,,657.568464
27,3.057186,,654.196365
28,3.531529,,566.326950
28,3.527517,,566.971043
28,3.536775,,565.486937
29,3.027368,,660.639842
29,3.030328,,659.994460
29,3.026675,,660.791056
30,3.294470,,607.077982
30,3.318222,,602.732414
30,3.306834,,604.808193
31,2.931999,,682.128455
31,2.933383,,681.806726
31,2.962113,,675.193758
32,3.466052,,577.025324
32,3.465611,,577.098834
32,3.452211,,579.338865
33,2.947557,,678.528128
33,3.008904,,664.693874
33,2.986137,,669.761673
34,3.287691,,608.329665
34,3.288444,,608.190384
34,3.289266,,608.038379
35,2.936900,,680.990227
35,2.925638,,683.611666
35,2.925182,,683.718226
36,3.431620,,582.815067
36,3.441769,,581.096465
36,3.452816,,579.237417
37,2.933351,,681.814075
37,2.978360,,671.510531
37,2.941117,,680.013689
38,3.233159,,618.589993
38,3.251006,,615.194264
38,3.231991,,618.813569
39,2.934224,,681.611146
39,2.944382,,679.259639
39,2.934529,,681.540311
40,3.406453,,587.121054
40,3.414901,,585.668513
40,3.396702,,588.806367
41,2.912779,,686.629496
41,2.963888,,674.789396
41,2.922455,,684.356103
42,3.205834,,623.862680
42,3.224964,,620.161998
42,3.201446,,624.717779
43,2.985452,,669.915373
43,2.956905,,676.382972
43,2.957920,,676.150711
44,3.404954,,587.379363
44,3.408404,,586.784896
44,3.419677,,584.850578
45,2.932539,,682.002865
45,2.943848,,679.382892
45,2.936662,,681.045250
46,3.166417,,631.628648
46,3.188835,,627.188334
46,3.210230,,623.008340
47,2.934633,,681.516176
47,2.927615,,683.149874
47,2.944244,,679.291519
48,3.419796,,584.830126
48,3.426570,,583.674134
48,3.493810,,572.440902
49,2.938085,,680.715491
49,2.918018,,685.396846
49,2.921772,,684.515996
50,3.186514,,627.645224
50,3.179781,,628.974157
50,3.209209,,623.206548
51,3.069283,,651.617964
51,3.073520,,650.719765
51,2.976622,,671.902610
52,3.465015,,577.198120
52,3.494345,,572.353396
52,3.459123,,578.181213
53,3.060476,,653.493011
53,3.074396,,650.534364
53,3.092999,,646.621591
54,3.244612,,616.406467
54,3.230717,,619.057616
54,3.218977,,621.315315
55,3.134737,,638.012109
55,3.165866,,631.738606
55,3.150888,,634.741644
56,3.053578,,654.969347
56,3.553883,,562.764767
56,3.492576,,572.643299
57,3.092077,,646.814443
57,3.163384,,632.234355
57,3.139098,,637.125645
58,3.198881,,625.218616
58,3.204317,,624.158065
58,3.203731,,624.272041
59,3.133264,,638.312020
59,3.091652,,646.903430
59,3.105692,,643.978955
60,3.491551,,572.811379
60,3.509866,,569.822390
60,3.493540,,572.485252
61,3.446685,,580.267723
61,3.196435,,625.697088
61,3.142959,,636.342925
62,3.200232,,624.954691
62,3.224730,,620.207057
62,3.393168,,589.419608
63,2.777613,,720.042682
63,3.076500,,650.089469
63,3.241021,,617.089451
64,3.506508,,570.367969
64,3.504018,,570.773334
64,3.474070,,575.693691
65,3.107051,,643.697218
65,3.165502,,631.811408
65,3.235524,,618.137808
66,3.229309,,619.327574
66,3.183360,,628.267075
66,3.194216,,626.131681
67,3.280091,,609.739153
67,3.282726,,609.249665
67,3.215593,,621.969195
68,3.477362,,575.148653
68,3.509341,,569.907496
68,3.470570,,576.274271
69,3.098283,,645.518865
69,3.127116,,639.566846
69,3.182970,,628.343990
70,3.394724,,589.149504
70,3.296222,,606.755253
70,3.321774,,602.087943
71,3.336492,,599.431898
71,3.316146,,603.109741
71,3.308370,,604.527214
72,3.461190,,577.835890
72,3.495240,,572.206727
72,3.453230,,579.167979
73,3.337768,,599.202805
73,3.250024,,615.380157
73,3.247420,,615.873608
74,3.367691,,593.878691
74,3.341570,,598.521140
74,3.355817,,595.980032
75,3.284581,,608.905632
75,3.359585,,595.311675
75,3.187247,,627.500872
76,3.510994,,569.639249
76,3.521807,,567.890345
76,3.502975,,570.943222
77,3.276191,,610.465004
77,3.274010,,610.871624
77,3.299435,,606.164433
78,3.387296,,590.441491
78,3.402066,,587.877994
78,3.351883,,596.679527
79,3.358229,,595.552061
79,3.357230,,595.729261
79,3.414319,,585.768294
80,3.694574,,541.334377
80,3.581925,,558.359031
80,3.709516,,539.153895
81,3.276823,,610.347318
81,3.221635,,620.802800
81,3.264212,,612.705330
82,3.266944,,612.192831
82,3.301931,,605.706136
82,2.762895,,723.878468
83,3.247185,,615.918151
83,3.269243,,611.762435
83,3.242461,,616.815526
84,3.529280,,566.687885
84,3.540380,,564.911088
84,3.533321,,566.039745
85,3.176063,,629.710440
85,3.176194,,629.684376
85,3.262832,,612.964435
86,3.313459,,603.598784
86,3.295244,,606.935295
86,3.328913,,600.796721
87,3.308336,,604.533522
87,3.342115,,598.423519
87,3.257686,,613.932722
88,3.592802,,556.668621
88,3.122001,,640.614773
88,3.564860,,561.031847
89,3.315919,,603.151015
89,3.241286,,617.039103
89,3.296114,,606.775057
90,3.326128,,601.299736
90,3.345133,,597.883538
90,3.333693,,599.935186
91,3.345178,,597.875430
91,3.302772,,605.551895
91,3.311323,,603.988250
92,3.572773,,559.789351
92,3.604407,,554.876224
92,3.582374,,558.288993
93,3.287119,,608.435525
93,3.349065,,597.181539
93,3.296240,,606.751988
94,3.370922,,593.309490
94,3.361861,,594.908526
94,3.364690,,594.408317
95,3.355821,,595.979283
95,3.368726,,593.696323
95,3.328672,,600.840227
96,3.606159,,554.606693
96,3.608588,,554.233400
96,3.607292,,554.432532
97,3.456712,,578.584483
97,3.402206,,587.853867
97,3.414145,,585.798203
98,3.413121,,585.973932
98,3.411430,,586.264470
98,3.414483,,585.740172
99,3.394775,,589.140672
99,3.365702,,594.229712
99,3.402220,,587.851405
100,3.634907,,550.220443
100,3.650794,,547.826084
100,3.631858,,550.682307
101,3.327449,,601.061082
101,3.489509,,573.146459
101,3.451801,,579.407600
102,3.382474,,591.283128
102,3.401954,,587.897366
102,3.378340,,592.006651
103,3.361818,,594.916147
103,3.438124,,581.712507
103,3.408709,,586.732397
104,3.639179,,549.574540
104,3.639991,,549.451932
104,3.664396,,545.792533
105,3.601363,,555.345221
105,3.620883,,552.351382
105,3.610645,,553.917729
106,3.477229,,575.170654
106,3.459256,,578.159030
106,3.458145,,578.344804
107,3.594850,,556.351387
107,3.468178,,576.671687
107,3.575338,,559.387732
108,3.711006,,538.937459
108,3.689064,,542.142930
108,3.681962,,543.188685
109,3.484736,,573.931555
109,3.519196,,568.311597
109,3.526072,,567.203342
110,3.498748,,571.633035
110,3.469845,,576.394633
110,3.470734,,576.247043
111,3.567007,,560.694211
111,3.607816,,554.352063
111,3.590219,,557.069064
112,3.691168,,541.833977
112,3.707703,,539.417526
112,3.725969,,536.773148
113,3.645818,,548.573767
113,3.587623,,557.472202
113,3.697337,,540.929803
114,3.554494,,562.668036
114,3.499505,,571.509444
114,3.501159,,571.239366
115,3.572369,,559.852607
115,3.832260,,521.885323
115,3.592446,,556.723714
116,3.704867,,539.830485
116,3.703236,,540.068207
116,3.719004,,537.778374
117,3.547765,,563.735191
117,3.646925,,548.407287
117,3.422139,,584.429715
118,3.609256,,554.130844
118,3.557442,,562.201733
118,3.533416,,566.024479
119,3.405497,,587.285875
119,3.713310,,538.603047
119,3.634574,,550.270885
120,3.747187,,533.733696
120,3.745667,,533.950236
120,3.751451,,533.127063
121,3.903497,,512.361131
121,3.781415,,528.902525
121,3.860138,,518.116167
122,3.561506,,561.560210
122,3.627013,,551.417947
122,3.589444,,557.189399
123,3.701246,,540.358577
123,3.906633,,511.949797
123,3.705433,,539.747974
124,3.769742,,530.540316
124,3.767634,,530.837064
124,3.808495,,525.141774
