cores,exTime,gflops
1,42.407659,,47.161292
1,42.424811,,47.142225
1,42.341675,,47.234787
2,21.612298,,92.539907
2,21.699568,,92.167734
2,21.517319,,92.948382
3,14.432398,,138.577106
3,14.453297,,138.376727
3,14.512176,,137.815308
4,10.835257,,184.582600
4,10.836201,,184.566522
4,10.800531,,185.176074
5,8.584254,,232.984725
5,8.552194,,233.858124
5,8.576017,,233.208483
6,7.307934,,273.675170
6,7.288219,,274.415474
6,7.335589,,272.643408
7,6.397540,,312.620139
7,6.379569,,313.500808
7,6.378044,,313.575759
8,5.615568,,356.152760
8,5.600348,,357.120682
8,5.610439,,356.478375
9,5.120244,,390.606385
9,5.115355,,390.979735
9,5.111386,,391.283274
10,4.618900,,433.003499
10,4.625286,,432.405718
10,4.623568,,432.566374
11,4.405511,,453.976839
11,4.393072,,455.262288
11,4.382695,,456.340217
12,3.999755,,500.030676
12,3.993056,,500.869476
12,3.968638,,503.951225
13,3.702564,,540.166149
13,3.688902,,542.166692
13,3.684327,,542.840006
14,3.589195,,557.228061
14,3.596714,,556.063155
14,3.608079,,554.311523
15,3.430916,,582.934759
15,3.437230,,581.863932
15,3.423875,,584.133544
16,3.160448,,632.821617
16,3.153645,,634.186698
16,3.143416,,636.250419
17,3.105277,,644.064977
17,3.122619,,640.488097
17,3.087781,,647.714376
18,2.981722,,670.753241
18,2.981177,,670.876038
18,2.979310,,671.296267
19,2.917314,,685.562123
19,2.905311,,688.394431
19,2.909606,,687.378218
20,2.595042,,770.700331
20,2.595770,,770.484309
20,2.597876,,769.859653
21,2.601072,,768.913815
21,2.582190,,774.536387
21,2.594668,,770.811615
22,2.494430,,801.786226
22,2.494251,,801.844049
22,2.505794,,798.150223
23,2.386281,,838.124089
23,2.395721,,834.821892
23,2.356144,,848.844595
24,2.291630,,872.741408
24,2.293752,,871.933896
24,2.283347,,875.907204
25,2.304556,,867.846075
25,2.296236,,870.990424
25,2.291955,,872.617601
26,2.296502,,870.889668
26,2.299018,,869.936567
26,2.296850,,870.757866
27,2.303593,,868.208762
27,2.307526,,866.729267
27,2.310352,,865.669067
28,2.217236,,902.024138
28,2.220083,,900.867033
28,2.216395,,902.366286
29,2.272695,,880.012448
29,2.269951,,881.076316
29,2.276389,,878.584646
30,2.232741,,895.759880
30,2.226471,,898.282593
30,2.227383,,897.914846
31,2.224404,,899.117175
31,2.170100,,921.616422
31,2.226643,,898.213059
32,2.234350,,895.114865
32,2.257233,,886.040421
32,2.243238,,891.568436
33,2.262211,,884.090745
33,2.248617,,889.435449
33,2.272147,,880.224895
34,2.248415,,889.515673
34,2.257346,,885.996212
34,2.277279,,878.240921
35,2.312774,,864.762296
35,2.268231,,881.744505
35,2.280196,,877.117621
36,2.278463,,877.784555
36,2.288162,,874.063825
36,2.273673,,879.633854
37,2.292782,,872.302919
37,2.275836,,878.798071
37,2.210582,,904.738913
38,2.284474,,875.475137
38,2.206215,,906.530059
38,2.281165,,876.745148
39,2.267812,,881.907478
39,2.264393,,883.238812
39,2.263202,,883.703590
40,2.279042,,877.561680
40,2.167799,,922.594782
40,2.288714,,873.853093
41,2.289300,,873.629459
41,2.283706,,875.769519
41,2.246153,,890.411168
42,2.319803,,862.142029
42,2.303255,,868.336205
42,2.306686,,867.044785
43,2.289223,,873.658707
43,2.281856,,876.479535
43,2.273854,,879.563902
44,2.268511,,881.635641
44,2.248599,,889.442807
44,2.278767,,877.667468
45,2.216946,,902.141889
45,2.261404,,884.406140
45,2.274619,,879.268307
46,2.193808,,911.656874
46,2.241435,,892.285356
46,2.225726,,898.583080
47,2.268928,,881.473387
47,2.255894,,886.566372
47,2.271730,,880.386131
48,2.220177,,900.829080
48,2.253034,,887.692014
48,2.210789,,904.654216
49,2.275714,,878.845047
49,2.269132,,881.394353
49,2.267018,,882.216149
50,2.315299,,863.819279
50,2.257868,,885.791189
50,2.291604,,872.751310
51,2.326426,,859.687714
51,2.292265,,872.499379
51,2.352438,,850.181777
52,2.355257,,849.164159
52,2.370340,,843.760894
52,2.372140,,843.120686
53,2.421715,,825.860916
53,2.420213,,826.373695
53,2.437261,,820.593319
54,2.377618,,841.178124
54,2.346400,,852.369675
54,2.416818,,827.534346
55,2.427240,,823.981123
55,2.426228,,824.324882
55,2.514240,,795.469159
56,2.506466,,797.936124
56,2.491435,,802.750291
56,2.442880,,818.705835
57,2.499179,,800.262801
57,2.410385,,829.743100
57,2.459027,,813.329935
58,2.410484,,829.709027
58,2.453630,,815.118853
58,2.519736,,793.733855
59,2.446322,,817.553930
59,2.398448,,833.872590
59,2.458938,,813.359181
60,2.419865,,826.492273
60,2.494091,,801.895379
60,2.440144,,819.623618
61,2.542018,,786.776533
61,2.449131,,816.616213
61,2.506679,,797.868306
62,2.454183,,814.935071
62,2.458957,,813.353108
