cores,exTime,gflops
1,20.565558,,97.249977
1,20.581326,,97.175470
1,20.644830,,96.876555
2,10.520220,,190.110091
2,10.557987,,189.430042
2,10.547586,,189.616842
3,7.112512,,281.194619
3,7.099938,,281.692595
3,7.102292,,281.599255
4,5.433094,,368.114368
4,5.419709,,369.023524
4,5.447250,,367.157729
5,4.376000,,457.038362
5,4.287924,,466.426145
5,4.303695,,464.716939
6,3.722034,,537.340589
6,3.711519,,538.862964
6,3.714549,,538.423385
7,3.088494,,647.564756
7,3.079098,,649.540767
7,3.080359,,649.274994
8,2.729897,,732.628319
8,2.731146,,732.293300
8,2.746436,,728.216529
9,2.515646,,795.024417
9,2.519690,,793.748508
9,2.520293,,793.558524
10,2.403545,,832.104230
10,2.376752,,841.484637
10,2.381237,,839.899621
11,2.134586,,936.949907
11,2.147153,,931.466161
11,2.157863,,926.842816
12,1.941189,,1030.296261
12,1.940150,,1030.848165
12,1.941842,,1029.950000
13,1.942572,,1029.563079
13,1.924433,,1039.267235
13,1.941848,,1029.946802
14,1.806639,,1107.028107
14,1.808634,,1105.807135
14,1.812625,,1103.372089
15,1.686421,,1185.943694
15,1.687218,,1185.383149
15,1.684616,,1187.213886
16,1.524162,,1312.196281
16,1.523394,,1312.857729
16,1.516673,,1318.675692
17,1.537591,,1300.736157
17,1.543266,,1295.953089
17,1.535099,,1302.847440
18,1.437973,,1390.846605
18,1.427110,,1401.434105
18,1.422972,,1405.508920
19,1.431208,,1397.420961
19,1.424287,,1404.210978
19,1.413393,,1415.034202
20,1.310162,,1526.528786
20,1.300325,,1538.077556
20,1.315755,,1520.039749
21,1.312639,,1523.648026
21,1.302445,,1535.573948
21,1.310255,,1526.419865
22,1.307367,,1529.792689
22,1.303709,,1534.085010
22,1.306589,,1530.703522
23,1.306774,,1530.486538
23,1.321904,,1512.969334
23,1.305380,,1532.121200
24,1.221206,,1637.724763
24,1.196326,,1671.785581
24,1.186289,,1685.929487
25,1.175998,,1700.683315
25,1.183026,,1690.579594
25,1.180978,,1693.511798
26,1.223328,,1634.884195
26,1.223078,,1635.218056
26,1.224222,,1633.690537
27,1.178565,,1696.979418
27,1.187250,,1684.564535
27,1.168116,,1712.158737
28,1.174199,,1703.289162
28,1.169898,,1709.550158
28,1.172170,,1706.236997
29,1.173688,,1704.029936
29,1.170108,,1709.243984
29,1.172418,,1705.876728
30,1.142589,,1750.410865
30,1.142257,,1750.919357
30,1.151306,,1737.157138
31,1.141666,,1751.825745
31,1.148899,,1740.797230
31,1.132716,,1765.667580
32,1.191790,,1678.148558
32,1.191744,,1678.212257
32,1.194507,,1674.330823
33,1.090532,,1833.966491
33,1.092056,,1831.407595
33,1.090735,,1833.626477
34,1.111638,,1799.146579
34,1.114767,,1794.097211
34,1.112531,,1797.703486
35,1.138896,,1756.087285
35,1.135800,,1760.873054
35,1.146166,,1744.947696
36,1.161843,,1721.403122
36,1.167181,,1713.530448
36,1.163881,,1718.388225
37,1.166411,,1714.661333
37,1.165924,,1715.377867
37,1.165995,,1715.273898
38,1.074588,,1861.178735
38,1.057272,,1891.660776
38,1.069402,,1870.203600
39,1.117485,,1789.733463
39,1.121513,,1783.305769
39,1.126664,,1775.152346
40,1.198596,,1668.619420
40,1.195458,,1672.999350
40,1.195150,,1673.430245
41,1.196552,,1671.469746
41,1.196903,,1670.978695
41,1.201913,,1664.014078
42,1.188797,,1682.372428
42,1.182444,,1691.411434
42,1.196304,,1671.815390
43,1.184243,,1688.843236
43,1.183766,,1689.522689
43,1.191110,,1679.106244
44,1.369787,,1460.081553
44,1.350075,,1481.399346
44,1.338957,,1493.699895
45,1.323386,,1511.275123
45,1.298393,,1540.365492
45,1.302114,,1535.963383
46,1.053171,,1899.025971
46,1.055630,,1894.602368
46,1.048663,,1907.189923
47,1.047241,,1909.779917
47,1.030743,,1940.347900
47,1.058050,,1890.270536
48,1.235184,,1619.192244
48,1.219535,,1639.969963
48,1.180110,,1694.756555
49,1.174467,,1702.899667
49,1.172466,,1705.806802
49,1.173414,,1704.428961
50,1.318186,,1517.236628
50,1.312401,,1523.924722
50,1.314872,,1521.060528
51,1.127617,,1773.651572
51,1.121801,,1782.847082
51,1.126762,,1774.997458
52,1.389400,,1439.469950
52,1.391297,,1437.507374
52,1.385824,,1443.184331
53,1.406662,,1421.806000
53,1.368733,,1461.205543
53,1.394630,,1434.071631
54,1.232163,,1623.161688
54,1.216617,,1643.902163
54,1.213223,,1648.500931
55,1.197668,,1669.911898
55,1.191885,,1678.014228
55,1.204592,,1660.312748
56,1.297003,,1542.016976
56,1.301097,,1537.164223
56,1.279810,,1562.731840
57,1.118824,,1787.591627
57,1.115745,,1792.523771
57,1.128121,,1772.859410
58,1.066603,,1875.112397
58,1.057168,,1891.847501
58,1.061353,,1884.386869
59,1.058971,,1888.626195
59,1.051861,,1901.391428
59,1.063581,,1880.439583
60,1.239074,,1614.108684
60,1.239494,,1613.562190
60,1.251639,,1597.904567
61,1.235775,,1618.417698
61,1.251493,,1598.091216
61,1.238921,,1614.308421
62,1.000335,,1999.329305
62,0.983277,,2034.014776
62,0.974593,,2052.139429
63,1.523864,,1312.452977
63,1.521207,,1314.745239
63,1.491266,,1341.142628
64,1.323298,,1511.375424
64,1.336394,,1496.565125
64,1.328682,,1505.251486
65,1.232659,,1622.509159
65,1.222370,,1636.166356
65,1.244884,,1606.575187
66,1.440615,,1388.296405
66,1.427030,,1401.512024
66,1.445776,,1383.340114
67,1.429587,,1399.005787
67,1.420646,,1407.810731
67,1.405390,,1423.092623
68,1.584056,,1262.581898
68,1.627259,,1229.060995
68,1.626678,,1229.499446
69,1.086811,,1840.246939
69,1.082082,,1848.288787
69,1.082835,,1847.003268
70,1.248464,,1601.968759
70,1.245765,,1605.438985
70,1.254771,,1593.916396
71,1.255362,,1593.166218
71,1.250013,,1599.983818
71,1.262801,,1583.780671
72,1.514090,,1320.925276
72,1.522717,,1313.441785
72,1.515302,,1319.869320
73,1.521901,,1314.145825
73,1.518884,,1316.756418
73,1.514807,,1320.300401
74,0.872355,,2292.644168
74,0.867123,,2306.478523
74,0.865906,,2309.719165
75,1.600367,,1249.713024
75,1.622347,,1232.781924
75,1.620675,,1234.054018
76,1.796545,,1113.247776
76,1.855790,,1077.708133
76,1.792287,,1115.892855
77,1.246364,,1604.667117
77,1.245152,,1606.229378
77,1.254512,,1594.245733
78,1.554989,,1286.182647
78,1.574823,,1269.984388
78,1.551331,,1289.215111
79,1.549760,,1290.522782
79,1.552551,,1288.202048
