cores,exTime,gflops
1,32.301385,,61.916850
1,31.823555,,62.846531
1,31.903314,,62.689412
2,16.542376,,120.901619
2,16.605767,,120.440084
2,16.330777,,122.468148
3,16.272740,,122.904928
3,16.311419,,122.613489
3,16.368652,,122.184770
4,11.028346,,181.350856
4,10.900718,,183.474150
4,10.941187,,182.795522
5,8.210047,,243.603971
5,8.208707,,243.643726
5,8.320156,,240.380109
6,5.661481,,353.264449
6,5.648594,,354.070412
6,5.706842,,350.456503
7,5.669199,,352.783528
7,5.689840,,351.503751
7,5.643081,,354.416305
8,4.344559,,460.345955
8,4.344455,,460.356899
8,4.377047,,456.929071
9,4.340296,,460.798054
9,4.369451,,457.723435
9,4.326882,,462.226648
10,3.912686,,511.157746
10,3.914324,,510.943920
10,3.917261,,510.560802
11,3.559789,,561.831035
11,3.561156,,561.615419
11,3.538291,,565.244578
12,3.169673,,630.979988
12,3.121376,,640.743031
12,3.145510,,635.826997
13,3.161375,,632.636144
13,3.146134,,635.700766
13,3.148389,,635.245527
14,2.732990,,731.799118
14,2.741653,,729.486881
14,2.766855,,722.842405
15,2.663348,,750.934417
15,2.630457,,760.324127
15,2.639855,,757.617332
16,2.640977,,757.295384
16,2.622241,,762.706434
16,2.651852,,754.189797
17,2.521401,,793.209764
17,2.526453,,791.623818
17,2.537367,,788.218692
18,2.293027,,872.209635
18,2.267883,,881.879602
18,2.264945,,883.023547
19,2.280273,,877.087877
19,2.289384,,873.597492
19,2.275930,,878.761633
20,2.106371,,949.500224
20,2.108742,,948.432936
20,2.100981,,951.936090
21,2.118093,,944.245735
21,2.119561,,943.591768
21,2.115037,,945.609969
22,2.025130,,987.591111
22,2.011355,,994.354546
22,2.026653,,986.848791
23,1.914074,,1044.891471
23,1.951789,,1024.701155
23,1.954781,,1023.132776
24,1.866546,,1071.498106
24,1.872938,,1067.841109
24,1.863979,,1072.973181
25,1.857366,,1076.793539
25,1.857670,,1076.617629
25,1.864549,,1072.645432
26,1.814287,,1102.361405
26,1.816973,,1100.732095
26,1.819793,,1099.025809
27,1.766660,,1132.079975
27,1.745762,,1145.631426
27,1.741358,,1148.529076
28,1.714331,,1166.635777
28,1.695041,,1179.912145
28,1.704746,,1173.195070
29,1.682240,,1188.890807
29,1.711548,,1168.533098
29,1.701275,,1175.588898
30,1.674047,,1194.709857
30,1.666036,,1200.454484
30,1.650122,,1212.031550
31,1.672417,,1195.873928
31,1.671195,,1196.748167
31,1.656009,,1207.722561
32,1.622275,,1232.836745
32,1.599448,,1250.431031
32,1.620763,,1233.986551
33,1.615658,,1237.885639
33,1.623235,,1232.107768
33,1.632081,,1225.429446
34,1.629551,,1227.332066
34,1.612084,,1240.630325
34,1.605771,,1245.507483
35,1.572391,,1271.948297
35,1.601605,,1248.747195
35,1.578842,,1266.751155
36,1.575080,,1269.776812
36,1.565058,,1277.907596
36,1.584990,,1261.837503
37,1.586036,,1261.005473
37,1.582645,,1263.707669
37,1.597118,,1252.255942
38,1.723128,,1160.680034
38,1.660447,,1204.495092
38,1.658976,,1205.562953
39,1.600949,,1249.258701
39,1.612792,,1240.085649
39,1.634382,,1223.704013
40,1.548746,,1291.366971
40,1.541299,,1297.606343
40,1.532898,,1304.718568
41,1.529157,,1307.910132
41,1.548540,,1291.539538
41,1.563731,,1278.991958
42,1.548090,,1291.914147
42,1.552322,,1288.392765
42,1.533655,,1304.073913
43,1.539552,,1299.079119
43,1.539241,,1299.341448
43,1.556017,,1285.333216
44,1.522061,,1314.007459
44,1.569251,,1274.493748
44,1.540980,,1297.875752
45,1.498379,,1334.775606
45,1.530622,,1306.658510
45,1.512847,,1322.011101
46,1.519350,,1316.352216
46,1.519880,,1315.893192
46,1.507703,,1326.520999
47,1.676666,,1192.843301
47,1.701906,,1175.152991
47,1.675271,,1193.836855
48,1.510280,,1324.257474
48,1.502548,,1331.072234
48,1.506286,,1327.769336
49,1.508105,,1326.167202
49,1.514330,,1320.716498
49,1.500690,,1332.720120
50,1.500801,,1332.621990
50,1.496449,,1336.497146
