cores,exTime,gflops
1,20.410220,,97.990125
1,20.804047,,96.135140
1,20.850032,,95.923113
2,10.561781,,189.362010
2,10.511251,,190.272307
2,10.311893,,193.950809
3,7.070802,,282.853336
3,6.950280,,287.758192
3,6.943013,,288.059380
4,5.303892,,377.081605
4,5.196179,,384.898209
4,5.232746,,382.208509
5,4.222061,,473.702312
5,4.196996,,476.531259
5,4.151597,,481.742314
6,3.520349,,568.125428
6,3.524764,,567.413953
6,3.545342,,564.120541
7,3.151762,,634.565775
7,3.127383,,639.512292
7,3.089393,,647.376378
8,2.746975,,728.073494
8,2.718074,,735.815127
8,2.746512,,728.196257
9,2.517595,,794.408807
9,2.454043,,814.981800
9,2.469694,,809.816853
10,2.207309,,906.080858
10,2.240395,,892.699831
10,2.224742,,898.980738
11,2.126811,,940.374857
11,2.110523,,947.632310
11,2.141730,,933.824703
12,1.896213,,1054.733914
12,1.936918,,1032.568303
12,1.960093,,1020.359756
13,1.802274,,1109.709333
13,1.794230,,1114.684330
13,1.810941,,1104.398195
14,1.698541,,1177.481419
14,1.722728,,1160.949281
14,1.726549,,1158.380003
15,1.660672,,1204.331730
15,1.638060,,1220.956428
15,1.639224,,1220.089719
16,1.536595,,1301.579339
16,1.534855,,1303.054631
16,1.501497,,1332.003982
17,1.446979,,1382.189883
17,1.451007,,1378.352984
17,1.451863,,1377.540750
18,1.410074,,1418.365536
18,1.381039,,1448.185067
18,1.377913,,1451.469986
19,1.378813,,1450.523038
19,1.410597,,1417.839206
19,1.373716,,1455.904568
20,1.266954,,1578.589057
20,1.287812,,1553.021465
20,1.294655,,1544.812892
21,1.259988,,1587.317046
21,1.259428,,1588.022758
21,1.296455,,1542.667976
22,1.242976,,1609.041942
22,1.250555,,1599.289628
22,1.251136,,1598.547198
23,1.210966,,1651.574316
23,1.219658,,1639.803355
23,1.220513,,1638.655045
24,1.222720,,1635.697460
24,1.229548,,1626.613385
24,1.234046,,1620.685676
25,1.215300,,1645.683577
25,1.215825,,1644.973354
25,1.229600,,1626.544832
26,1.233432,,1621.491826
26,1.232627,,1622.551154
26,1.231830,,1623.600881
27,1.227642,,1629.139629
27,1.219836,,1639.565102
27,1.230893,,1624.836997
28,1.236905,,1616.939294
28,1.237563,,1616.079052
28,1.248806,,1601.530402
29,1.298769,,1539.919992
29,1.296632,,1542.457554
29,1.294696,,1544.764372
30,1.316124,,1519.613637
30,1.317361,,1518.186758
30,1.305178,,1532.357774
31,1.293267,,1546.470973
31,1.315781,,1520.009296
31,1.296676,,1542.405090
32,0.935665,,2137.516605
32,0.958948,,2085.619235
32,0.978107,,2044.765342
33,0.956516,,2090.921591
33,1.002791,,1994.433228
33,1.002120,,1995.768161
34,1.004432,,1991.174711
34,0.961715,,2079.619138
34,1.006393,,1987.295403
35,0.960892,,2081.398370
35,0.957707,,2088.320355
35,0.960184,,2082.934746
36,0.957123,,2089.595145
36,0.955628,,2092.864612
36,0.954230,,2095.931065
