cores,exTime,gflops
1,5.572716,,44.861425
1,5.634395,,44.370338
1,5.615252,,44.521600
2,2.922546,,85.541849
2,2.914353,,85.782346
2,2.910727,,85.889192
3,1.978863,,126.335148
3,1.963311,,127.335933
3,1.944015,,128.599860
4,1.558691,,160.391029
4,1.560564,,160.198466
4,1.556140,,160.653944
5,1.167471,,214.138095
5,1.182644,,211.390738
5,1.172635,,213.195071
6,1.026528,,243.539492
6,1.035870,,241.342967
6,1.037052,,241.067836
7,0.877711,,284.831867
7,0.896419,,278.887591
7,0.881730,,283.533456
8,0.861729,,290.114309
8,0.864322,,289.244075
8,0.866510,,288.513746
9,0.720483,,346.989593
9,0.737136,,339.150628
9,0.715383,,349.463158
10,0.662028,,377.627500
10,0.666265,,375.226329
10,0.661295,,378.046303
11,0.615315,,406.295752
11,0.594547,,420.488463
11,0.594149,,420.769969
12,0.612821,,407.949512
12,0.615227,,406.353917
12,0.611814,,408.621042
13,0.543770,,459.752850
13,0.538511,,464.242777
13,0.540302,,462.704111
14,0.510882,,489.349683
14,0.513771,,486.598436
14,0.504892,,495.155431
15,0.479604,,521.263081
15,0.483069,,517.524723
15,0.485050,,515.410535
16,0.581439,,429.967771
16,0.585031,,427.327693
16,0.583129,,428.721464
17,0.460241,,543.193135
17,0.457523,,546.420022
17,0.450548,,554.880163
18,0.474562,,526.801905
18,0.473996,,527.430675
18,0.486374,,514.007844
19,0.430901,,580.179813
19,0.439842,,568.385811
19,0.444239,,562.760202
20,0.548904,,455.452866
20,0.551456,,453.345175
20,0.544250,,459.347376
21,0.427503,,584.790795
21,0.428366,,583.612870
21,0.429926,,581.495838
22,0.448771,,557.076384
22,0.460882,,542.438371
22,0.450157,,555.361689
23,0.427218,,585.181633
23,0.417984,,598.109715
23,0.426755,,585.816691
24,0.526171,,475.130635
24,0.528382,,473.142838
24,0.524585,,476.567270
25,0.408178,,612.478373
25,0.410068,,609.654525
25,0.398695,,627.046446
26,0.432040,,578.649770
26,0.439599,,568.699787
26,0.433314,,576.949250
27,0.409233,,610.898836
27,0.401529,,622.620433
27,0.407271,,613.841701
28,0.512027,,488.255392
28,0.510330,,489.878726
28,0.501439,,498.565590
29,0.406129,,615.568115
29,0.399314,,626.073934
29,0.413442,,604.679606
30,0.424978,,588.265599
30,0.418456,,597.434720
30,0.420240,,594.897753
31,0.403982,,618.839191
31,0.411397,,607.685867
31,0.405906,,615.905860
32,0.489166,,511.073784
32,0.483092,,517.499628
32,0.486028,,514.373995
33,0.401709,,622.340534
33,0.410085,,609.629470
33,0.435910,,573.513519
34,0.427358,,584.990145
34,0.422056,,592.338491
34,0.422404,,591.850656
35,0.414294,,603.435754
35,0.462376,,540.685951
35,0.410201,,609.456646
36,0.479215,,521.686566
36,0.480948,,519.806653
36,0.475278,,526.007534
37,0.426349,,586.374539
37,0.453855,,550.836543
37,0.406211,,615.443230
38,0.437582,,571.321740
38,0.422592,,591.586693
38,0.432174,,578.471304
39,0.428994,,582.758228
39,0.471330,,530.414495
39,0.406399,,615.158897
40,0.463314,,539.590687
40,0.467925,,534.274221
40,0.467409,,534.863383
41,0.556106,,449.554798
41,0.433213,,577.082768
41,0.435712,,573.774068
42,0.428157,,583.897425
42,0.420453,,594.596517
42,0.433987,,576.054615
43,0.587095,,425.825363
43,0.414005,,603.857475
43,0.408452,,612.067142
44,0.467749,,534.474842
44,0.457342,,546.637426
44,0.462856,,540.124592
45,0.440154,,567.983273
45,0.497802,,502.207786
45,0.428304,,583.697152
46,0.459504,,544.064989
46,0.437143,,571.895723
46,0.425867,,587.038264
47,0.435258,,574.372446
47,0.439992,,568.191565
47,0.514554,,485.857221
48,0.463291,,539.617757
48,0.457662,,546.254300
48,0.458625,,545.107693
49,0.420546,,594.465265
49,0.478436,,522.535627
49,0.570495,,438.216199
50,0.453078,,551.781755
50,0.463692,,539.151223
50,0.448550,,557.351891
51,0.431245,,579.716284
51,0.479117,,521.793414
51,0.524334,,476.794982
52,0.470372,,531.494364
52,0.468212,,533.946613
52,0.452389,,552.621505
53,0.457472,,546.481675
53,0.467711,,534.518164
53,0.549052,,455.329978
54,0.460660,,542.699508
54,0.475032,,526.280623
54,0.462317,,540.754848
55,0.517846,,482.768780
55,0.643828,,388.302410
55,0.500123,,499.876737
56,0.465374,,537.202588
56,0.455217,,549.189151
56,0.465812,,536.696841
57,0.569932,,438.648702
57,0.449144,,556.614013
57,0.467955,,534.239556
58,0.475560,,525.695483
58,0.467087,,535.232762
58,0.463107,,539.831829
59,0.461627,,541.562279
59,0.591493,,422.659154
59,0.461137,,542.138313
60,0.446874,,559.441264
60,0.456928,,547.132189
60,0.454655,,549.867527
