cores,exTime,gflops
1,5.261922,,47.511159
1,5.272318,,47.417470
1,5.286613,,47.289261
2,2.693567,,92.813737
2,2.693379,,92.820212
2,2.697106,,92.691956
3,1.825256,,136.967102
3,1.832381,,136.434473
3,1.831420,,136.506119
4,1.364971,,183.154131
4,1.361808,,183.579498
4,1.367662,,182.793676
5,1.105630,,226.115469
5,1.101607,,226.941219
5,1.101309,,227.002606
6,0.913728,,273.604330
6,0.912612,,273.938886
6,0.912718,,273.907232
7,0.817156,,305.939097
7,0.820016,,304.871990
7,0.818675,,305.371583
8,0.716975,,348.687288
8,0.718936,,347.735896
8,0.720548,,346.958174
9,0.663994,,376.509609
9,0.660113,,378.723090
9,0.663340,,376.880486
10,0.567373,,440.627442
10,0.580150,,430.923341
10,0.568665,,439.625771
11,0.533999,,468.165389
11,0.531889,,470.022708
11,0.534308,,467.894676
12,0.480954,,519.800353
12,0.481544,,519.163386
12,0.481477,,519.235604
13,0.444098,,562.939419
13,0.443301,,563.950732
13,0.442549,,564.908899
14,0.435456,,574.110865
14,0.433778,,576.332057
14,0.434061,,575.955329
15,0.427204,,585.200461
15,0.426407,,586.294853
15,0.426611,,586.013524
16,0.387277,,645.532527
16,0.387597,,644.999990
16,0.386901,,646.160523
17,0.395629,,631.904797
17,0.395381,,632.301518
17,0.397241,,629.341137
18,0.370302,,675.125060
18,0.370580,,674.618079
18,0.369708,,676.209722
19,0.356622,,701.021939
19,0.356003,,702.241837
19,0.355632,,702.974533
20,0.340947,,733.252624
20,0.341087,,732.950465
20,0.341823,,731.372470
21,0.380559,,656.928796
21,0.379037,,659.566932
21,0.379164,,659.344796
22,0.335360,,745.466744
22,0.337230,,741.334817
22,0.335185,,745.856565
23,0.328650,,760.686826
23,0.327518,,763.317986
23,0.327559,,763.221282
24,0.318638,,784.590238
24,0.321225,,778.270973
24,0.320027,,781.184092
25,0.338073,,739.484813
25,0.333760,,749.041108
25,0.340091,,735.096331
26,0.318315,,785.386138
26,0.320744,,779.438845
26,0.317271,,787.970283
27,0.323568,,772.635952
27,0.322551,,775.071890
27,0.323099,,773.755642
28,0.319023,,783.641645
28,0.327077,,764.345529
28,0.319030,,783.626482
29,0.326191,,766.421732
29,0.326158,,766.499275
29,0.324919,,769.421775
30,0.323023,,773.938034
30,0.322964,,774.080599
30,0.321660,,777.219162
31,0.340756,,733.662693
31,0.335349,,745.492305
31,0.337192,,741.417370
32,0.320333,,780.438390
32,0.319752,,781.856161
32,0.335872,,744.331196
33,0.346497,,721.506558
33,0.327746,,762.784950
33,0.346607,,721.278963
34,0.326858,,764.858293
34,0.342578,,729.760128
34,0.342708,,729.484303
35,0.347217,,720.011434
35,0.353874,,706.466225
