cores,exTime,gflops
1,5.591384,,44.711646
1,5.356175,,46.675098
1,5.340133,,46.815315
2,2.746026,,91.040640
2,2.735037,,91.406438
2,2.731806,,91.514547
3,1.835167,,136.227384
3,1.834968,,136.242173
3,1.834157,,136.302435
4,1.434161,,174.317899
4,1.436922,,173.983020
4,1.445020,,173.007979
5,1.135112,,220.242665
5,1.134251,,220.409737
5,1.133959,,220.466554
6,0.957956,,260.972184
6,0.958831,,260.734205
6,0.960059,,260.400601
7,0.824254,,303.304461
7,0.826193,,302.592834
7,0.825622,,302.802104
8,0.794204,,314.780387
8,0.794940,,314.489278
8,0.790277,,316.344875
9,0.658825,,379.463679
9,0.659835,,378.882783
9,0.666192,,375.267365
10,0.628118,,398.014466
10,0.631297,,396.009819
10,0.628518,,397.760920
11,0.563577,,443.595181
11,0.565895,,441.778032
11,0.566005,,441.691902
12,0.583731,,428.279122
12,0.579568,,431.355950
12,0.576975,,433.294693
13,0.498598,,501.406232
13,0.498681,,501.322299
13,0.497965,,502.042838
14,0.492051,,508.077302
14,0.489405,,510.824654
14,0.486585,,513.784471
15,0.454292,,550.306887
15,0.460751,,542.592735
15,0.455699,,548.607156
16,0.569365,,439.085684
16,0.565977,,441.714042
16,0.570170,,438.465892
17,0.436161,,573.183352
17,0.465475,,537.085227
17,0.436556,,572.663847
18,0.469112,,532.921654
18,0.466509,,535.895012
18,0.466983,,535.351754
19,0.418624,,597.194151
19,0.419453,,596.014052
19,0.421633,,592.932383
20,0.532820,,469.201957
20,0.535064,,467.233494
20,0.536093,,466.336829
21,0.412188,,606.519694
21,0.412969,,605.372260
21,0.410812,,608.550434
22,0.443044,,564.278147
22,0.444839,,562.001094
22,0.442401,,565.098179
23,0.405757,,616.131968
23,0.410276,,609.345981
23,0.406260,,615.369610
24,0.513163,,487.174208
24,0.512249,,488.043666
24,0.512067,,488.217310
25,0.398432,,627.460076
25,0.400354,,624.447431
25,0.394275,,634.075830
26,0.424711,,588.635837
26,0.424264,,589.255084
26,0.418922,,596.769495
27,0.403693,,619.282838
27,0.396074,,631.194679
27,0.400261,,624.592525
28,0.491460,,508.688341
28,0.493860,,506.216330
28,0.492865,,507.238423
29,0.399367,,625.990067
29,0.398704,,627.032304
29,0.403447,,619.659734
30,0.416872,,599.705050
30,0.418278,,597.689270
30,0.416872,,599.704145
31,0.406541,,614.943402
31,0.405873,,615.956097
31,0.400304,,624.525869
32,0.481920,,518.758300
32,0.481243,,519.487990
32,0.479042,,521.875148
33,0.395622,,631.916763
33,0.397008,,629.709966
33,0.397102,,629.560942
34,0.417078,,599.408751
34,0.416342,,600.468000
34,0.415592,,601.551371
35,0.409728,,610.160627
35,0.401626,,622.469847
35,0.415570,,601.582846
36,0.463830,,538.991073
36,0.466691,,535.685789
36,0.469725,,532.226606
37,0.401822,,622.166593
37,0.400754,,623.824633
37,0.408941,,611.335045
38,0.411524,,607.498197
38,0.412981,,605.354044
38,0.411399,,607.682890
39,0.404685,,617.764472
39,0.416905,,599.656885
39,0.416720,,599.922535
40,0.456451,,547.704381
40,0.455614,,548.710466
40,0.452272,,552.765197
41,0.405554,,616.440041
41,0.415038,,602.354459
41,0.405824,,616.030198
42,0.414922,,602.523559
42,0.419148,,596.448122
42,0.412677,,605.800894
43,0.403926,,618.925589
43,0.414386,,603.302756
43,0.403650,,619.348892
44,0.453001,,551.875137
44,0.452231,,552.814426
44,0.451272,,553.990189
45,0.407304,,613.792524
45,0.407007,,614.239600
45,0.432844,,577.575230
46,0.411965,,606.847376
46,0.419207,,596.363870
46,0.410755,,608.634650
47,0.406120,,615.580848
47,0.403720,,619.240601
47,0.411729,,607.195724
48,0.448062,,557.958816
48,0.444055,,562.993010
48,0.443816,,563.296626
49,0.426343,,586.381664
49,0.412936,,605.420330
49,0.410508,,609.001877
50,0.420245,,594.890760
50,0.422611,,591.560521
50,0.427419,,584.905581
51,0.418032,,598.039934
51,0.410870,,608.465609
51,0.411054,,608.193241
52,0.442560,,564.895466
52,0.439300,,569.087428
52,0.436110,,573.249871
53,0.436120,,573.237110
53,0.440213,,567.907243
53,0.449099,,556.670233
54,0.444903,,561.919674
54,0.448123,,557.882773
54,0.458250,,545.554319
55,0.492730,,507.377660
55,0.447390,,558.795979
55,0.461679,,541.502197
56,0.436979,,572.109764
56,0.438321,,570.357948
56,0.429573,,581.973889
