cores,exTime,gflops
1,5.232703,,47.776458
1,5.230231,,47.799035
1,5.231279,,47.789459
2,5.251011,,47.609878
2,5.230105,,47.800190
2,5.236466,,47.742121
3,5.226356,,47.834473
3,5.237629,,47.731517
3,5.246183,,47.653695
4,5.225183,,47.845210
4,5.222108,,47.873388
4,5.250429,,47.615158
5,5.238301,,47.725402
5,5.251166,,47.608472
5,5.233789,,47.766539
6,5.238900,,47.719940
6,5.241838,,47.693193
6,5.230909,,47.792839
7,5.227493,,47.824073
7,5.233495,,47.769228
7,5.240139,,47.708654
8,5.237464,,47.733024
8,5.233978,,47.764813
8,5.227029,,47.828319
9,5.233250,,47.771465
9,5.237167,,47.735731
9,5.227475,,47.824235
10,5.230719,,47.794577
10,5.230942,,47.792537
10,5.227708,,47.822106
11,5.234787,,47.757435
11,5.226344,,47.834581
11,5.229025,,47.810056
12,5.230603,,47.795633
12,5.242359,,47.688456
12,5.240822,,47.702436
13,5.243988,,47.673644
13,5.229653,,47.804320
13,5.245096,,47.663566
14,5.242194,,47.689952
14,5.228625,,47.813715
14,5.231546,,47.787023
15,5.230513,,47.796462
15,5.234285,,47.762014
15,5.244639,,47.667723
16,5.247079,,47.645557
16,5.232098,,47.781983
16,5.247446,,47.642221
17,5.228235,,47.817281
17,5.239872,,47.711085
17,5.232235,,47.780731
18,5.252453,,47.596806
18,5.237637,,47.731444
18,5.250817,,47.611636
19,5.224479,,47.851663
19,5.237625,,47.731558
19,5.245012,,47.664330
20,5.249028,,47.627869
20,5.241373,,47.697423
20,5.239088,,47.718226
21,5.222845,,47.866628
21,5.224545,,47.851055
21,5.234620,,47.758954
22,5.255132,,47.572546
22,5.223949,,47.856518
22,5.225647,,47.840970
23,5.227319,,47.825667
23,5.234447,,47.760535
23,5.228799,,47.812125
24,5.221803,,47.876181
24,5.242841,,47.684068
24,5.235617,,47.749860
25,5.229271,,47.807808
25,5.230666,,47.795063
25,5.224394,,47.852444
26,5.245813,,47.657058
26,5.248527,,47.632413
26,5.244159,,47.672091
27,5.245673,,47.658325
27,5.227089,,47.827766
27,5.243975,,47.673756
28,5.241071,,47.700171
28,5.228258,,47.817073
28,5.224287,,47.853424
29,5.252610,,47.595390
29,5.232273,,47.780377
29,5.245563,,47.659326
30,5.239938,,47.710485
30,5.222906,,47.866071
30,5.237013,,47.737133
31,5.239815,,47.711606
31,5.246039,,47.655003
31,5.235831,,47.747916
32,5.231735,,47.785293
32,5.243660,,47.676624
32,5.245153,,47.663053
33,5.239046,,47.718608
33,5.251376,,47.606566
33,5.241333,,47.697793
34,5.233013,,47.773628
34,5.249643,,47.622288
34,5.244082,,47.672786
35,5.247416,,47.642498
35,5.243976,,47.673748
35,5.262538,,47.505598
36,5.239241,,47.716833
36,5.264036,,47.492077
36,5.249568,,47.622970
37,5.263073,,47.500765
37,5.247371,,47.642901
37,5.235993,,47.746439
38,5.263863,,47.493639
38,5.259421,,47.533750
38,5.254601,,47.577356
39,5.235898,,47.747297
39,5.253668,,47.585802
39,5.255599,,47.568316
40,5.252773,,47.593905
40,5.263111,,47.500422
40,5.244301,,47.670795
41,5.254477,,47.578479
41,5.247318,,47.643387
41,5.232901,,47.774645
42,5.244950,,47.664896
42,5.240647,,47.704033
42,5.242228,,47.689643
43,5.241163,,47.699340
43,5.223063,,47.864637
43,5.243381,,47.679158
44,5.266853,,47.466671
44,5.239965,,47.710246
44,5.240070,,47.709285
45,5.252449,,47.596844
45,5.257677,,47.549520
45,5.257306,,47.552874
46,5.253631,,47.586135
46,5.241329,,47.697825
46,5.245398,,47.660824
47,5.246190,,47.653628
47,5.244564,,47.668405
47,5.246777,,47.648296
48,5.264459,,47.488260
48,5.226572,,47.832497
48,5.229848,,47.802537
49,5.237319,,47.734349
49,5.242613,,47.686143
49,5.250968,,47.610269
50,5.235707,,47.749042
50,5.235113,,47.754457
50,5.227522,,47.823804
51,5.243384,,47.679134
51,5.257657,,47.549701
51,5.238968,,47.719324
52,5.252345,,47.597787
52,5.237262,,47.734864
52,5.250253,,47.616752
53,5.265808,,47.476095
53,5.249292,,47.625470
53,5.263472,,47.497164
54,5.243112,,47.681605
54,5.245099,,47.663541
54,5.256471,,47.560430
55,5.220209,,47.890803
55,5.258472,,47.542331
55,5.247410,,47.642550
56,5.240973,,47.701069
56,5.245309,,47.661638
56,5.248318,,47.634310
57,5.257546,,47.550704
57,5.238371,,47.724756
57,5.240214,,47.707976
58,5.235651,,47.749555
58,5.230639,,47.795304
58,5.262467,,47.506234
59,5.262774,,47.503468
59,5.237320,,47.734335
59,5.241048,,47.700386
60,5.244692,,47.667238
60,5.235875,,47.747508
60,5.252119,,47.599840
61,5.260269,,47.526089
61,5.239611,,47.713468
61,5.239586,,47.713692
62,5.243092,,47.681786
62,5.266689,,47.468150
62,5.244707,,47.667106
63,5.241192,,47.699071
63,5.269560,,47.442294
63,5.249846,,47.620449
64,5.252547,,47.595958
64,5.251925,,47.601594
64,5.239319,,47.716122
65,5.248927,,47.628778
65,5.254310,,47.579988
65,5.245627,,47.658744
66,5.262180,,47.508831
66,5.258441,,47.542611
66,5.262565,,47.505348
67,5.257911,,47.547403
