cores,exTime,gflops
1,30.176398,,66.276963
1,15.005248,,133.286703
1,15.010526,,133.239836
1,15.018357,,133.170357
1,15.009439,,133.249485
2,8.809897,,227.017422
2,8.916376,,224.306389
2,8.932425,,223.903372
2,8.984493,,222.605780
2,8.985819,,222.572934
3,5.402647,,370.188919
3,5.406236,,369.943176
3,5.399458,,370.407523
3,5.385701,,371.353735
3,5.402016,,370.232135
4,4.132084,,484.017229
4,4.155200,,481.324627
4,4.153153,,481.561794
4,4.165628,,480.119712
4,4.142104,,482.846406
5,3.197931,,625.404455
5,3.191481,,626.668253
5,3.195636,,625.853518
5,3.172489,,630.419882
5,3.204781,,624.067578
6,2.676456,,747.256814
6,2.669710,,749.145034
6,2.667322,,749.815649
6,2.669768,,749.128696
6,2.669403,,749.231099
7,2.267257,,882.123334
7,2.271611,,880.432541
7,2.260671,,884.693152
7,2.267792,,881.914924
7,2.268957,,881.462385
8,1.974113,,1013.112988
8,1.954914,,1023.062739
8,1.970446,,1014.998622
8,1.976417,,1011.932067
8,1.968387,,1016.060147
9,1.734455,,1153.100035
9,1.731959,,1154.762051
9,1.733599,,1153.669075
9,1.729729,,1156.250448
9,1.735604,,1152.336894
10,1.548722,,1291.387249
10,1.554316,,1286.740003
10,1.554530,,1286.562151
10,1.549631,,1290.629764
10,1.554785,,1286.351487
11,1.407721,,1420.735770
11,1.406614,,1421.853842
11,1.400625,,1427.933752
11,1.406010,,1422.464577
11,1.401094,,1427.455872
12,1.293446,,1546.256504
12,1.293424,,1546.283671
12,1.296955,,1542.073344
12,1.294731,,1544.722083
12,1.295436,,1543.881342
13,1.194787,,1673.938424
13,1.196541,,1671.485071
13,1.191162,,1679.032495
13,1.189324,,1681.627406
13,1.191374,,1678.733600
14,1.111899,,1798.724623
14,1.108998,,1803.430085
14,1.115803,,1792.431137
14,1.109399,,1802.777848
14,1.114105,,1795.163507
15,1.018469,,1963.730892
15,1.030347,,1941.093002
15,1.032617,,1936.827178
15,1.020640,,1959.555154
15,1.021710,,1957.501894
16,0.958285,,2087.060905
16,0.956511,,2090.932689
16,0.955955,,2092.148295
16,0.956445,,2091.075921
16,0.957201,,2089.425908
17,0.902336,,2216.468538
17,0.902208,,2216.783838
17,0.902204,,2216.792320
17,0.902525,,2216.005148
17,0.901143,,2219.403924
18,0.853524,,2343.225620
18,0.853248,,2343.983632
18,0.852985,,2344.706281
18,0.851960,,2347.528329
18,0.851425,,2349.003114
19,0.811387,,2464.914253
19,0.808780,,2472.861477
19,0.809519,,2470.601766
19,0.808703,,2473.095531
19,0.808719,,2473.045758
20,0.770584,,2595.432960
20,0.771192,,2593.389105
20,0.771748,,2591.517947
20,0.772200,,2590.001597
20,0.771065,,2593.815368
21,0.733899,,2725.171558
21,0.735315,,2719.921300
21,0.737727,,2711.031148
21,0.733522,,2726.570627
21,0.734837,,2721.691166
22,0.703661,,2842.279586
22,0.705461,,2835.027263
22,0.703157,,2844.315984
22,0.703845,,2841.535395
22,0.704757,,2837.857068
23,0.673132,,2971.186185
23,0.674571,,2964.849371
23,0.674241,,2966.299421
23,0.675575,,2960.440256
23,0.673545,,2969.361550
24,0.646521,,3093.479814
24,0.647941,,3086.699314
24,0.648215,,3085.397325
24,0.648401,,3084.508890
24,0.648010,,3086.371071
