cores,exTime,gflops
1,28.973057,,69.029650
1,14.519697,,137.743924
1,14.531633,,137.630782
1,14.681921,,136.221956
1,14.518999,,137.750543
2,8.635546,,231.600866
2,8.656172,,231.049014
2,8.645599,,231.331564
2,8.659536,,230.959254
2,8.656002,,231.053560
3,5.418834,,369.083084
3,5.414160,,369.401724
3,5.415859,,369.285840
3,5.417742,,369.157457
3,5.415953,,369.279426
4,4.121309,,485.282653
4,4.115501,,485.967533
4,4.113705,,486.179709
4,4.108840,,486.755413
4,4.124649,,484.889786
5,3.268863,,611.833447
5,3.280220,,609.715143
5,3.273284,,611.007164
5,3.284140,,608.987420
5,3.285189,,608.793034
6,2.723539,,734.338693
6,2.720357,,735.197737
6,2.714986,,736.652136
6,2.710750,,737.803087
6,2.719696,,735.376288
7,2.354071,,849.591891
7,2.353734,,849.713602
7,2.355454,,849.093356
7,2.359935,,847.481107
7,2.352139,,850.289946
8,1.925982,,1038.431349
8,1.937636,,1032.185486
8,1.933235,,1034.535603
8,1.932664,,1034.840772
8,1.932376,,1034.995360
9,1.733408,,1153.796520
9,1.743341,,1147.222365
9,1.744401,,1146.525246
9,1.747516,,1144.481650
9,1.738737,,1150.260345
10,1.543333,,1295.896586
10,1.541452,,1297.477969
10,1.548980,,1291.172537
10,1.541369,,1297.547415
10,1.552577,,1288.180499
11,1.407176,,1421.286216
11,1.410112,,1418.327409
11,1.409751,,1418.689750
11,1.410575,,1417.861501
11,1.409522,,1418.921079
12,1.315246,,1520.628148
12,1.308183,,1528.838146
12,1.307050,,1530.163222
12,1.314722,,1521.234652
12,1.308202,,1528.815531
13,1.180931,,1693.578551
13,1.180774,,1693.804427
13,1.183593,,1689.770095
13,1.186707,,1685.336148
13,1.184832,,1688.002488
14,1.102069,,1814.768111
14,1.120277,,1785.273116
14,1.110699,,1800.667454
14,1.108244,,1804.656085
14,1.105106,,1809.780983
15,1.000613,,1998.774258
15,1.004916,,1990.216456
15,1.041363,,1920.559039
15,1.003968,,1992.096076
15,1.002086,,1995.835840
16,0.945154,,2116.057298
16,0.945602,,2115.055688
16,0.945266,,2115.805925
16,0.947114,,2111.678067
16,0.948710,,2108.126182
17,0.897703,,2227.909218
17,0.897489,,2228.439196
17,0.896768,,2230.230522
17,0.896987,,2229.687255
17,0.896909,,2229.881608
18,0.849915,,2353.177480
18,0.848931,,2355.903553
18,0.850065,,2352.760263
18,0.856820,,2334.213610
18,0.852592,,2345.788335
19,0.795551,,2513.981417
19,0.800884,,2497.240069
19,0.796832,,2509.940692
19,0.798269,,2505.420458
19,0.806422,,2480.090768
20,0.794373,,2517.707576
20,0.795090,,2515.437548
20,0.794066,,2518.683839
20,0.794404,,2517.610880
20,0.799741,,2500.811044
21,0.736301,,2716.281729
21,0.736606,,2715.156483
21,0.736258,,2716.440587
21,0.739967,,2702.825013
21,0.735243,,2720.189307
22,0.731893,,2732.640090
22,0.733114,,2728.090147
22,0.730347,,2738.423018
22,0.746177,,2680.328401
22,0.741558,,2697.024137
23,0.692310,,2888.877540
23,0.690713,,2895.558232
23,0.687604,,2908.651100
23,0.691236,,2893.368287
23,0.692027,,2890.061571
24,0.670646,,2982.197265
24,0.662809,,3017.461806
24,0.661203,,3024.788319
24,0.662289,,3019.831198
24,0.661325,,3024.233344
