cores,exTime,gflops
1,15.296886,,130.745562
1,15.165238,,131.880553
1,15.136903,,132.127422
1,15.128282,,132.202714
1,15.146456,,132.044092
2,9.109667,,219.546998
2,9.093081,,219.947444
2,8.813632,,226.921200
2,9.126259,,219.147849
2,9.015106,,221.849871
3,5.466471,,365.866744
3,5.470022,,365.629250
3,5.457606,,366.461024
3,5.417564,,369.169603
3,5.552408,,360.204103
4,4.147623,,482.203906
4,4.156016,,481.230141
4,4.164368,,480.264992
4,4.154540,,481.401118
4,4.160928,,480.661983
5,3.186205,,627.705980
5,3.195559,,625.868658
5,3.193324,,626.306561
5,3.203007,,624.413243
5,3.204078,,624.204579
6,2.668749,,749.414877
6,2.670301,,748.979338
6,2.667906,,749.651716
6,2.672521,,748.357168
6,2.661176,,751.547372
7,2.269933,,881.083254
7,2.274150,,879.449503
7,2.280906,,876.844667
7,2.272455,,880.105469
7,2.274187,,879.435175
8,1.972770,,1013.802718
8,1.971975,,1014.211777
8,1.966567,,1017.000519
8,1.964743,,1017.944910
8,1.977238,,1011.511786
9,1.726185,,1158.624420
9,1.723458,,1160.457900
9,1.731230,,1155.248210
9,1.741490,,1148.441581
9,1.728847,,1156.840699
10,1.553835,,1287.138351
10,1.559188,,1282.718970
10,1.554999,,1286.174774
10,1.551458,,1289.109872
10,1.546860,,1292.941631
11,1.408791,,1419.657326
11,1.404035,,1424.465636
11,1.403494,,1425.014858
11,1.404265,,1424.232788
11,1.409570,,1418.872444
12,1.298016,,1540.813227
12,1.293210,,1546.539166
12,1.294413,,1545.101955
12,1.298647,,1540.064219
12,1.294402,,1545.115503
13,1.191614,,1678.395845
13,1.193634,,1675.555715
13,1.193127,,1676.267986
13,1.196174,,1671.998012
13,1.196397,,1671.686018
14,1.113115,,1796.759720
14,1.117650,,1789.468973
14,1.114649,,1794.286749
14,1.113757,,1795.724409
14,1.117276,,1790.067261
15,1.033751,,1934.702536
15,1.034630,,1933.059069
15,1.039125,,1924.696602
15,1.021335,,1958.221589
15,1.035535,,1931.369589
16,0.968971,,2064.046055
16,0.958372,,2086.872872
16,0.957355,,2089.089977
16,0.957666,,2088.411253
16,0.957579,,2088.599724
17,0.902466,,2216.150853
17,0.901378,,2218.823778
17,0.902935,,2214.998114
17,0.914575,,2186.808556
17,0.903811,,2212.851656
18,0.852967,,2344.755843
18,0.854466,,2340.642359
18,0.854422,,2340.762722
18,0.852321,,2346.534866
18,0.852228,,2346.790410
19,0.807992,,2475.272026
19,0.807682,,2476.222562
19,0.808340,,2474.207809
19,0.808353,,2474.166608
19,0.806265,,2480.573599
20,0.770602,,2595.373204
20,0.771324,,2592.944477
20,0.771269,,2593.128361
20,0.770311,,2596.354648
20,0.770182,,2596.789532
21,0.735208,,2720.318112
21,0.733219,,2727.698298
21,0.733237,,2727.630719
21,0.735344,,2719.814141
21,0.734114,,2724.371759
22,0.704879,,2837.365636
22,0.704759,,2837.850980
22,0.703897,,2841.324174
22,0.704746,,2837.903783
22,0.704417,,2839.226656
23,0.673609,,2969.082449
23,0.671869,,2976.771855
23,0.674302,,2966.029983
23,0.674491,,2965.197523
23,0.673693,,2968.709342
24,0.647707,,3087.816323
24,0.647623,,3088.215245
24,0.645578,,3097.999578
24,0.648410,,3084.468322
24,0.647857,,3087.101226
