cores,exTime,gflops
1,14.622913,,136.771652
1,14.745514,,135.634468
1,14.596723,,137.017055
1,14.517059,,137.768949
1,14.614917,,136.846486
2,8.680514,,230.401105
2,8.694964,,230.018197
2,8.667138,,230.756690
2,8.680782,,230.393994
2,8.669677,,230.689109
3,5.586902,,357.980149
3,5.620227,,355.857484
3,5.570835,,359.012617
3,5.568960,,359.133513
3,5.573883,,358.816295
4,4.116392,,485.862370
4,4.133864,,483.808852
4,4.126122,,484.716685
4,4.124039,,484.961415
4,4.124280,,484.933175
5,3.276582,,610.392096
5,3.269125,,611.784425
5,3.270528,,611.522015
5,3.282197,,609.348017
5,3.287689,,608.330132
6,2.704938,,739.388370
6,2.702805,,739.972051
6,2.710376,,737.905032
6,2.712392,,737.356676
6,2.717968,,735.843711
7,2.361811,,846.807864
7,2.352506,,850.157238
7,2.373735,,842.553924
7,2.373062,,842.792902
7,2.352388,,850.199892
8,1.934097,,1034.074152
8,1.944719,,1028.426272
8,1.933494,,1034.396989
8,1.937157,,1032.441031
8,1.952772,,1024.184957
9,1.741593,,1148.373678
9,1.743173,,1147.333073
9,1.744287,,1146.600272
9,1.741811,,1148.230318
9,1.752194,,1141.425922
10,1.543324,,1295.904132
10,1.549782,,1290.504439
10,1.545719,,1293.895883
10,1.557425,,1284.170693
10,1.541515,,1297.424811
11,1.410873,,1417.562196
11,1.411830,,1416.601571
11,1.410648,,1417.788241
11,1.411158,,1417.275539
11,1.416192,,1412.237416
12,1.326701,,1507.498346
12,1.316322,,1519.384754
12,1.330854,,1502.794688
12,1.327676,,1506.392092
12,1.331917,,1501.595332
13,1.188990,,1682.100432
13,1.185189,,1687.494993
13,1.186676,,1685.379298
13,1.213826,,1647.682515
13,1.184192,,1688.915334
14,1.107490,,1805.886101
14,1.131490,,1767.581488
14,1.123404,,1780.304107
14,1.125204,,1777.455515
14,1.127946,,1773.133964
15,1.005121,,1989.809610
15,1.005513,,1989.034726
15,1.008087,,1983.955152
15,1.001261,,1997.480983
15,1.004028,,1991.976145
16,0.947586,,2110.627275
16,0.947708,,2110.355657
16,0.946282,,2113.535230
16,0.954455,,2095.436957
16,0.942757,,2121.437849
17,0.898990,,2224.719014
17,0.902473,,2216.133796
17,0.901892,,2217.559729
17,0.903222,,2214.295453
17,0.903056,,2214.702382
18,0.849316,,2354.837192
18,0.864263,,2314.111301
18,0.859568,,2326.751294
18,0.850196,,2352.397897
18,0.864666,,2313.031989
19,0.799804,,2500.611759
19,0.796537,,2510.870386
19,0.801343,,2495.811429
19,0.800231,,2499.278733
19,0.799251,,2502.341810
20,0.794416,,2517.571744
20,0.799981,,2500.060226
20,0.794990,,2515.756016
20,0.797550,,2507.678845
20,0.797351,,2508.306649
21,0.736765,,2714.569793
21,0.738491,,2708.224802
21,0.737515,,2711.810502
21,0.735813,,2718.081885
21,0.737666,,2711.253266
22,0.733694,,2725.932878
22,0.733371,,2727.132217
22,0.733928,,2725.063770
22,0.732730,,2729.519848
22,0.732431,,2730.631838
23,0.691153,,2893.715875
23,0.689440,,2900.905646
23,0.689530,,2900.525432
23,0.690998,,2894.364735
23,0.695328,,2876.338472
24,0.663371,,3014.905801
24,0.665991,,3003.045005
24,0.868896,,2301.770943
24,0.661727,,3022.393568
24,0.661892,,3021.640258
