cores,exTime,gflops
1,4.314157,,57.948753
1,3.855298,,64.845839
1,3.862781,,64.720219
2,1.914971,,130.550265
2,1.915038,,130.545731
2,1.914334,,130.593746
3,1.255912,,199.058555
3,1.255056,,199.194287
3,1.255359,,199.146274
4,0.929646,,268.919566
4,0.928462,,269.262468
4,0.927862,,269.436549
5,0.742541,,336.681580
5,0.742285,,336.797764
5,0.742296,,336.792758
6,0.620219,,403.083512
6,0.620513,,402.892585
6,0.620060,,403.186929
7,0.533654,,468.468444
7,0.533156,,468.905927
7,0.533630,,468.489523
8,0.467645,,534.593018
8,0.468137,,534.031281
8,0.468469,,533.652783
9,0.416806,,599.799279
9,0.416587,,600.114056
9,0.416638,,600.040836
10,0.376279,,664.400077
10,0.376604,,663.827572
10,0.376112,,664.696490
11,0.343367,,728.084153
11,0.342809,,729.269389
11,0.343217,,728.401834
12,0.316296,,790.397632
12,0.315887,,791.422793
12,0.315708,,791.871579
13,0.296778,,842.379140
13,0.296176,,844.093280
13,0.296805,,842.305121
14,0.274594,,910.434900
14,0.274800,,909.753292
14,0.275071,,908.857369
15,0.258056,,968.783787
15,0.257219,,971.934376
15,0.257278,,971.711549
16,0.243002,,1028.796004
16,0.242757,,1029.838283
16,0.242562,,1030.664227
17,0.230447,,1084.849221
17,0.230296,,1085.561745
17,0.230710,,1083.613278
18,0.217048,,1151.821075
18,0.217195,,1151.038933
18,0.216587,,1154.268017
19,0.207362,,1205.623710
19,0.207277,,1206.114301
19,0.207192,,1206.608838
20,0.197524,,1265.667252
20,0.197623,,1265.035574
20,0.197932,,1263.062823
21,0.189200,,1321.355398
21,0.189283,,1320.770991
21,0.189013,,1322.660297
22,0.181792,,1375.195948
22,0.181978,,1373.796113
22,0.182235,,1371.852930
23,0.174583,,1431.981763
23,0.174847,,1429.820822
23,0.175056,,1428.117140
24,0.168437,,1484.230690
24,0.168462,,1484.011671
24,0.168731,,1481.644642
