cores,exTime,gflops
1,3.650738,,68.479309
1,3.690629,,67.739126
1,3.648195,,68.527047
2,1.914732,,130.566548
2,1.895461,,131.894005
2,1.907290,,131.076030
3,1.263686,,197.833977
3,1.276548,,195.840662
3,1.263357,,197.885400
4,0.920985,,271.448556
4,0.920772,,271.511345
4,0.921122,,271.408263
5,0.744000,,336.021477
5,0.745141,,335.506897
5,0.743200,,336.382997
6,0.620051,,403.192624
6,0.629538,,397.116705
6,0.620598,,402.837163
7,0.529545,,472.103599
7,0.531845,,470.061565
7,0.533323,,468.758801
8,0.471322,,530.422463
8,0.479234,,521.666030
8,0.471092,,530.681561
9,0.421447,,593.194023
9,0.415565,,601.591201
9,0.418781,,596.970663
10,0.382886,,652.936055
10,0.378180,,661.060189
10,0.378735,,660.092738
11,0.345923,,722.704603
11,0.343669,,727.443267
11,0.345442,,723.710126
12,0.326959,,764.622694
12,0.326520,,765.650355
12,0.325076,,769.051041
13,0.305997,,817.001314
13,0.310344,,805.558345
13,0.308231,,811.080262
14,0.284171,,879.750733
14,0.278719,,896.959696
14,0.280420,,891.521392
15,0.261803,,954.917278
15,0.265102,,943.031700
15,0.263962,,947.104846
16,0.251473,,994.141852
16,0.248202,,1007.245471
16,0.250201,,999.196734
17,0.242172,,1032.326209
17,0.240089,,1041.279259
17,0.241910,,1033.442723
18,0.232823,,1073.779201
18,0.233099,,1072.505453
18,0.232945,,1073.214205
19,0.220134,,1135.669623
19,0.220790,,1132.296207
19,0.221302,,1129.676981
20,0.218992,,1141.595908
20,0.217685,,1148.448288
20,0.219258,,1140.207025
21,0.207139,,1206.921741
21,0.208845,,1197.058834
21,0.208535,,1198.841478
22,0.209372,,1194.049537
22,0.207777,,1203.214693
22,0.208185,,1200.855672
23,0.203148,,1230.631594
23,0.202351,,1235.474856
23,0.201565,,1240.294036
24,0.203911,,1226.025266
24,0.204246,,1224.011548
24,0.204123,,1224.754737
