cores,exTime,gflops
1,3.794613,,65.882875
1,3.785629,,66.039223
1,3.785998,,66.032780
2,1.902919,,131.377080
2,1.904017,,131.301381
2,1.903529,,131.334979
3,1.252307,,199.631520
3,1.251137,,199.818268
3,1.250280,,199.955213
4,0.923832,,270.611859
4,0.923545,,270.695979
4,0.923605,,270.678525
5,0.739394,,338.114564
5,0.739273,,338.170119
5,0.739642,,338.001431
6,0.617758,,404.689297
6,0.618170,,404.419411
6,0.618687,,404.081733
7,0.530604,,471.161055
7,0.530442,,471.305258
7,0.530761,,471.021357
8,0.466003,,536.476995
8,0.466390,,536.032554
8,0.466338,,536.092203
9,0.414181,,603.600490
9,0.415225,,602.082892
9,0.415026,,602.371332
10,0.375282,,666.166516
10,0.374541,,667.484128
10,0.374816,,666.993291
11,0.340863,,733.433141
11,0.340714,,733.752874
11,0.341112,,732.896294
12,0.314325,,795.355354
12,0.313915,,796.393081
12,0.314125,,795.861910
13,0.296469,,843.258986
13,0.295425,,846.237952
13,0.296208,,844.002817
14,0.273691,,913.440180
14,0.273537,,913.952909
14,0.332710,,751.404843
15,0.257134,,972.255881
15,0.257400,,971.251839
15,0.257065,,972.515438
16,0.241600,,1034.768323
16,0.241847,,1033.712268
16,0.242278,,1031.873350
17,0.229883,,1087.507912
17,0.229748,,1088.148432
17,0.230112,,1086.425161
18,0.216578,,1154.319480
18,0.216368,,1155.440687
18,0.215928,,1157.792341
19,0.206968,,1207.918569
19,0.207068,,1207.333557
19,0.206625,,1209.923574
20,0.197063,,1268.630891
20,0.197184,,1267.853488
20,0.197314,,1267.017354
21,0.188895,,1323.485430
21,0.188805,,1324.115638
21,0.188518,,1326.132920
22,0.181056,,1380.791185
22,0.181375,,1378.356993
22,0.181222,,1379.525962
23,0.174524,,1432.463662
23,0.174123,,1435.768246
23,0.174589,,1431.932624
24,0.168193,,1486.387653
24,0.168303,,1485.412318
24,0.168546,,1483.275115
