cores,exTime,gflops
1,3.631302,,68.845824
1,3.631890,,68.834679
1,3.631217,,68.847440
2,1.884107,,132.688825
2,1.886112,,132.547771
2,1.885058,,132.621894
3,1.258008,,198.726929
3,1.258307,,198.679630
3,1.258477,,198.652792
4,0.916989,,272.631342
4,0.917049,,272.613467
4,0.917923,,272.354065
5,0.735086,,340.096129
5,0.746289,,334.990853
5,0.747012,,334.666437
6,0.617692,,404.732705
6,0.617345,,404.960037
6,0.617829,,404.642458
7,0.526800,,474.563789
7,0.527237,,474.169699
7,0.527578,,473.863393
8,0.469060,,532.981013
8,0.467938,,534.258290
8,0.469742,,532.206920
9,0.413564,,604.501615
9,0.413488,,604.611989
9,0.413858,,604.071502
10,0.374103,,668.265507
10,0.374033,,668.391048
10,0.374728,,667.150935
11,0.342659,,729.587416
11,0.341184,,732.743363
11,0.342683,,729.537332
12,0.324831,,769.629890
12,0.323933,,771.765203
12,0.324356,,770.758429
13,0.304079,,822.155913
13,0.303233,,824.447523
13,0.303485,,823.763234
14,0.277324,,901.472412
14,0.277079,,902.268545
14,0.280475,,891.345259
15,0.261706,,955.269100
15,0.261138,,957.349285
15,0.261069,,957.599828
16,0.245684,,1017.568905
16,0.246403,,1014.598510
16,0.245858,,1016.849092
17,0.240775,,1038.314710
17,0.246282,,1015.095040
17,0.239789,,1042.583015
18,0.232806,,1073.856177
18,0.233189,,1072.091484
18,0.234276,,1067.115550
19,0.220202,,1135.321246
19,0.218963,,1141.747156
19,0.219742,,1137.697152
20,0.217627,,1148.757028
20,0.223700,,1117.570285
20,0.218465,,1144.350433
21,0.208091,,1201.398251
21,0.209026,,1196.025784
21,0.208105,,1201.319114
22,0.209489,,1193.381307
22,0.209677,,1192.311402
22,0.209774,,1191.757517
23,0.202511,,1234.499641
23,0.201570,,1240.262821
23,0.202751,,1233.036981
24,0.204825,,1220.553506
24,0.206249,,1212.127841
24,0.204654,,1221.576319
