size,exTime,gflops
2000,0.024663,,648.751371
2000,0.024072,,664.669032
2000,0.025895,,617.876869
2000,0.026173,,611.326372
2000,0.025239,,633.949234
2500,0.038722,,807.037929
2500,0.039891,,783.392481
2500,0.021706,,1439.721156
2500,0.023713,,1317.823305
2500,0.022870,,1366.409330
3000,0.032256,,1674.116329
3000,0.030647,,1761.979191
3000,0.031772,,1699.590515
3000,0.031388,,1720.380339
3000,0.031454,,1716.814609
3500,0.042255,,2029.362161
3500,0.043048,,1991.976065
3500,0.042275,,2028.368058
3500,0.042495,,2017.882178
3500,0.043207,,1984.630466
4000,0.054899,,2331.550614
4000,0.054402,,2352.869769
4000,0.054155,,2363.580417
4000,0.054431,,2351.597869
4000,0.054370,,2354.252460
4500,0.070444,,2587.154455
4500,0.073749,,2471.208120
4500,0.072206,,2524.018302
4500,0.073732,,2471.798341
4500,0.069031,,2640.129873
5000,0.097828,,2555.502447
5000,0.098784,,2530.771986
5000,0.097073,,2575.376108
5000,0.096992,,2577.541788
5000,0.097876,,2554.257017
5500,0.126831,,2623.562894
5500,0.128606,,2587.366160
5500,0.133593,,2490.773471
5500,0.132635,,2508.773810
5500,0.128507,,2589.349261
6000,0.187578,,2303.039921
6000,0.189810,,2275.965543
6000,0.187950,,2298.489570
6000,0.192357,,2245.829425
6000,0.203375,,2124.151774
6500,0.288054,,1906.762861
6500,0.288015,,1907.019731
6500,0.286680,,1915.896253
6500,0.287960,,1907.383003
6500,0.286456,,1917.399672
7000,0.415958,,1649.205979
7000,0.421727,,1626.644806
7000,0.418545,,1639.010280
7000,0.421046,,1629.274260
7000,0.416367,,1647.585165
7500,0.546079,,1545.106649
7500,0.556093,,1517.281786
7500,0.543742,,1551.747493
7500,0.543520,,1552.380297
7500,0.553667,,1523.931135
8000,0.697943,,1467.169418
8000,0.725216,,1411.993342
8000,0.698746,,1465.481682
8000,0.716399,,1429.371683
8000,0.731960,,1398.983853
8500,0.827027,,1485.138273
8500,0.824089,,1490.434337
8500,0.840014,,1462.178201
8500,0.893655,,1374.412079
8500,0.857874,,1431.736663
9000,0.999135,,1459.262427
9000,1.009818,,1443.824617
9000,0.986706,,1477.643770
9000,1.004697,,1451.183969
9000,0.991217,,1470.919523
9500,1.139381,,1504.983607
9500,1.127189,,1521.261787
9500,1.153246,,1486.890028
9500,1.157102,,1481.934446
9500,1.168301,,1467.729829
10000,1.322322,,1512.491414
10000,1.315534,,1520.295372
10000,1.316018,,1519.735759
10000,1.318385,,1517.007467
10000,1.315859,,1519.919510
10500,1.488011,,1555.935682
10500,1.511866,,1531.385301
10500,1.489182,,1554.712747
10500,1.500007,,1543.492418
10500,1.481104,,1563.192132
11000,1.634272,,1628.860033
11000,1.645380,,1617.863064
11000,1.646521,,1616.742518
11000,1.652681,,1610.716061
11000,1.660636,,1603.000007
11500,1.830741,,1661.485746
11500,1.835374,,1657.291935
11500,1.825783,,1665.997492
11500,1.843167,,1650.284381
11500,1.836322,,1656.436309
12000,2.086785,,1656.136495
12000,2.018003,,1712.584168
12000,2.092740,,1651.423728
12000,2.031160,,1701.490466
12000,2.047775,,1687.685367
12500,2.269876,,1720.908799
12500,2.309669,,1691.259887
12500,2.279378,,1713.734692
12500,2.306220,,1693.788942
12500,2.310228,,1690.850092
13000,2.606909,,1685.521053
13000,2.586136,,1699.060128
13000,2.591406,,1695.604815
13000,2.629740,,1670.887463
13000,2.595368,,1693.015895
13500,2.867513,,1716.033879
13500,2.843534,,1730.504926
13500,2.854042,,1724.133998
13500,2.852013,,1725.360425
13500,2.843531,,1730.506809
14000,3.260028,,1683.421159
14000,3.240674,,1693.474888
14000,3.238345,,1694.693019
14000,3.226407,,1700.963196
14000,3.268286,,1679.167636
14500,3.000155,,2032.311681
14500,3.003789,,2029.852889
14500,3.002452,,2030.757076
14500,3.532645,,1725.973125
14500,3.004574,,2029.322370
15000,3.893975,,1733.447010
15000,3.973218,,1698.874705
15000,3.973633,,1698.697297
15000,4.021941,,1678.294188
15000,3.947191,,1710.076703
15500,4.248520,,1753.022174
15500,4.234511,,1758.821802
15500,4.267979,,1745.029859
15500,4.279863,,1740.184215
15500,4.297853,,1732.899932
16000,4.921299,,1664.601067
16000,4.572224,,1791.688209
16000,4.827793,,1696.841427
16000,4.820346,,1699.463174
16000,4.982056,,1644.301142
16500,5.432293,,1653.859611
16500,5.466695,,1643.451862
16500,5.444908,,1650.027868
16500,5.428848,,1654.909244
16500,5.445882,,1649.732672
17000,5.893800,,1667.175816
17000,5.848765,,1680.012776
17000,5.909530,,1662.737887
17000,5.933209,,1656.102202
17000,5.901748,,1664.930529
17500,6.242637,,1717.022737
17500,6.196042,,1729.934878
17500,6.246703,,1715.905252
17500,6.344699,,1689.402439
17500,6.260589,,1712.099412
18000,6.159595,,1893.630861
18000,6.092069,,1914.620394
18000,6.188295,,1884.848762
18000,6.136157,,1900.864072
18000,6.114536,,1907.585563
18500,6.521794,,1941.682063
18500,6.498257,,1948.714825
18500,6.501996,,1947.594343
18500,6.540004,,1936.275605
18500,6.507807,,1945.855163
19000,7.776751,,1763.975814
19000,7.588120,,1807.826005
19000,7.766313,,1766.346624
19000,7.474199,,1835.380575
19000,7.845781,,1748.455730
19500,7.875785,,1882.955117
19500,8.280893,,1790.839448
19500,8.275748,,1791.952866
19500,7.959889,,1863.060006
19500,8.212926,,1805.659789
20000,8.956409,,1786.430320
20000,9.018276,,1774.175012
20000,8.722419,,1834.353526
20000,8.868353,,1804.168224
20000,9.004823,,1776.825565
