size,exTime,gflops
2000,0.373569,,42.830124
2000,0.037985,,421.215864
2000,0.037188,,430.249949
2000,0.037677,,424.657132
2000,0.036961,,432.888978
2500,0.054654,,571.779685
2500,0.055059,,567.569473
2500,0.028628,,1091.588502
2500,0.026575,,1175.918720
2500,0.026457,,1181.151483
3000,0.036781,,1468.139297
3000,0.035992,,1500.326446
3000,0.036713,,1470.863461
3000,0.036731,,1470.166243
3000,0.036190,,1492.127618
3500,0.046624,,1839.174871
3500,0.047684,,1798.297387
3500,0.047158,,1818.374094
3500,0.047616,,1800.863969
3500,0.046515,,1843.488414
4000,0.062187,,2058.298176
4000,0.061943,,2066.429376
4000,0.059801,,2140.433150
4000,0.060572,,2113.203729
4000,0.063246,,2023.838029
4500,0.079808,,2283.604452
4500,0.081106,,2247.065443
4500,0.080564,,2262.170112
4500,0.079180,,2301.716065
4500,0.078968,,2307.906426
5000,0.106511,,2347.165184
5000,0.122520,,2040.477557
5000,0.108026,,2314.248852
5000,0.104892,,2383.415062
5000,0.111476,,2242.640920
5500,0.151737,,2192.936786
5500,0.152725,,2178.756569
5500,0.149795,,2221.366239
5500,0.156494,,2126.274140
5500,0.154859,,2148.722045
6000,0.230890,,1871.018369
6000,0.250854,,1722.114529
6000,0.246482,,1752.662997
6000,0.220133,,1962.449305
6000,0.222357,,1942.818472
6500,0.349019,,1573.694631
6500,0.348566,,1575.740280
6500,0.352613,,1557.657030
6500,0.358157,,1533.546736
6500,0.348489,,1576.089191
7000,0.468328,,1464.786040
7000,0.460809,,1488.686693
7000,0.469624,,1460.744599
7000,0.468189,,1465.220962
7000,0.470917,,1456.731248
7500,0.645830,,1306.458676
7500,0.629196,,1340.996283
7500,0.641573,,1315.126379
7500,0.621341,,1357.949593
7500,0.628560,,1342.353634
8000,0.787389,,1300.501582
8000,0.790950,,1294.645745
8000,0.786312,,1302.282076
8000,0.798070,,1283.096231
8000,0.806254,,1270.071329
8500,1.012383,,1213.226289
8500,1.008609,,1217.766774
8500,1.000263,,1227.926823
8500,1.018545,,1205.887351
8500,1.012982,,1212.508907
9000,1.172232,,1243.781569
9000,1.185121,,1230.253897
9000,1.163199,,1253.439743
9000,1.186931,,1228.377634
9000,1.172004,,1244.023014
9500,1.389902,,1233.719993
9500,1.402293,,1222.818568
9500,1.386300,,1236.925895
9500,1.423446,,1204.647346
9500,1.393819,,1230.253104
10000,1.549667,,1290.599549
10000,1.544788,,1294.676217
10000,1.543599,,1295.673355
10000,1.545736,,1293.881634
10000,1.541106,,1297.769094
10500,1.840417,,1258.003180
10500,1.892076,,1223.655855
10500,1.810497,,1278.792301
10500,1.821481,,1271.080990
10500,1.835600,,1261.303881
11000,1.990781,,1337.163923
11000,2.056248,,1294.590966
11000,1.998024,,1332.316229
11000,1.984796,,1341.195891
11000,1.995213,,1334.193455
11500,2.313091,,1315.015053
11500,2.326883,,1307.220954
11500,2.304362,,1319.996408
11500,2.314955,,1313.956423
11500,2.318095,,1312.176403
12000,2.454758,,1407.878158
12000,2.624205,,1316.970094
12000,2.435010,,1419.295812
12000,2.423136,,1426.250902
12000,2.633560,,1312.292257
12500,2.974554,,1313.222222
12500,2.943879,,1326.905834
12500,2.974187,,1313.384164
12500,2.975545,,1312.784835
12500,2.969381,,1315.509928
13000,3.333062,,1318.307309
13000,3.326153,,1321.045604
13000,3.321578,,1322.865269
13000,3.317389,,1324.535550
13000,3.315594,,1325.252840
13500,3.688383,,1334.121159
13500,3.672690,,1339.821606
13500,3.677572,,1338.043262
13500,3.708784,,1326.782415
13500,3.486722,,1411.282391
14000,4.090770,,1341.556823
14000,4.122423,,1331.255973
14000,4.115830,,1333.388363
14000,4.112930,,1334.328426
14000,4.107367,,1336.135684
14500,3.526784,,1728.841416
14500,3.557453,,1713.937140
14500,3.633439,,1678.093383
14500,3.555178,,1715.033801
14500,4.274770,,1426.334049
15000,4.969872,,1358.183943
15000,4.966449,,1359.119987
15000,4.947297,,1364.381474
15000,4.984879,,1354.095176
15000,4.931682,,1368.701358
15500,5.318584,,1400.325823
15500,5.310375,,1402.490521
15500,5.341013,,1394.445144
15500,5.335836,,1395.798228
15500,5.326001,,1398.375682
16000,6.276798,,1305.124081
16000,6.289659,,1302.455378
16000,6.286746,,1303.058761
16000,6.234099,,1314.063154
16000,6.278334,,1304.804784
16500,6.781679,,1324.782479
16500,6.819440,,1317.446949
16500,6.802150,,1320.795633
16500,6.778414,,1325.420708
16500,6.777284,,1325.641694
17000,7.539465,,1303.275489
17000,7.527187,,1305.401401
17000,7.589396,,1294.701112
17000,7.526891,,1305.452605
17000,7.569752,,1298.061105
17500,8.133519,,1317.849036
17500,8.205663,,1306.262456
17500,8.165857,,1312.630130
17500,8.165758,,1312.645998
17500,8.179006,,1310.519811
18000,7.738153,,1507.336500
18000,7.719735,,1510.932789
18000,7.717023,,1511.463596
18000,8.778129,,1328.756904
18000,7.716573,,1511.551796
18500,8.444655,,1499.557999
18500,6.793982,,1863.892294
18500,8.431253,,1501.941698
18500,8.384974,,1510.231261
18500,8.421976,,1503.596109
19000,9.789104,,1401.353967
19000,9.319031,,1472.041397
19000,9.291351,,1476.426811
19000,10.770777,,1273.631395
19000,9.323524,,1471.332115
19500,10.826758,,1369.731381
19500,9.839698,,1507.134608
19500,9.860994,,1503.879817
19500,9.855998,,1504.642099
19500,9.879660,,1501.038431
20000,11.052568,,1447.627357
20000,9.965504,,1605.538403
20000,8.310405,,1925.297350
20000,8.720456,,1834.766484
20000,8.183426,,1955.171418
