size,exTime,gflops
2000,0.036484,,438.542972
2000,0.035188,,454.702211
2000,0.033854,,472.615226
2000,0.040583,,394.250264
2000,0.035801,,446.910147
2500,0.054137,,577.241402
2500,0.053995,,578.760519
2500,0.030082,,1038.831419
2500,0.032730,,954.786359
2500,0.031161,,1002.854332
3000,0.045353,,1190.669832
3000,0.045056,,1198.515013
3000,0.046449,,1162.561390
3000,0.044849,,1204.026962
3000,0.044955,,1201.195243
3500,0.060861,,1408.938467
3500,0.060553,,1416.105805
3500,0.061003,,1405.675233
3500,0.060743,,1411.691084
3500,0.060481,,1417.806047
4000,0.080566,,1588.758994
4000,0.079403,,1612.038319
4000,0.080520,,1589.676265
4000,0.080028,,1599.434660
4000,0.079625,,1607.533141
4500,0.105995,,1719.418294
4500,0.105661,,1724.855532
4500,0.105887,,1721.168624
4500,0.105044,,1734.986533
4500,0.106069,,1718.220024
5000,0.136037,,1837.729283
5000,0.135117,,1850.244784
5000,0.140680,,1777.079393
5000,0.137293,,1820.917857
5000,0.137015,,1824.615812
5500,0.194222,,1713.243339
5500,0.196208,,1695.904199
5500,0.191187,,1740.446181
5500,0.186796,,1781.354069
5500,0.190060,,1750.762180
6000,0.250399,,1725.245563
6000,0.257778,,1675.862133
6000,0.257931,,1674.867729
6000,0.268719,,1607.626922
6000,0.261323,,1653.129171
6500,0.354366,,1549.952676
6500,0.343613,,1598.456616
6500,0.324700,,1691.561280
6500,0.360387,,1524.055289
6500,0.330227,,1663.250827
7000,0.442688,,1549.622385
7000,0.446726,,1535.615831
7000,0.424369,,1616.517761
7000,0.429985,,1595.403066
7000,0.437071,,1569.538420
7500,0.525474,,1605.692831
7500,0.531201,,1588.382128
7500,0.533421,,1581.770369
7500,0.544741,,1548.900979
7500,0.533500,,1581.536296
8000,0.648688,,1578.571961
8000,0.645824,,1585.570314
8000,0.649712,,1576.081940
8000,0.614171,,1667.287498
8000,0.611127,,1675.593706
8500,0.728938,,1684.985670
8500,0.733436,,1674.651515
8500,0.735516,,1669.915005
8500,0.738482,,1663.209434
8500,0.735242,,1670.538315
9000,0.836950,,1742.039407
9000,0.843702,,1728.099113
9000,0.860601,,1694.164331
9000,0.833521,,1749.206683
9000,0.839689,,1736.356163
9500,0.989449,,1733.035080
9500,0.957051,,1791.702315
9500,0.955762,,1794.119079
9500,0.949288,,1806.353754
9500,0.954889,,1795.757629
10000,1.101884,,1815.073498
10000,1.100248,,1817.772259
10000,1.115784,,1792.461474
10000,1.125538,,1776.928690
10000,1.093400,,1829.156791
10500,1.265106,,1830.083951
10500,1.232182,,1878.984072
10500,1.228606,,1884.452754
10500,1.246020,,1858.116403
10500,1.294575,,1788.424326
11000,1.536812,,1732.156760
11000,1.479189,,1799.634676
11000,1.464581,,1817.584823
11000,1.521699,,1749.360926
11000,1.539715,,1728.890993
11500,1.601240,,1899.621922
11500,1.594569,,1907.568258
11500,1.640223,,1854.473847
11500,1.576626,,1929.277581
11500,1.592168,,1910.445073
12000,1.781270,,1940.188594
12000,2.060996,,1676.859097
12000,2.112724,,1635.803145
12000,1.920649,,1799.391775
12000,2.127882,,1624.150021
12500,2.104480,,1856.159096
12500,2.108881,,1852.285378
12500,2.103798,,1856.760638
12500,2.012572,,1940.924194
12500,2.085191,,1873.329439
13000,2.288724,,1919.847051
13000,2.187249,,2008.916565
13000,2.211449,,1986.932281
13000,2.307041,,1904.603938
13000,2.295216,,1914.416812
13500,2.559384,,1922.630762
13500,2.455068,,2004.323227
13500,2.512127,,1958.798418
13500,2.503388,,1965.636314
13500,2.562278,,1920.458856
14000,2.719819,,2017.781580
14000,2.729598,,2010.552748
14000,2.777677,,1975.751699
14000,2.736482,,2005.494619
14000,2.704951,,2028.871938
14500,3.044796,,2002.515300
14500,3.211642,,1898.483682
14500,3.030423,,2012.013074
14500,2.620570,,2326.688292
14500,3.007242,,2027.522542
15000,3.462195,,1949.630227
15000,3.340686,,2020.542938
15000,3.552248,,1900.205166
15000,3.378438,,1997.964662
15000,3.402876,,1983.616392
15500,3.664565,,2032.369625
15500,3.635323,,2048.717529
15500,3.541768,,2102.834128
15500,3.611630,,2062.157537
15500,3.651298,,2039.753956
16000,3.883782,,2109.284437
16000,3.983340,,2056.565845
16000,4.343378,,1886.089765
16000,3.984312,,2056.064010
16000,4.160501,,1968.993552
16500,4.513745,,1990.420506
16500,4.379370,,2051.493635
16500,4.509621,,1992.240774
16500,4.512817,,1990.829646
16500,4.446390,,2020.571764
17000,4.758591,,2064.896807
17000,4.644603,,2115.573790
17000,4.654644,,2111.010196
17000,4.882099,,2012.659023
17000,4.893649,,2007.908636
17500,5.007570,,2140.509305
17500,4.980419,,2152.178176
17500,5.178761,,2069.751659
17500,5.172976,,2072.066279
17500,4.981517,,2151.704203
18000,5.644310,,2066.505952
18000,5.416086,,2153.584783
18000,5.374479,,2170.256963
18000,5.420874,,2151.682688
18000,5.511017,,2116.487569
18500,5.421182,,2335.883531
18500,5.433097,,2330.760838
18500,5.730569,,2209.771697
18500,5.798386,,2183.926815
18500,5.548474,,2282.294324
19000,6.386466,,2147.979879
19000,6.354472,,2158.794735
19000,6.377644,,2150.951132
19000,6.299234,,2177.725020
19000,6.303708,,2176.179515
19500,6.568608,,2257.670247
19500,6.729545,,2203.677909
19500,6.563422,,2259.453996
19500,6.856932,,2162.738502
19500,6.732762,,2202.625106
20000,7.367488,,2171.703468
20000,6.963050,,2297.843754
20000,7.212689,,2218.312840
20000,7.274796,,2199.374256
20000,7.303844,,2190.627415
