size,exTime,gflops
2000,0.019001,,842.071226
2000,0.018811,,850.559240
2000,0.019749,,810.151892
2000,0.020031,,798.776275
2000,0.019359,,826.502591
2500,0.024639,,1268.327536
2500,0.025721,,1214.982409
2500,0.025140,,1243.036163
2500,0.024389,,1281.309726
2500,0.025406,,1230.013462
3000,0.033139,,1629.482087
3000,0.033548,,1609.657420
3000,0.033877,,1594.021263
3000,0.034574,,1561.855012
3000,0.034185,,1579.660849
3500,0.044833,,1912.648250
3500,0.044094,,1944.711809
3500,0.046092,,1860.424752
3500,0.044273,,1936.836104
3500,0.043958,,1950.737541
4000,0.058940,,2171.684559
4000,0.056204,,2277.411616
4000,0.057594,,2222.463259
4000,0.056240,,2275.955517
4000,0.056303,,2273.399080
4500,0.076085,,2395.351559
4500,0.077068,,2364.807676
4500,0.075021,,2429.332679
4500,0.100568,,1812.203441
4500,0.073476,,2480.409123
5000,0.102051,,2449.758899
5000,0.099772,,2505.721966
5000,0.100877,,2478.267601
5000,0.100149,,2496.280417
5000,0.101994,,2451.126931
5500,0.135197,,2461.224108
5500,0.138164,,2408.371733
5500,0.130376,,2552.236241
5500,0.132336,,2514.440198
5500,0.132520,,2510.932328
6000,0.200325,,2156.497245
6000,0.200129,,2158.604042
6000,0.201672,,2142.096136
6000,0.204743,,2109.965935
6000,0.205394,,2103.277518
6500,0.309919,,1772.235318
6500,0.293964,,1868.424458
6500,0.294835,,1862.904109
6500,0.290791,,1888.812323
6500,0.292702,,1876.481607
7000,0.426892,,1606.962956
7000,0.432744,,1585.233074
7000,0.425477,,1612.306606
7000,0.427434,,1604.927958
7000,0.437058,,1569.587098
7500,0.553781,,1523.615963
7500,0.555874,,1517.879277
7500,0.552664,,1526.695557
7500,0.566689,,1488.912843
7500,0.558656,,1510.321540
8000,0.715538,,1431.091045
8000,0.704115,,1454.306864
8000,0.706349,,1449.707464
8000,0.717894,,1426.393548
8000,0.703032,,1456.548768
8500,0.835745,,1469.646040
8500,0.840983,,1460.493221
8500,0.848328,,1447.847750
8500,0.848787,,1447.065702
8500,0.839911,,1462.357861
9000,0.995607,,1464.433192
9000,0.989855,,1472.942895
9000,0.998039,,1460.864637
9000,1.001494,,1455.824832
9000,0.990208,,1472.418284
9500,1.168068,,1468.022293
9500,1.158913,,1479.619736
9500,1.155078,,1484.532287
9500,1.156597,,1482.581531
9500,1.160210,,1477.965335
10000,1.325507,,1508.856555
10000,1.353423,,1477.734128
10000,1.327262,,1506.861503
10000,1.328573,,1505.374296
10000,1.336392,,1496.567018
10500,1.522884,,1520.306006
10500,1.521645,,1521.544472
10500,1.514172,,1529.053103
10500,1.551627,,1492.143288
10500,1.531633,,1511.622098
11000,1.698839,,1566.952094
11000,1.702143,,1563.910502
11000,1.685594,,1579.265170
11000,1.672164,,1591.949582
11000,1.691456,,1573.791607
11500,1.888194,,1610.930454
11500,1.840245,,1652.904531
11500,1.874788,,1622.450289
11500,1.856996,,1637.994654
11500,1.906064,,1595.828185
12000,2.116575,,1632.826885
12000,2.160800,,1599.407625
12000,2.102086,,1644.081143
12000,2.099290,,1646.271133
12000,2.131428,,1621.448383
12500,2.336307,,1671.976280
12500,2.315275,,1687.164488
12500,2.328442,,1677.623585
12500,2.321048,,1682.968523
12500,2.312921,,1688.881562
13000,2.614048,,1680.917945
13000,2.651860,,1656.950233
13000,2.608358,,1684.584975
13000,2.686860,,1635.365932
13000,2.633705,,1668.372002
13500,2.852906,,1724.820484
13500,2.853956,,1724.185820
13500,2.686644,,1831.560125
13500,2.913270,,1689.081524
13500,2.872425,,1713.099376
14000,3.278949,,1673.707077
14000,3.269097,,1678.751170
14000,3.262283,,1682.257688
14000,3.286742,,1669.738680
14000,3.271502,,1677.517048
14500,3.544636,,1720.134346
14500,3.028301,,2013.422541
14500,3.552418,,1716.366288
14500,3.012046,,2024.288327
14500,3.535533,,1724.562940
15000,3.928556,,1718.188656
15000,3.921781,,1721.156785
15000,3.901312,,1730.187066
15000,3.914763,,1724.242397
15000,3.949557,,1709.052463
15500,4.235705,,1758.325857
15500,4.277305,,1741.224721
15500,4.491708,,1658.110871
15500,4.247272,,1753.537347
15500,4.247327,,1753.514738
16000,5.023550,,1630.719264
16000,5.023837,,1630.626047
16000,5.014662,,1633.609629
16000,4.934560,,1660.127805
16000,5.016439,,1633.030790
16500,5.509352,,1630.727182
16500,5.475694,,1640.750809
16500,5.510595,,1630.359433
16500,5.503580,,1632.437522
16500,5.550777,,1618.557241
17000,5.965588,,1647.113492
17000,5.911549,,1662.170188
17000,5.929668,,1657.091094
17000,5.991816,,1639.903549
17000,5.958844,,1648.977638
17500,6.298530,,1701.786011
17500,6.309650,,1698.786723
17500,6.301904,,1700.874855
17500,6.214470,,1724.805282
17500,6.237468,,1718.445659
18000,6.182209,,1886.704394
18000,6.223959,,1874.048438
18000,6.179954,,1887.392636
18000,6.152476,,1895.821978
18000,6.220715,,1875.025595
18500,6.518771,,1942.582490
18500,6.551328,,1932.928647
18500,6.534339,,1937.954175
18500,6.545592,,1934.622630
18500,6.591639,,1921.107977
19000,7.827900,,1752.449673
19000,7.830982,,1751.759816
19000,7.871027,,1742.847432
19000,7.574713,,1811.025797
19000,7.832969,,1751.315419
19500,8.339007,,1778.359242
19500,8.368162,,1772.163269
19500,8.065965,,1838.558670
19500,8.322009,,1781.991586
19500,8.000087,,1853.698692
20000,7.718704,,2072.886889
20000,7.783547,,2055.618121
20000,7.728586,,2070.236355
20000,7.774143,,2058.104761
20000,7.872111,,2032.491737
