size,exTime,gflops
2000,0.123782,,129.259700
2000,0.024501,,653.036516
2000,0.024240,,660.079214
2000,0.024878,,643.130864
2000,0.024833,,644.298502
2500,0.033429,,934.823003
2500,0.033610,,929.776744
2500,0.032015,,976.107908
2500,0.030510,,1024.245917
2500,0.032173,,971.318262
3000,0.043656,,1236.937482
3000,0.042247,,1278.211398
3000,0.040062,,1347.913060
3000,0.040118,,1346.040118
3000,0.415572,,129.941355
3500,0.054206,,1581.932869
3500,0.054831,,1563.898903
3500,0.052734,,1626.078299
3500,0.054601,,1570.479455
3500,0.055094,,1556.426759
4000,0.067111,,1907.295656
4000,0.068265,,1875.032511
4000,0.067481,,1896.843964
4000,0.066440,,1926.560188
4000,0.066451,,1926.225561
4500,0.088159,,2067.287491
4500,0.085053,,2142.792645
4500,0.085406,,2133.914698
4500,0.083954,,2170.841601
4500,0.084686,,2152.064868
5000,0.116237,,2150.782056
5000,0.124032,,2015.602846
5000,0.118648,,2107.070519
5000,0.115617,,2162.317849
5000,0.109281,,2287.672178
5500,0.170878,,1947.296643
5500,0.159940,,2080.463058
5500,0.161690,,2057.950043
5500,0.162960,,2041.908717
5500,0.165315,,2012.822079
6000,0.254738,,1695.858616
6000,0.231957,,1862.410389
6000,0.232158,,1860.802136
6000,0.228885,,1887.412885
6000,0.227239,,1901.085994
6500,0.327667,,1676.244843
6500,0.346503,,1585.125287
6500,0.340641,,1612.401117
6500,0.349325,,1572.318929
6500,0.335089,,1639.115828
7000,0.487761,,1406.425170
7000,0.481209,,1425.577413
7000,0.457508,,1499.428060
7000,0.471065,,1456.273536
7000,0.484784,,1415.062999
7500,0.643710,,1310.760662
7500,0.631797,,1335.477002
7500,0.656303,,1285.610596
7500,0.631769,,1335.536053
7500,0.626064,,1347.706656
8000,0.805661,,1271.005881
8000,0.803523,,1274.387878
8000,0.799132,,1281.389880
8000,0.802787,,1275.556081
8000,0.790909,,1294.712801
8500,1.027627,,1195.229464
8500,1.028617,,1194.079575
8500,1.027415,,1195.475900
8500,1.023020,,1200.611523
8500,1.022222,,1201.549731
9000,1.217038,,1197.990751
9000,1.209674,,1205.283642
9000,1.197403,,1217.634703
9000,1.203202,,1211.766849
9000,1.210896,,1204.067024
9500,1.420112,,1207.474841
9500,1.423709,,1204.424904
9500,1.466527,,1169.259283
9500,1.435641,,1194.413807
9500,1.436693,,1193.539596
10000,1.563697,,1279.020523
10000,1.578990,,1266.632854
10000,1.564474,,1278.384707
10000,1.559936,,1282.104092
10000,1.555353,,1285.881861
10500,1.816983,,1274.227830
10500,1.818163,,1273.400731
10500,1.835998,,1261.030954
10500,1.834458,,1262.089083
10500,1.839686,,1258.502660
11000,2.071557,,1285.023711
11000,1.990396,,1337.422128
11000,2.000227,,1330.848891
11000,1.999535,,1331.309322
11000,2.000468,,1330.688304
11500,2.307043,,1318.462896
11500,2.308206,,1317.798603
11500,2.316737,,1312.945560
11500,2.331046,,1304.886212
11500,2.305566,,1319.307348
12000,2.636132,,1311.011791
12000,2.631651,,1313.243990
12000,2.621865,,1318.145862
12000,2.465928,,1401.500715
12000,2.626762,,1315.688444
12500,2.954189,,1322.274861
12500,2.971236,,1314.688449
12500,2.972005,,1314.348314
12500,2.969646,,1315.392393
12500,2.976148,,1312.518819
13000,3.318436,,1324.117740
13000,3.320247,,1323.395504
13000,3.334834,,1317.606810
13000,3.317609,,1324.447964
13000,3.322699,,1322.419044
13500,2.993846,,1643.621863
13500,2.984785,,1648.611177
13500,3.699339,,1330.170133
13500,3.685842,,1335.040891
13500,3.708773,,1326.786427
14000,4.104084,,1337.204701
14000,4.095647,,1339.959326
14000,4.088143,,1342.418658
14000,4.116924,,1333.033997
14000,4.078791,,1345.496765
14500,3.405331,,1790.501162
14500,4.215923,,1446.243052
14500,4.200564,,1451.531300
14500,4.205820,,1449.717214
14500,4.202708,,1450.790737
15000,4.413107,,1529.534498
15000,4.966960,,1358.980208
15000,4.967434,,1358.850563
15000,4.975558,,1356.631712
15000,4.796342,,1407.322605
15500,5.328843,,1397.629925
15500,5.352999,,1391.322947
15500,5.350192,,1392.052725
15500,5.333330,,1396.453966
15500,5.368862,,1387.211929
16000,6.023878,,1359.921206
16000,6.048146,,1354.464697
16000,6.076165,,1348.218900
16000,6.030019,,1358.536453
16000,6.050704,,1353.892114
16500,6.550751,,1371.483937
16500,6.528503,,1376.157691
16500,6.586928,,1363.951420
16500,6.568336,,1367.812219
16500,6.550681,,1371.498641
17000,7.250794,,1355.161865
17000,7.264945,,1352.522250
17000,7.246927,,1355.884992
17000,7.254874,,1354.399846
17000,7.223986,,1360.190967
17500,7.810442,,1372.361429
17500,7.835447,,1367.981930
17500,7.845484,,1366.231843
17500,7.868296,,1362.270895
17500,7.837201,,1367.675711
18000,7.623611,,1529.983611
18000,7.688470,,1517.076830
18000,7.631928,,1528.316239
18000,5.813329,,2006.423592
18000,7.631135,,1528.475133
18500,6.602501,,1917.947510
18500,8.288255,,1527.854840
18500,7.800910,,1623.304203
18500,6.614791,,1914.383960
18500,8.251664,,1534.629912
19000,9.200458,,1491.012767
19000,9.190769,,1492.584549
19000,9.204909,,1490.291716
19000,9.246802,,1483.539873
19000,9.161773,,1497.308491
19500,9.619478,,1541.637688
19500,9.681624,,1531.742001
19500,9.661426,,1534.944292
19500,10.775365,,1376.264272
19500,10.947667,,1354.603730
20000,9.977962,,1603.533933
20000,9.787498,,1634.738514
20000,9.826975,,1628.171412
20000,9.809030,,1631.150023
20000,9.837102,,1626.495230
