size,exTime,gflops
2000,0.015620,,1024.360181
2000,0.016548,,966.863941
2000,0.016150,,990.693671
2000,0.016197,,987.865431
2000,0.015983,,1001.087619
2500,0.022740,,1374.206561
2500,0.023371,,1337.143000
2500,0.023508,,1329.360707
2500,0.023090,,1353.381043
2500,0.022785,,1371.545483
3000,0.030803,,1753.050503
3000,0.031303,,1725.094609
3000,0.031050,,1739.122649
3000,0.031629,,1707.275371
3000,0.031919,,1691.769233
3500,0.041178,,2082.400402
3500,0.041542,,2064.170102
3500,0.042326,,2025.945905
3500,0.042762,,2005.297493
3500,0.042382,,2023.268269
4000,0.054890,,2331.955209
4000,0.056627,,2260.411162
4000,0.054613,,2343.778768
4000,0.055897,,2289.920010
4000,0.054957,,2329.073779
4500,0.071404,,2552.377124
4500,0.072841,,2502.037152
4500,0.072198,,2524.311264
4500,0.073578,,2476.956221
4500,0.071726,,2540.934525
5000,0.100009,,2499.772396
5000,0.098123,,2547.819281
5000,0.099427,,2514.417646
5000,0.099566,,2510.899009
5000,0.098970,,2526.028833
5500,0.128554,,2588.404193
5500,0.131095,,2538.232029
5500,0.132034,,2520.179099
5500,0.129680,,2565.933720
5500,0.129172,,2576.026955
6000,0.202568,,2132.612247
6000,0.208278,,2074.149859
6000,0.202238,,2136.097380
6000,0.211209,,2045.365690
6000,0.202028,,2138.321303
6500,0.290838,,1888.505762
6500,0.294731,,1863.566747
6500,0.294797,,1863.148034
6500,0.290783,,1888.868049
6500,0.292775,,1876.015670
7000,0.421731,,1626.628124
7000,0.423425,,1620.122507
7000,0.415595,,1650.643522
7000,0.427143,,1606.020323
7000,0.418791,,1638.049962
7500,0.544623,,1549.235745
7500,0.540696,,1560.487370
7500,0.547341,,1541.542177
7500,0.540276,,1561.701560
7500,0.537333,,1570.253949
8000,0.685870,,1492.994003
8000,0.680585,,1504.587310
8000,0.685064,,1494.750271
8000,0.684267,,1496.491530
8000,0.687666,,1489.094499
8500,0.827035,,1485.125098
8500,0.838391,,1465.008095
8500,0.827141,,1484.934547
8500,0.836720,,1467.933794
8500,0.828941,,1481.709962
9000,1.001596,,1455.676119
9000,1.014200,,1437.586893
9000,0.989736,,1473.119389
9000,0.994690,,1465.782850
9000,0.993302,,1467.831772
9500,1.137999,,1506.811961
9500,1.159519,,1478.845480
9500,1.152265,,1488.156549
9500,1.158293,,1480.410757
9500,1.162592,,1474.936636
10000,1.322522,,1512.262692
10000,1.336499,,1496.447208
10000,1.351393,,1479.954264
10000,1.329577,,1504.238105
10000,1.348954,,1482.630361
10500,1.513808,,1529.421398
10500,1.513700,,1529.530027
10500,1.528916,,1514.308128
10500,1.520976,,1522.213169
10500,1.517689,,1525.510151
11000,1.706811,,1559.633357
11000,1.658382,,1605.178616
11000,1.690911,,1574.298840
11000,1.681658,,1582.961413
11000,1.680135,,1584.396023
11500,1.866297,,1629.831564
11500,1.876214,,1621.216799
11500,1.853802,,1640.816710
11500,1.896071,,1604.238442
11500,1.869069,,1627.414790
12000,2.085117,,1657.461304
12000,2.118629,,1631.243558
12000,2.087679,,1655.426634
12000,2.123755,,1627.306432
12000,2.125184,,1626.212240
12500,2.327722,,1678.143185
12500,2.362884,,1653.170280
12500,2.353230,,1659.952812
12500,2.340509,,1668.974403
12500,2.382506,,1639.554862
13000,2.466621,,1781.384439
13000,2.662221,,1650.501785
13000,2.453499,,1790.912011
13000,2.462311,,1784.502741
13000,2.443960,,1797.901617
13500,2.914394,,1688.430024
13500,2.922823,,1683.560687
13500,2.875203,,1711.444322
13500,2.637687,,1865.554712
13500,2.882134,,1707.328805
14000,3.251387,,1687.894893
14000,3.283379,,1671.448648
14000,3.286557,,1669.832600
14000,3.234561,,1696.675311
14000,3.310076,,1657.967752
14500,3.022413,,2017.345204
14500,3.042011,,2004.348523
14500,3.027688,,2013.830237
14500,3.000296,,2032.216395
14500,3.034472,,2009.328024
15000,3.942343,,1712.179793
15000,3.934842,,1715.443644
15000,3.937101,,1714.459625
15000,3.946650,,1710.311435
15000,3.970614,,1699.988835
15500,4.313742,,1726.517302
15500,4.487647,,1659.611309
15500,4.304929,,1730.051758
15500,4.220971,,1764.463639
15500,4.284738,,1738.204246
16000,5.045276,,1623.697243
16000,5.052685,,1621.316205
16000,5.049675,,1622.282604
16000,5.044604,,1623.913509
16000,5.007321,,1636.004706
16500,5.551070,,1618.471871
16500,5.491304,,1636.086937
16500,5.476752,,1640.433975
16500,5.528984,,1624.936735
16500,4.868684,,1845.313966
17000,5.967522,,1646.579735
17000,5.930535,,1656.848935
17000,5.911999,,1662.043596
17000,5.980851,,1642.910142
17000,5.920779,,1659.578790
17500,6.246355,,1716.000804
17500,6.240492,,1717.613086
17500,5.698381,,1881.016798
17500,6.329226,,1693.532461
17500,6.223977,,1722.170653
18000,4.986171,,2339.269821
18000,5.048051,,2310.594873
18000,6.152977,,1895.667750
18000,4.975228,,2344.415163
18000,5.416687,,2153.345627
18500,6.536377,,1937.349972
18500,6.551898,,1932.760510
18500,6.521661,,1941.721701
18500,6.498049,,1948.777263
18500,6.559699,,1930.462151
19000,7.829027,,1752.197254
19000,7.836073,,1750.621850
19000,7.561834,,1814.110067
19000,7.788766,,1761.254692
19000,7.815335,,1755.266954
19500,7.275499,,2038.313822
19500,8.344716,,1777.142655
19500,7.248253,,2045.975742
19500,7.979524,,1858.475614
19500,8.312059,,1784.124683
20000,7.690297,,2080.543947
20000,6.272654,,2550.754254
20000,7.762345,,2061.232814
20000,7.653989,,2090.413172
20000,7.758616,,2062.223398
