size,exTime,gflops
2000,0.019549,,818.462635
2000,0.019344,,827.116476
2000,0.019429,,823.519257
2000,0.019307,,828.693770
2000,0.019528,,819.344058
2500,0.026127,,1196.061547
2500,0.025960,,1203.781809
2500,0.026666,,1171.914889
2500,0.026188,,1193.300973
2500,0.026363,,1185.363548
3000,0.035314,,1529.124556
3000,0.035211,,1533.601377
3000,0.035079,,1539.391972
3000,0.034494,,1565.478713
3000,0.035364,,1526.957631
3500,0.045546,,1882.696234
3500,0.047684,,1798.307494
3500,0.046478,,1844.970933
3500,0.046436,,1846.637996
3500,0.046158,,1857.756432
4000,0.060299,,2122.750925
4000,0.060351,,2120.916112
4000,0.058914,,2172.671064
4000,0.059945,,2135.284592
4000,0.059174,,2163.099128
4500,0.083640,,2178.988331
4500,0.083228,,2189.765735
4500,0.082131,,2219.015260
4500,0.080303,,2269.541763
4500,0.082441,,2210.667906
5000,0.105043,,2379.986061
5000,0.105644,,2366.435113
5000,0.104870,,2383.903472
5000,0.106704,,2342.923717
5000,0.109466,,2283.805870
5500,0.154222,,2157.598545
5500,0.152504,,2181.916678
5500,0.156515,,2125.996501
5500,0.150828,,2206.156599
5500,0.150964,,2204.172378
6000,0.240107,,1799.196202
6000,0.243978,,1770.651735
6000,0.239419,,1804.368685
6000,0.246394,,1753.291347
6000,0.249449,,1731.817973
6500,0.337871,,1625.618461
6500,0.351017,,1564.740367
6500,0.361047,,1521.271529
6500,0.349000,,1573.782136
6500,0.336797,,1630.804366
7000,0.456252,,1503.555745
7000,0.459606,,1492.583865
7000,0.469708,,1460.480696
7000,0.467282,,1468.063618
7000,0.471950,,1453.543669
7500,0.626039,,1347.758408
7500,0.632969,,1333.003373
7500,0.636137,,1326.365829
7500,0.628902,,1341.624931
7500,0.629875,,1339.552464
8000,0.784720,,1304.923304
8000,0.789548,,1296.945307
8000,0.792680,,1291.820226
8000,0.774749,,1321.717655
8000,0.784581,,1305.155525
8500,1.020943,,1203.054319
8500,1.013727,,1211.617847
8500,1.014160,,1211.100551
8500,1.007787,,1218.759081
8500,1.018156,,1206.348050
9000,1.120061,,1301.715332
9000,1.119220,,1302.692409
9000,1.126609,,1294.148733
9000,1.115397,,1307.157935
9000,1.135881,,1283.585426
9500,1.390200,,1233.455520
9500,1.382068,,1240.712987
9500,1.352214,,1268.105304
9500,1.338171,,1281.413437
9500,1.390607,,1233.094512
10000,1.530359,,1306.882774
10000,1.541526,,1297.415748
10000,1.537816,,1300.545939
10000,1.545995,,1293.665433
10000,1.550070,,1290.264187
10500,1.798510,,1287.315402
10500,1.826897,,1267.312648
10500,1.824065,,1269.280368
10500,1.810842,,1278.548790
10500,1.844851,,1254.979181
11000,2.006010,,1327.012118
11000,1.998948,,1331.700417
11000,2.002375,,1329.421084
11000,2.012986,,1322.413850
11000,2.004160,,1328.237490
11500,2.319023,,1311.651336
11500,2.323048,,1309.379135
11500,2.321886,,1310.034185
11500,2.324657,,1308.472809
11500,2.326893,,1307.215064
12000,2.627698,,1315.219385
12000,2.392304,,1444.632354
12000,2.651916,,1303.208775
12000,2.407749,,1435.365342
12000,2.427942,,1423.427715
12500,2.917979,,1338.683539
12500,2.920150,,1337.688237
12500,2.963011,,1318.338020
12500,2.984615,,1308.795394
12500,2.976075,,1312.550863
13000,2.720188,,1615.329353
13000,3.293549,,1334.123123
13000,3.292505,,1334.546160
13000,3.281070,,1339.197221
13000,2.724107,,1613.005787
13500,3.677820,,1337.953029
13500,3.652596,,1347.192638
13500,3.660379,,1344.328005
13500,3.643166,,1350.679723
13500,3.634920,,1353.743602
14000,4.116352,,1333.219439
14000,4.083870,,1343.823419
14000,4.075925,,1346.442841
14000,4.077163,,1346.033927
14000,4.078389,,1345.629417
14500,3.326748,,1832.796022
14500,3.340272,,1825.375075
14500,3.348773,,1820.741447
14500,3.339979,,1825.535347
14500,3.326051,,1833.179788
15000,4.969880,,1358.181814
15000,4.953523,,1362.666588
15000,4.965104,,1359.488128
15000,4.934506,,1367.918056
15000,4.931597,,1368.725116
15500,5.284018,,1409.486022
15500,5.284768,,1409.286081
15500,5.271804,,1412.751807
15500,5.252704,,1417.888659
15500,5.268314,,1413.687480
16000,6.003964,,1364.431861
16000,6.093790,,1344.319299
16000,6.043741,,1355.451800
16000,6.064482,,1350.816033
16000,6.063159,,1351.110920
16500,6.622445,,1356.636374
16500,6.590668,,1363.177443
16500,4.759378,,1887.694341
16500,6.611065,,1358.971630
16500,6.629510,,1355.190656
17000,7.255052,,1354.366526
17000,7.138642,,1376.452332
17000,7.179864,,1368.549554
17000,7.220922,,1360.767969
17000,7.219067,,1361.117738
17500,7.760092,,1381.265811
17500,7.725487,,1387.452904
17500,7.749743,,1383.110446
17500,7.756149,,1381.968078
17500,7.744826,,1383.988512
18000,7.591321,,1536.491440
18000,5.890665,,1980.081886
18000,5.901401,,1976.479967
18000,5.831791,,2000.071658
18000,7.361170,,1584.530741
18500,6.327806,,2001.206963
18500,8.109715,,1561.491281
18500,8.136692,,1556.314242
18500,8.129080,,1557.771649
18500,8.096055,,1564.125978
19000,9.161987,,1497.273506
19000,10.097612,,1358.539074
19000,9.191569,,1492.454649
19000,9.147953,,1499.570489
19000,10.100436,,1358.159194
19500,7.379860,,2009.489421
19500,9.027310,,1642.765208
19500,9.051845,,1638.312477
19500,9.021070,,1643.901508
19500,9.031265,,1642.045718
20000,9.686197,,1651.835104
20000,9.847855,,1624.719237
20000,7.782192,,2055.975920
20000,9.568369,,1672.176368
20000,9.756513,,1639.930197
