size,exTime,gflops
2000,0.020195,,792.293598
2000,0.021463,,745.476553
2000,0.020509,,780.128413
2000,0.020658,,774.501738
2000,0.020690,,773.333377
2500,0.029381,,1063.608122
2500,0.030174,,1035.664096
2500,0.029634,,1054.542027
2500,0.032844,,951.468210
2500,0.030611,,1020.882986
3000,0.042657,,1265.913203
3000,0.043119,,1252.340718
3000,0.042618,,1267.071263
3000,0.042087,,1283.045764
3000,0.042372,,1274.438689
3500,0.056307,,1522.902617
3500,0.058281,,1471.314279
3500,0.057262,,1497.503518
3500,0.057818,,1483.099634
3500,0.056967,,1505.250216
4000,0.075469,,1696.053712
4000,0.075439,,1696.733176
4000,0.076186,,1680.103094
4000,0.076697,,1668.907305
4000,0.077371,,1654.374086
4500,0.099314,,1835.090907
4500,0.100193,,1818.985720
4500,0.101112,,1802.451851
4500,0.102704,,1774.523279
4500,0.100738,,1809.141265
5000,0.128369,,1947.511557
5000,0.129093,,1936.588216
5000,0.127645,,1958.563901
5000,0.129869,,1925.010611
5000,0.131914,,1895.176068
5500,0.187997,,1769.973207
5500,0.189509,,1755.854757
5500,0.183524,,1813.112454
5500,0.191875,,1734.204575
5500,0.193043,,1723.706654
6000,0.267317,,1616.060958
6000,0.248703,,1737.012720
6000,0.263064,,1642.183485
6000,0.258776,,1669.394381
6000,0.272553,,1585.014411
6500,0.339464,,1617.989739
6500,0.325742,,1686.148991
6500,0.335201,,1638.568623
6500,0.324168,,1694.339166
6500,0.327838,,1675.368737
7000,0.429751,,1596.273815
7000,0.454653,,1508.842251
7000,0.428212,,1602.011603
7000,0.429449,,1597.395030
7000,0.431046,,1591.477959
7500,0.528857,,1595.420938
7500,0.519535,,1624.048319
7500,0.531769,,1586.685348
7500,0.521200,,1618.860406
7500,0.529548,,1593.341344
8000,0.643140,,1592.188920
8000,0.616239,,1661.692529
8000,0.610038,,1678.582914
8000,0.631342,,1621.941490
8000,0.632462,,1619.068652
8500,0.731964,,1678.019356
8500,0.735233,,1670.559184
8500,0.742606,,1653.973538
8500,0.742740,,1653.675066
8500,0.738746,,1662.615716
9000,0.870316,,1675.252885
9000,0.844485,,1726.495108
9000,0.842807,,1729.933677
9000,0.873028,,1670.049297
9000,0.842860,,1729.825205
9500,0.969302,,1769.056372
9500,0.983351,,1743.782298
9500,0.970482,,1766.905462
9500,0.958031,,1789.868469
9500,0.973589,,1761.266894
10000,1.097395,,1822.498357
10000,1.099035,,1819.777561
10000,1.096840,,1823.420289
10000,1.092297,,1831.003433
10000,1.091542,,1832.271140
10500,1.266918,,1827.466683
10500,1.252657,,1848.270614
10500,1.285141,,1801.552757
10500,1.291641,,1792.486718
10500,1.234033,,1876.164846
11000,1.538836,,1729.879171
11000,1.546522,,1721.281975
11000,1.465287,,1816.709419
11000,1.485341,,1792.181318
11000,1.552209,,1714.974824
11500,1.616010,,1882.259938
11500,1.615661,,1882.666073
11500,1.666524,,1825.205828
11500,1.611964,,1886.984295
11500,1.632987,,1862.691011
12000,1.898788,,1820.108743
12000,1.884697,,1833.716828
12000,2.144615,,1611.478402
12000,1.867925,,1850.181324
12000,1.813577,,1905.626437
12500,2.075299,,1882.258846
12500,2.076282,,1881.367596
12500,2.078482,,1879.376127
12500,2.104598,,1856.055264
12500,2.053046,,1902.660826
13000,2.220328,,1978.986548
13000,2.239802,,1961.780718
13000,2.228932,,1971.347735
13000,2.296401,,1913.428534
13000,2.222334,,1977.200559
13500,2.525013,,1948.802096
13500,2.474998,,1988.183589
13500,2.560863,,1921.520006
13500,2.518110,,1954.143959
13500,2.500381,,1968.000298
14000,2.705229,,2028.663584
14000,2.768653,,1982.191264
14000,2.803052,,1957.865578
14000,2.688053,,2041.626567
14000,2.790002,,1967.023783
14500,3.149620,,1935.868612
14500,3.008504,,2026.671409
14500,3.021646,,2017.857414
14500,3.008667,,2026.561850
14500,2.834339,,2151.206853
15000,3.424291,,1971.210771
15000,3.411625,,1978.529411
15000,3.414133,,1977.075877
15000,3.350263,,2014.767479
15000,3.527240,,1913.677430
15500,3.633135,,2049.951296
15500,3.559934,,2092.103345
15500,3.701475,,2012.103463
15500,3.568826,,2086.890973
15500,3.578726,,2081.117678
16000,4.041649,,2026.895283
16000,4.230394,,1936.462449
16000,3.890913,,2105.418661
16000,4.079994,,2007.846210
16000,3.933182,,2082.792225
16500,4.240101,,2118.876441
16500,3.586143,,2505.268016
16500,4.364479,,2058.493345
16500,4.264279,,2106.862847
16500,4.440841,,2023.096661
17000,4.640557,,2117.418158
17000,3.840816,,2558.310267
17000,4.776777,,2057.035665
17000,4.667658,,2105.124122
17000,4.702289,,2089.620755
17500,5.112678,,2096.504032
17500,5.126047,,2091.036190
17500,5.042380,,2125.732347
17500,4.966771,,2158.092450
17500,5.003524,,2142.240324
18000,5.205888,,2240.539989
18000,5.362524,,2175.095271
18000,4.679327,,2492.666352
18000,5.673852,,2055.746424
18000,5.461164,,2135.808267
18500,5.572485,,2272.460210
18500,5.568834,,2273.950158
18500,5.675472,,2231.223990
18500,5.379413,,2354.020986
18500,5.583329,,2268.046652
19000,6.199091,,2212.905002
19000,6.224153,,2203.994755
19000,6.233400,,2200.725232
19000,6.315976,,2171.952409
19000,6.321211,,2170.153804
19500,6.507863,,2278.743371
19500,6.517422,,2275.401099
19500,6.431950,,2305.638104
19500,6.549431,,2264.280507
19500,6.792154,,2183.364710
20000,6.496493,,2462.867438
20000,6.476854,,2470.335007
20000,7.074710,,2261.576704
20000,6.844289,,2337.715549
20000,5.933364,,2696.615446
