size,exTime,gflops
2000,0.016365,,977.704129
2000,0.016354,,978.337050
2000,0.015980,,1001.242229
2000,0.015822,,1011.234627
2000,0.016824,,951.015396
2500,0.023629,,1322.535686
2500,0.022492,,1389.363743
2500,0.023201,,1346.910769
2500,0.022841,,1368.163702
2500,0.022889,,1365.264593
3000,0.031122,,1735.107277
3000,0.031736,,1701.511093
3000,0.030702,,1758.820272
3000,0.031296,,1725.443583
3000,0.031860,,1694.923287
3500,0.043512,,1970.735214
3500,0.043184,,1985.696777
3500,0.042087,,2037.445952
3500,0.042806,,2003.211446
3500,0.044444,,1929.401327
4000,0.060808,,2104.996744
4000,0.058673,,2181.580699
4000,0.057100,,2241.670583
4000,0.058365,,2193.088225
4000,0.058919,,2172.480970
4500,0.074844,,2435.059437
4500,0.075120,,2426.117016
4500,0.076067,,2395.912774
4500,0.076251,,2390.147415
4500,0.074949,,2431.643597
5000,0.098657,,2534.033437
5000,0.099316,,2517.216223
5000,0.099336,,2516.718384
5000,0.101162,,2471.286786
5000,0.097899,,2553.664389
5500,0.155921,,2134.086882
5500,0.157763,,2109.170113
5500,0.158076,,2105.004188
5500,0.154192,,2158.026940
5500,0.157020,,2119.150506
6000,0.223983,,1928.718821
6000,0.220620,,1958.121608
6000,0.222362,,1942.780334
6000,0.219623,,1967.005128
6000,0.224485,,1924.408975
6500,0.294732,,1863.557945
6500,0.288355,,1904.772077
6500,0.288789,,1901.908938
6500,0.289627,,1896.406271
6500,0.292749,,1876.180779
7000,0.424048,,1617.743234
7000,0.421077,,1629.155268
7000,0.419290,,1636.099303
7000,0.418236,,1640.221455
7000,0.425466,,1612.349086
7500,0.549400,,1535.765295
7500,0.538088,,1568.051917
7500,0.542893,,1554.173054
7500,0.554985,,1520.312675
7500,0.538133,,1567.920982
8000,0.691096,,1481.704672
8000,0.694475,,1474.495897
8000,0.690128,,1483.782016
8000,0.695391,,1472.553555
8000,0.693752,,1476.031496
8500,0.842113,,1458.533646
8500,0.834616,,1471.634819
8500,0.837607,,1466.379807
8500,0.831374,,1477.374406
8500,0.835934,,1469.315217
9000,0.991788,,1470.072611
9000,0.994072,,1466.693873
9000,0.997697,,1461.365422
9000,0.998870,,1459.650108
9000,0.991441,,1470.587292
9500,1.158340,,1480.350694
9500,1.148325,,1493.261955
9500,1.139048,,1505.424440
9500,1.153557,,1486.488731
9500,1.139516,,1504.805010
10000,1.355133,,1475.870430
10000,1.329214,,1504.649081
10000,1.331432,,1502.142308
10000,1.351053,,1480.327288
10000,1.326453,,1507.780457
10500,1.499559,,1543.953934
10500,1.513319,,1529.915672
10500,1.515062,,1528.154868
10500,1.508810,,1534.487366
10500,1.507853,,1535.461765
11000,1.675292,,1588.976617
11000,1.673924,,1590.274942
11000,1.644608,,1618.623057
11000,1.659342,,1604.250081
11000,1.677573,,1586.816309
11500,1.850532,,1643.716212
11500,1.885857,,1612.927447
11500,1.853752,,1640.860926
11500,1.851197,,1643.125702
11500,1.848305,,1645.697035
12000,2.091124,,1652.699572
12000,2.097747,,1647.481638
12000,2.089202,,1654.220088
12000,2.111611,,1636.665044
12000,2.111620,,1636.658180
12500,2.314767,,1687.535019
12500,2.334126,,1673.538729
12500,2.358670,,1656.124097
12500,2.340892,,1668.701335
12500,2.369064,,1648.857720
13000,2.467387,,1780.831469
13000,2.482507,,1769.984722
13000,2.457474,,1788.014849
13000,2.497696,,1759.221551
13000,2.496728,,1759.903409
13500,2.901265,,1696.070616
13500,2.882763,,1706.956230
13500,2.889600,,1702.917443
13500,2.869685,,1714.734947
13500,2.898799,,1697.513530
14000,3.274683,,1675.887168
14000,3.263490,,1681.635479
14000,3.257501,,1684.727110
14000,3.272584,,1676.962093
14000,3.245839,,1690.780246
14500,3.025135,,2015.529558
14500,3.561132,,1712.166167
14500,3.027466,,2013.977915
14500,3.546672,,1719.147010
14500,3.038049,,2006.962495
15000,3.957033,,1705.823357
15000,3.889118,,1735.612116
15000,3.891161,,1734.700914
15000,3.874533,,1742.145582
15000,3.913873,,1724.634427
15500,4.253621,,1750.920060
15500,4.245424,,1754.300509
15500,4.275460,,1741.976215
15500,4.255479,,1750.155364
15500,4.234024,,1759.023941
16000,4.934300,,1660.215121
16000,4.933043,,1660.638342
16000,4.880970,,1678.354958
16000,4.906287,,1669.694416
16000,4.569810,,1792.634564
16500,5.331333,,1685.178916
16500,5.497864,,1634.134529
16500,5.459698,,1645.558070
16500,5.349833,,1679.351330
16500,5.529338,,1624.832881
17000,5.314358,,1848.953460
17000,5.900386,,1665.314720
17000,5.882260,,1670.446348
17000,5.924099,,1658.648828
17000,5.953036,,1650.586398
17500,6.204414,,1727.600678
17500,6.203286,,1727.914855
17500,6.362762,,1684.606546
17500,6.209172,,1726.276840
17500,6.167335,,1737.987344
18000,6.169737,,1890.518281
18000,6.154452,,1895.213290
18000,6.186528,,1885.387098
18000,6.164630,,1892.084386
18000,5.378108,,2168.792590
18500,6.550303,,1933.231148
18500,6.543747,,1935.167934
18500,6.520598,,1942.038177
18500,6.559240,,1930.597071
18500,6.557344,,1931.155376
19000,7.734772,,1773.549282
19000,7.757196,,1768.422480
19000,7.803985,,1757.819840
19000,7.822806,,1753.590649
19000,7.775265,,1764.312873
19500,7.250027,,2045.475053
19500,8.258061,,1795.790844
19500,8.235240,,1800.767238
19500,7.814036,,1897.834852
19500,8.270843,,1793.015613
20000,7.920116,,2020.172401
20000,7.826623,,2044.304416
20000,6.323819,,2530.116499
20000,7.248880,,2207.237449
20000,7.745369,,2065.750437
