size,exTime,gflops
2000,0.027986,,571.708790
2000,0.020383,,784.974528
2000,0.019462,,822.109864
2000,0.019623,,815.369719
2000,0.019815,,807.474794
2500,0.027218,,1148.150255
2500,0.026967,,1158.803766
2500,0.027556,,1134.067624
2500,0.026587,,1175.371436
2500,0.026329,,1186.895744
3000,0.036033,,1498.629379
3000,0.035940,,1502.505010
3000,0.035980,,1500.824828
3000,0.036012,,1499.489132
3000,0.035655,,1514.510016
3500,0.048370,,1772.799724
3500,0.049066,,1747.652261
3500,0.049022,,1749.227413
3500,0.048834,,1755.942611
3500,0.048621,,1763.639375
4000,0.069288,,1847.365256
4000,0.068199,,1876.867327
4000,0.067348,,1900.587457
4000,0.069859,,1832.263728
4000,0.065774,,1946.056263
4500,0.089432,,2037.856930
4500,0.088768,,2053.094476
4500,0.090060,,2023.660674
4500,0.093122,,1957.115156
4500,0.090963,,2003.568121
5000,0.111372,,2244.730605
5000,0.111821,,2235.724568
5000,0.111329,,2245.599008
5000,0.109755,,2277.802278
5000,0.112869,,2214.963501
5500,0.190777,,1744.185467
5500,0.193141,,1722.834114
5500,0.192867,,1725.284408
5500,0.180272,,1845.826579
5500,0.203173,,1637.768119
6000,0.257370,,1678.517205
6000,0.254265,,1699.013965
6000,0.248017,,1741.816169
6000,0.252656,,1709.833714
6000,0.256526,,1684.037684
6500,0.346192,,1586.545512
6500,0.349400,,1571.980192
6500,0.342513,,1603.589752
6500,0.345079,,1591.662751
6500,0.341746,,1607.188674
7000,0.460774,,1488.798890
7000,0.466827,,1469.493704
7000,0.458904,,1494.864869
7000,0.476628,,1439.278975
7000,0.462811,,1482.246568
7500,0.627010,,1345.672683
7500,0.621070,,1358.541776
7500,0.619320,,1362.381368
7500,0.624253,,1351.615412
7500,0.632394,,1334.216231
8000,0.799560,,1280.703825
8000,0.792020,,1292.896025
8000,0.791329,,1294.026385
8000,0.766346,,1336.210414
8000,0.777341,,1317.311240
8500,0.964884,,1272.950996
8500,0.967135,,1269.988631
8500,0.969565,,1266.805554
8500,0.956607,,1283.965755
8500,0.981889,,1250.905112
9000,1.100775,,1324.521414
9000,1.107680,,1316.265121
9000,1.114823,,1307.830412
9000,1.106884,,1317.210813
9000,1.094891,,1331.639160
9500,1.314497,,1304.491299
9500,1.316214,,1302.789455
9500,1.305804,,1313.175342
9500,1.307173,,1311.800573
9500,1.302221,,1316.789048
10000,1.522250,,1313.844611
10000,1.543753,,1295.543825
10000,1.517939,,1317.575866
10000,1.544017,,1295.322136
10000,1.527407,,1309.409118
10500,1.739862,,1330.709258
10500,1.741331,,1329.586566
10500,1.742208,,1328.917255
10500,1.737421,,1332.578230
10500,1.745374,,1326.506598
11000,1.992788,,1335.816958
11000,2.020081,,1317.769059
11000,2.058076,,1293.441260
11000,2.052351,,1297.049262
11000,2.049742,,1298.699961
11500,2.286892,,1330.080331
11500,2.282365,,1332.718485
11500,2.282361,,1332.720580
11500,2.285275,,1331.021275
11500,2.273183,,1338.101778
12000,2.615751,,1321.226584
12000,2.628018,,1315.059663
12000,2.621103,,1318.528906
12000,2.599400,,1329.537726
12000,2.621717,,1318.219942
12500,2.946757,,1325.609949
12500,2.911864,,1341.494615
12500,2.969892,,1315.283738
12500,2.960318,,1319.537111
12500,2.953780,,1322.458021
13000,2.728936,,1610.151299
13000,2.736961,,1605.430419
13000,2.755212,,1594.795653
13000,2.746588,,1599.803317
13000,2.744426,,1601.063508
13500,3.684479,,1335.534734
13500,3.681893,,1336.472708
13500,3.663422,,1343.211391
13500,3.662025,,1343.723752
13500,3.662259,,1343.637903
14000,4.080393,,1344.968431
14000,4.105090,,1336.877014
14000,4.098275,,1339.100009
14000,4.066667,,1349.508048
14000,4.087281,,1342.701848
14500,4.523822,,1347.809586
14500,3.397716,,1794.514312
14500,4.199614,,1451.859715
14500,3.370507,,1809.000872
14500,4.526737,,1346.941464
15000,4.996046,,1351.068521
15000,4.996952,,1350.823533
15000,4.953491,,1362.675428
15000,4.956696,,1361.794266
15000,5.004387,,1348.816522
15500,5.349016,,1392.358869
15500,5.329144,,1397.550799
15500,5.336243,,1395.691720
15500,5.308857,,1402.891518
15500,5.335742,,1395.822698
16000,6.058671,,1352.111772
16000,6.081542,,1347.026719
16000,6.104921,,1341.868329
16000,5.977552,,1370.460709
16000,4.483471,,1827.155849
16500,6.500959,,1381.988492
16500,6.506106,,1380.895095
16500,6.465461,,1389.576190
16500,6.460991,,1390.537382
16500,6.506808,,1380.746086
17000,7.111695,,1381.667831
17000,7.220873,,1360.777354
17000,7.096938,,1384.540804
17000,7.150972,,1374.078901
17000,7.207368,,1363.327133
17500,7.776424,,1378.364882
17500,7.714438,,1389.440170
17500,7.752819,,1382.561644
17500,7.726285,,1387.309707
17500,7.707757,,1390.644519
18000,7.722984,,1510.297118
18000,7.710929,,1512.658242
18000,7.630062,,1528.690050
18000,7.637416,,1527.218044
18000,8.359121,,1395.362066
18500,8.112647,,1560.927106
18500,8.155560,,1552.713651
18500,8.077536,,1567.711905
18500,8.136452,,1556.360184
18500,8.100865,,1563.197289
19000,9.296426,,1475.620851
19000,9.222526,,1487.444920
19000,9.216084,,1488.484730
19000,9.161075,,1497.422546
19000,9.315420,,1472.612007
19500,9.535513,,1555.212544
19500,9.121100,,1625.872951
19500,9.523155,,1557.230700
19500,9.053288,,1638.051234
19500,9.470161,,1565.944870
20000,7.874058,,2031.989051
20000,9.766213,,1638.301288
20000,9.231734,,1733.152214
20000,7.929855,,2017.691298
20000,11.625291,,1376.309599
