size,exTime,gflops
2000,0.019279,,829.901948
2000,0.019679,,813.056261
2000,0.020868,,766.729131
2000,0.020087,,796.552957
2000,0.020123,,795.102645
2500,0.029551,,1057.506063
2500,0.029521,,1058.562632
2500,0.030571,,1022.197418
2500,0.030439,,1026.631815
2500,0.030250,,1033.058842
3000,0.043046,,1254.464092
3000,0.043649,,1237.146903
3000,0.041259,,1308.791521
3000,0.042079,,1283.289358
3000,0.042537,,1269.487754
3500,0.055858,,1535.150296
3500,0.057805,,1483.441514
3500,0.057382,,1494.377307
3500,0.057609,,1488.484847
3500,0.058438,,1467.378424
4000,0.076974,,1662.894322
4000,0.078576,,1629.002040
4000,0.077871,,1643.749735
4000,0.078359,,1633.504192
4000,0.077312,,1655.637384
4500,0.100235,,1818.236091
4500,0.100609,,1811.459192
4500,0.099873,,1824.824187
4500,0.103306,,1764.173854
4500,0.102446,,1778.986211
5000,0.135903,,1839.545916
5000,0.136430,,1832.440041
5000,0.138675,,1802.771023
5000,0.142629,,1752.793481
5000,0.136166,,1836.000989
5500,0.223800,,1486.816436
5500,0.203120,,1638.193921
5500,0.210855,,1578.096396
5500,0.201243,,1653.472790
5500,0.207851,,1600.906942
6000,0.241227,,1790.846209
6000,0.237429,,1819.489071
6000,0.247025,,1748.811500
6000,0.255955,,1687.795661
6000,0.245013,,1763.174765
6500,0.317459,,1730.143285
6500,0.337090,,1629.386284
6500,0.334880,,1640.140996
6500,0.325293,,1688.480347
6500,0.331820,,1655.264763
7000,0.405461,,1691.900520
7000,0.417537,,1642.969171
7000,0.410227,,1672.244647
7000,0.418357,,1639.748490
7000,0.410578,,1670.816327
7500,0.551005,,1531.293139
7500,0.524379,,1609.047166
7500,0.515978,,1635.242944
7500,0.521206,,1618.842674
7500,0.506404,,1666.158762
8000,0.621435,,1647.800252
8000,0.622230,,1645.695029
8000,0.616580,,1660.773405
8000,0.599256,,1708.786895
8000,0.620686,,1649.788317
8500,0.713419,,1721.639015
8500,0.732992,,1675.666836
8500,0.715448,,1716.756647
8500,0.717531,,1711.773734
8500,0.727412,,1688.520370
9000,0.859127,,1697.070861
9000,0.835702,,1744.641671
9000,0.829833,,1756.979197
9000,0.887663,,1642.515219
9000,0.861287,,1692.814967
9500,0.940915,,1822.429131
9500,0.959018,,1788.026783
9500,0.949952,,1805.091182
9500,0.978131,,1753.088012
9500,0.956079,,1793.522832
10000,1.072792,,1864.293998
10000,1.076868,,1857.238354
10000,1.061195,,1884.668481
10000,1.075888,,1858.929651
10000,1.107626,,1805.663881
10500,1.242820,,1862.900369
10500,1.286986,,1798.971310
10500,1.215628,,1904.570596
10500,1.239914,,1867.267102
10500,1.286901,,1799.089993
11000,1.490850,,1785.558301
11000,1.503535,,1770.493795
11000,1.442202,,1845.788447
11000,1.525928,,1744.512582
11000,1.452830,,1832.285806
11500,1.586012,,1917.861134
11500,1.577028,,1928.785882
11500,1.571442,,1935.642642
11500,1.569917,,1937.522620
11500,1.638599,,1856.311946
12000,1.826875,,1891.754632
12000,1.853026,,1865.057764
12000,1.861957,,1856.111380
12000,1.819693,,1899.221453
12000,1.792865,,1927.640536
12500,2.081444,,1876.702385
12500,2.079002,,1878.906400
12500,2.059236,,1896.941278
12500,2.094457,,1865.042228
12500,2.085316,,1873.217491
13000,2.275560,,1930.953526
13000,2.276144,,1930.457963
13000,2.504213,,1754.642977
13000,2.227606,,1972.521401
13000,2.230229,,1970.201644
13500,2.468233,,1993.632444
13500,2.548219,,1931.054223
13500,2.549536,,1930.057271
13500,2.531642,,1943.699113
13500,2.472974,,1989.810309
14000,2.694145,,2037.010129
14000,2.712476,,2023.243889
14000,2.695845,,2035.725112
14000,2.716928,,2019.928183
14000,2.742733,,2000.923594
14500,3.006185,,2028.234928
14500,3.150017,,1935.624442
14500,2.651497,,2299.550293
14500,2.998327,,2033.550693
14500,3.041951,,2004.388029
15000,3.364566,,2006.202237
15000,3.123952,,2160.724500
15000,3.436294,,1964.325379
15000,3.465268,,1947.901399
15000,3.312212,,2037.913162
15500,3.559571,,2092.317030
15500,3.579938,,2080.413352
15500,3.668415,,2030.236280
15500,3.637390,,2047.553449
15500,3.550850,,2097.455392
16000,4.007675,,2044.077849
16000,4.064910,,2015.296786
16000,4.069250,,2013.147257
16000,4.005424,,2045.226447
16000,3.963632,,2066.791518
16500,4.457081,,2015.725314
16500,4.256894,,2110.517678
16500,4.263990,,2107.005263
16500,4.294854,,2091.864033
16500,4.480310,,2005.274228
17000,4.696868,,2092.032442
17000,4.708672,,2086.787781
17000,4.759445,,2064.526481
17000,4.683977,,2097.790079
17000,4.691705,,2094.334604
17500,5.038423,,2127.401845
17500,5.031781,,2130.209874
17500,5.064076,,2116.625090
17500,5.159558,,2077.454950
17500,5.146700,,2082.645155
18000,5.592054,,2085.816630
18000,5.612745,,2078.127549
18000,5.504075,,2119.157143
18000,5.453757,,2138.708979
18000,5.407879,,2156.853131
18500,5.769275,,2194.946626
18500,5.724851,,2211.978941
18500,5.598496,,2261.902198
18500,5.652185,,2240.416735
18500,5.569982,,2273.481505
19000,6.345397,,2161.882169
19000,6.393395,,2145.651806
19000,6.402201,,2142.700706
19000,6.357071,,2157.912181
19000,6.369594,,2153.669294
19500,6.572592,,2256.301453
19500,6.554648,,2262.478303
19500,6.624449,,2238.639117
19500,6.548064,,2264.753453
19500,6.571446,,2256.694982
20000,6.533219,,2449.022471
20000,6.767516,,2364.235243
20000,6.041411,,2648.388132
20000,5.970689,,2679.757634
20000,6.524086,,2452.450964
