size,exTime,gflops
2000,0.028006,,571.296745
2000,0.028337,,564.624922
2000,0.027800,,575.535635
2000,0.028053,,570.351646
2000,0.028780,,555.943133
2500,0.050949,,613.362092
2500,0.050739,,615.901011
2500,0.050919,,613.717636
2500,0.050790,,615.276672
2500,0.050455,,619.361175
3000,0.082695,,653.005738
3000,0.084156,,641.667545
3000,0.082315,,656.013223
3000,0.082322,,655.961991
3000,0.083648,,645.560281
3500,0.126625,,677.197034
3500,0.126482,,677.961840
3500,0.126420,,678.293801
3500,0.127283,,673.696920
3500,0.128175,,669.005828
4000,0.184058,,695.432436
4000,0.183599,,697.172734
4000,0.184789,,692.680166
4000,0.184627,,693.288621
4000,0.183733,,696.662653
4500,0.259462,,702.415660
4500,0.257269,,708.403106
4500,0.261209,,697.717506
4500,0.264284,,689.599125
4500,0.262805,,693.479534
5000,0.359435,,695.535086
5000,0.359844,,694.745466
5000,0.358249,,697.838771
5000,0.352936,,708.343110
5000,0.356211,,701.832183
5500,0.461848,,720.474737
5500,0.463146,,718.455480
5500,0.460312,,722.878652
5500,0.465828,,714.319747
5500,0.463916,,717.264095
6000,0.593285,,728.149460
6000,0.594282,,726.927121
6000,0.611344,,706.639589
6000,0.591591,,730.234255
6000,0.588823,,733.666659
6500,0.752207,,730.184722
6500,0.758104,,724.504842
6500,0.754394,,728.067710
6500,0.740841,,741.386732
6500,0.758966,,723.682427
7000,0.955186,,718.184949
7000,0.943257,,727.267288
7000,0.949698,,722.334826
7000,0.929132,,738.323522
7000,0.924001,,742.423363
7500,1.169301,,721.585028
7500,1.164489,,724.566433
7500,1.162388,,725.876332
7500,1.159998,,727.372206
7500,1.168304,,722.200579
8000,1.389308,,737.057726
8000,1.432184,,714.992010
8000,1.401249,,730.776659
8000,1.399391,,731.747056
8000,1.409731,,726.379958
8500,1.656945,,741.273867
8500,1.661396,,739.288002
8500,1.665186,,737.605200
8500,1.665868,,737.303359
8500,1.664761,,737.793462
9000,1.983690,,734.993788
9000,2.008941,,725.755355
9000,1.988010,,733.396647
9000,1.992715,,731.665231
9000,2.022501,,720.889499
9500,2.298358,,746.076039
9500,2.326342,,737.101550
9500,2.325652,,737.320079
9500,2.344242,,731.473100
9500,2.339162,,733.061524
10000,2.699471,,740.885789
10000,2.714840,,736.691680
10000,2.678122,,746.791947
10000,2.687799,,744.103129
10000,2.688196,,743.993414
10500,3.191445,,725.455183
10500,3.262755,,709.599652
10500,3.174266,,729.381302
10500,3.206111,,722.136618
10500,3.236335,,715.392494
11000,6.029262,,441.513430
11000,5.985873,,444.713781
11000,6.002992,,443.445536
11000,2.581091,,1031.346646
11000,2.630485,,1011.980851
11500,2.889147,,1052.819480
11500,2.888987,,1052.877774
11500,2.880706,,1055.904532
11500,2.895030,,1050.679842
11500,2.918830,,1042.112900
12000,3.383474,,1021.435311
12000,3.394332,,1018.167896
12000,3.405979,,1014.686352
12000,3.405898,,1014.710361
12000,3.391619,,1018.982241
12500,3.845812,,1015.715211
12500,3.939138,,991.650986
12500,3.883252,,1005.922236
12500,3.893065,,1003.386856
12500,3.863307,,1011.115485
13000,4.352341,,1009.571655
13000,4.342542,,1011.849820
13000,4.346437,,1010.942998
13000,4.354691,,1009.026754
13000,4.370796,,1005.308894
13500,4.749106,,1036.142289
13500,4.643626,,1059.678403
13500,4.647615,,1058.768811
13500,4.655842,,1056.897904
13500,4.647511,,1058.792596
14000,5.204590,,1054.453880
14000,5.184818,,1058.475052
14000,5.183910,,1058.660407
14000,5.195514,,1056.295950
14000,5.187805,,1057.865460
14500,6.179904,,986.625285
14500,5.969440,,1021.410706
14500,6.095750,,1000.246054
14500,5.929364,,1028.314334
14500,5.928570,,1028.452085
15000,6.634598,,1017.393967
15000,6.667259,,1012.410117
15000,6.629630,,1018.156430
15000,6.598964,,1022.887842
15000,6.618459,,1019.874882
15500,7.109325,,1047.602973
15500,7.013663,,1061.891610
15500,6.987453,,1065.874858
15500,7.119409,,1046.119169
15500,7.009575,,1062.510995
16000,7.784919,,1052.291022
16000,7.704042,,1063.337965
16000,7.826560,,1046.692326
16000,7.768504,,1054.514540
16000,7.697726,,1064.210419
16500,8.510148,,1055.710134
16500,8.503293,,1056.561239
16500,8.501911,,1056.733048
16500,8.575922,,1047.613302
16500,8.507860,,1055.994100
17000,9.570924,,1026.651121
17000,9.506516,,1033.606838
17000,9.515694,,1032.609883
17000,9.571732,,1026.564419
17000,9.507723,,1033.475635
17500,10.231443,,1047.628337
17500,10.275454,,1043.141214
17500,10.433066,,1027.382581
17500,10.494122,,1021.405126
17500,10.517965,,1019.089703
18000,11.124527,,1048.494025
18000,11.283689,,1033.704484
18000,11.230913,,1038.562081
18000,11.191824,,1042.189379
18000,11.291033,,1033.032152
18500,11.830424,,1070.396934
18500,11.896792,,1064.425602
18500,11.908521,,1063.377234
18500,11.820262,,1071.317229
18500,11.892993,,1064.765574
19000,13.440199,,1020.669376
19000,13.282897,,1032.756605
19000,13.211126,,1038.367180
19000,13.354384,,1027.228219
19000,13.133361,,1044.515567
19500,13.987258,,1060.232845
19500,14.106282,,1051.286956
19500,14.105535,,1051.342588
19500,14.291998,,1037.626057
19500,14.252571,,1040.496466
20000,15.054728,,1062.789057
20000,15.065375,,1062.037974
20000,15.299553,,1045.782212
20000,15.094949,,1059.957235
20000,15.047697,,1063.285640
