size,exTime,gflops
2000,0.307804,,51.981150
2000,0.026248,,609.564656
2000,0.025896,,617.864796
2000,0.025915,,617.414270
2000,0.026003,,615.307205
2500,0.043873,,712.290747
2500,0.043609,,716.603234
2500,0.043253,,722.493304
2500,0.044215,,706.779826
2500,0.043826,,713.044121
3000,0.069629,,775.541813
3000,0.069453,,777.508309
3000,0.070096,,770.376677
3000,0.070038,,771.010474
3000,0.069688,,774.878363
3500,0.104757,,818.557480
3500,0.105044,,816.327300
3500,0.104556,,820.132641
3500,0.105600,,812.025162
3500,0.105034,,816.401538
4000,0.146372,,874.483821
4000,0.146073,,876.274354
4000,0.146349,,874.619807
4000,0.145997,,876.730007
4000,0.173062,,739.618015
4500,0.203246,,896.698758
4500,0.201744,,903.371548
4500,0.201623,,903.913114
4500,0.201507,,904.434404
4500,0.202039,,902.051823
5000,0.282101,,886.207761
5000,0.283874,,880.672777
5000,0.282788,,884.054242
5000,0.282319,,885.523506
5000,0.282172,,885.985669
5500,0.365366,,910.730333
5500,0.365091,,911.416154
5500,0.365512,,910.366422
5500,0.365033,,911.562272
5500,0.365075,,911.455801
6000,0.467060,,924.934928
6000,0.468639,,921.819034
6000,0.467328,,924.404362
6000,0.467862,,923.348824
6000,0.467424,,924.213704
6500,0.592714,,926.668906
6500,0.592845,,926.464110
6500,0.594652,,923.650049
6500,0.593180,,925.942258
6500,0.593349,,925.678513
7000,0.751821,,912.451705
7000,0.752571,,911.541400
7000,0.752362,,911.795168
7000,0.753385,,910.556531
7000,0.751515,,912.822442
7500,0.906815,,930.454668
7500,0.905849,,931.447011
7500,0.905826,,931.470272
7500,0.905980,,931.311896
7500,0.909293,,927.918488
8000,1.102890,,928.469585
8000,1.102986,,928.389291
8000,1.102177,,929.070537
8000,1.103379,,928.057952
8000,1.101977,,929.238804
8500,1.342192,,915.107449
8500,1.357786,,904.597572
8500,1.341557,,915.540421
8500,1.341630,,915.490662
8500,1.339454,,916.977795
9000,1.561723,,933.584200
9000,1.561703,,933.596332
9000,1.562329,,933.221982
9000,1.563428,,932.566351
9000,1.567390,,930.209017
9500,1.849115,,927.335656
9500,1.867345,,918.282380
9500,1.849370,,927.207814
9500,1.853648,,925.067717
9500,1.859527,,922.143213
10000,2.189033,,913.645243
10000,2.180392,,917.266062
10000,2.179317,,917.718561
10000,2.179366,,917.698269
10000,2.170809,,921.315691
10500,2.539071,,911.849148
10500,2.511298,,921.933448
10500,2.512328,,921.555777
10500,2.513481,,921.132939
10500,2.512004,,921.674319
11000,2.849848,,934.084803
11000,2.868126,,928.132164
11000,2.854952,,932.414868
11000,1.494811,,1780.827097
11000,1.445639,,1841.400782
11500,1.640152,,1854.553788
11500,1.647582,,1846.190881
11500,1.642913,,1851.437164
11500,1.640247,,1854.446722
11500,1.645884,,1848.095192
12000,1.871180,,1846.963045
12000,1.867020,,1851.078292
12000,1.870176,,1847.954770
12000,1.868345,,1849.765173
12000,1.869827,,1848.299803
12500,2.131206,,1832.882330
12500,2.117399,,1844.834390
12500,2.117160,,1845.042719
12500,2.128356,,1835.336752
12500,2.148666,,1817.988200
13000,2.381643,,1844.945035
13000,2.391891,,1837.040105
13000,2.383465,,1843.534438
13000,2.380711,,1845.667051
13000,2.416168,,1818.582005
13500,2.640673,,1863.445349
13500,2.635211,,1867.307984
13500,2.646921,,1859.046669
13500,2.645311,,1860.177960
13500,2.644053,,1861.063100
14000,2.929736,,1873.206368
14000,2.925656,,1875.818626
14000,2.926035,,1875.575836
14000,2.925697,,1875.792583
14000,2.924051,,1876.848071
14500,3.312249,,1840.818562
14500,3.299385,,1847.996127
14500,3.287884,,1854.460255
14500,3.287747,,1854.537217
14500,3.282626,,1857.430653
15000,3.682541,,1832.973402
15000,3.680014,,1834.232170
15000,3.685383,,1831.559925
15000,3.685275,,1831.613450
15000,3.670827,,1838.822690
15500,3.994533,,1864.485815
15500,4.005820,,1859.232486
15500,3.991068,,1866.104692
15500,3.997336,,1863.178454
15500,3.993061,,1865.173248
16000,4.403713,,1860.248213
16000,4.391816,,1865.287802
16000,4.381367,,1869.736131
16000,4.404399,,1859.958656
16000,4.389576,,1866.239405
16500,4.861186,,1848.160150
16500,4.896122,,1834.972616
16500,4.844126,,1854.668853
16500,4.837127,,1857.352461
16500,4.880287,,1840.926746
17000,5.306973,,1851.526336
17000,5.282379,,1860.146705
17000,5.308342,,1851.048853
17000,5.287639,,1858.296418
17000,5.292109,,1856.726788
17500,5.768050,,1858.297117
17500,5.763645,,1859.717096
17500,5.768971,,1858.000454
17500,5.775498,,1855.900611
17500,5.762279,,1860.158068
18000,6.263728,,1862.149820
18000,6.270610,,1860.106152
18000,6.283257,,1856.362084
18000,6.279003,,1857.619882
18000,6.266844,,1861.223827
18500,6.911964,,1832.077043
18500,6.929490,,1827.443229
18500,6.920821,,1829.732437
18500,6.919175,,1830.167630
18500,6.916603,,1830.848296
19000,7.459415,,1839.018217
19000,7.459298,,1839.046954
19000,7.443448,,1842.963070
19000,7.464103,,1837.863160
19000,7.459462,,1839.006724
19500,7.967869,,1861.193997
19500,7.998377,,1854.094880
19500,7.904518,,1876.110654
19500,7.989671,,1856.115260
19500,7.996626,,1854.500949
20000,8.764467,,1825.553155
20000,8.778286,,1822.679355
20000,8.790245,,1820.199636
20000,8.763986,,1825.653398
20000,8.774673,,1823.429796
