size,exTime,gflops
2000,0.022900,,698.694991
2000,0.022574,,708.768489
2000,0.022139,,722.710453
2000,0.022835,,700.679396
2000,0.022411,,713.939517
2500,0.041633,,750.615451
2500,0.041450,,753.927025
2500,0.041651,,750.283043
2500,0.041883,,746.128892
2500,0.041716,,749.109369
3000,0.067884,,795.471879
3000,0.068132,,792.573458
3000,0.067960,,794.587634
3000,0.067886,,795.449850
3000,0.068090,,793.069303
3500,0.106326,,806.485046
3500,0.106393,,805.975077
3500,0.106209,,807.367394
3500,0.106851,,802.520252
3500,0.106810,,802.826752
4000,0.149823,,854.339614
4000,0.151296,,846.024114
4000,0.149765,,854.670836
4000,0.151175,,846.699656
4000,0.150632,,849.755444
4500,0.211715,,860.828791
4500,0.211434,,861.969742
4500,0.212431,,857.926921
4500,0.214486,,849.707040
4500,0.213105,,855.212548
5000,0.304069,,822.180956
5000,0.303784,,822.952690
5000,0.304526,,820.948272
5000,0.304451,,821.150061
5000,0.305615,,818.023339
5500,0.388498,,856.503755
5500,0.388504,,856.491255
5500,0.387403,,858.923761
5500,0.386986,,859.850672
5500,0.386765,,860.341358
6000,0.498137,,867.231450
6000,0.511270,,844.955401
6000,0.493757,,874.924817
6000,0.514291,,839.990599
6000,0.495811,,871.300023
6500,0.618287,,888.341096
6500,0.622999,,881.622752
6500,0.621547,,883.682187
6500,0.618397,,888.184048
6500,0.618235,,888.416897
7000,0.827254,,829.249781
7000,0.804168,,853.055797
7000,0.814763,,841.962865
7000,0.821304,,835.257405
7000,0.866910,,791.316669
7500,0.962392,,876.721514
7500,0.990072,,852.211071
7500,0.973137,,867.041319
7500,0.964427,,874.871614
7500,0.959494,,879.370186
8000,1.189572,,860.813575
8000,1.194508,,857.257032
8000,1.186351,,863.150861
8000,1.189955,,860.536841
8000,1.179806,,867.939673
8500,1.428410,,859.872358
8500,1.424675,,862.126655
8500,1.427035,,860.700612
8500,1.425437,,861.665378
8500,1.448506,,847.942541
9000,1.808206,,806.324043
9000,1.676120,,869.866144
9000,1.666732,,874.765792
9000,1.674610,,870.650519
9000,1.676919,,869.451608
9500,2.000176,,857.299664
9500,2.004599,,855.408109
9500,2.004666,,855.379448
9500,1.991083,,861.214811
9500,2.005820,,854.887165
10000,2.398558,,833.834264
10000,2.380873,,840.028120
10000,2.352166,,850.280099
10000,2.327281,,859.371792
10000,2.327097,,859.439754
10500,3.002343,,771.147637
10500,2.680908,,863.606688
10500,2.696636,,858.569768
10500,2.708056,,854.948954
10500,2.703052,,856.531794
11000,3.007302,,885.178788
11000,3.027081,,879.395043
11000,3.038557,,876.073666
11000,1.498869,,1776.005435
11000,1.492908,,1783.096861
11500,1.667548,,1824.085276
11500,1.674198,,1816.839530
11500,1.670944,,1820.378181
11500,1.674121,,1816.923559
11500,1.672742,,1818.421864
12000,1.897093,,1821.735008
12000,1.899246,,1819.669789
12000,1.895816,,1822.961953
12000,1.903431,,1815.668503
12000,1.902077,,1816.961484
12500,2.271809,,1719.445092
12500,2.206778,,1770.114652
12500,2.203125,,1773.049769
12500,2.191555,,1782.409967
12500,2.211882,,1766.030275
13000,2.464687,,1782.782322
13000,2.465399,,1782.267010
13000,2.499183,,1758.174711
13000,2.465778,,1781.993502
13000,2.467040,,1781.082011
13500,2.688555,,1830.258143
13500,2.718710,,1809.957643
13500,2.688486,,1830.305155
13500,2.669567,,1843.276311
13500,2.669467,,1843.345349
14000,3.036980,,1807.058421
14000,3.021282,,1816.447503
14000,3.017948,,1818.453852
14000,3.014887,,1820.300394
14000,3.015503,,1819.928696
14500,3.484427,,1749.857156
14500,3.472999,,1755.615390
14500,3.467558,,1758.370155
14500,3.466718,,1758.796164
14500,3.471680,,1756.282368
15000,3.842545,,1756.648119
15000,3.827017,,1763.775948
15000,3.862883,,1747.399550
15000,3.824728,,1764.831198
15000,3.806991,,1773.053895
15500,4.130769,,1802.993682
15500,4.131475,,1802.685500
15500,4.138553,,1799.602310
15500,4.138449,,1799.647493
15500,4.147758,,1795.608711
16000,4.580503,,1788.449908
16000,4.593548,,1783.370857
16000,4.592316,,1783.849544
16000,4.570807,,1792.243829
16000,4.572227,,1791.687127
16500,5.020907,,1789.367987
16500,5.011524,,1792.718174
16500,4.965221,,1809.436071
16500,4.957497,,1812.255094
16500,4.956515,,1812.614336
17000,5.690826,,1726.638482
17000,5.667776,,1733.660521
17000,5.677487,,1730.695262
17000,5.686791,,1727.863870
17000,5.678150,,1730.493327
17500,6.169885,,1737.269082
17500,6.178213,,1734.927174
17500,6.178205,,1734.929532
17500,6.147144,,1743.695958
17500,6.171818,,1736.724858
18000,6.697310,,1741.594690
18000,6.702424,,1740.265976
18000,6.684734,,1744.871145
18000,6.707497,,1738.949629
18000,6.698913,,1741.177886
18500,6.890618,,1837.752535
18500,6.910365,,1832.501012
18500,6.886517,,1838.846935
18500,6.920345,,1829.858308
18500,6.895285,,1836.508590
19000,7.799689,,1758.787978
19000,7.789939,,1760.989503
19000,7.773065,,1764.812287
19000,7.814339,,1755.490703
19000,7.792037,,1760.515264
19500,8.461162,,1752.684823
19500,8.462973,,1752.309732
19500,8.451375,,1754.714428
19500,8.463725,,1752.153991
19500,8.458054,,1753.328736
20000,8.820057,,1814.047208
20000,8.786377,,1821.000886
20000,8.784187,,1821.454770
20000,8.788760,,1820.507052
20000,8.796608,,1818.882948
