size,exTime,gflops
2000,0.015477,,1033.772107
2000,0.015252,,1049.067510
2000,0.015029,,1064.624929
2000,0.015066,,1061.996220
2000,0.015005,,1066.276552
2500,0.026571,,1176.104640
2500,0.026663,,1172.051189
2500,0.026398,,1183.794628
2500,0.026510,,1178.786579
2500,0.026783,,1166.779238
3000,0.043776,,1233.548320
3000,0.043505,,1241.249108
3000,0.043730,,1234.839543
3000,0.081157,,665.376879
3000,0.081217,,664.881984
3500,0.122845,,698.036591
3500,0.122742,,698.618890
3500,0.123249,,695.744819
3500,0.123141,,696.358426
3500,0.123000,,697.152295
4000,0.180636,,708.607679
4000,0.180661,,708.510049
4000,0.181252,,706.199162
4000,0.181187,,706.451650
4000,0.181910,,703.643480
4500,0.256221,,711.300796
4500,0.256439,,710.696398
4500,0.255149,,714.289586
4500,0.256117,,711.589525
4500,0.256188,,711.391148
5000,0.352191,,709.842351
5000,0.351206,,711.832826
5000,0.350807,,712.642818
5000,0.351195,,711.856238
5000,0.350551,,713.162335
5500,0.458187,,726.231202
5500,0.459084,,724.812790
5500,0.460280,,722.929389
5500,0.457279,,727.673773
5500,0.461518,,720.989854
6000,0.589910,,732.315645
6000,0.591992,,729.739406
6000,0.589626,,732.667210
6000,0.594028,,727.238510
6000,0.591797,,729.980582
6500,0.745676,,736.579619
6500,0.743759,,738.478356
6500,0.747505,,734.778112
6500,0.745614,,736.641676
6500,0.743794,,738.444204
7000,0.923647,,742.708311
7000,0.922451,,743.671032
7000,0.921315,,744.588030
7000,0.924489,,742.031700
7000,0.923552,,742.784114
7500,1.145697,,736.451251
7500,1.147219,,735.474492
7500,1.142124,,738.755109
7500,1.145946,,736.290996
7500,1.142592,,738.452819
8000,1.390040,,736.669279
8000,1.390908,,736.209946
8000,1.392706,,735.259083
8000,1.400086,,731.383473
8000,1.395362,,733.859550
8500,1.657838,,740.874639
8500,1.660550,,739.664367
8500,1.658009,,740.798362
8500,1.661276,,739.341396
8500,1.665138,,737.626753
9000,1.959098,,744.220201
9000,2.066933,,705.393120
9000,1.951306,,747.191902
9000,1.957605,,744.787462
9000,1.960460,,743.703079
9500,2.284904,,750.469119
9500,2.296263,,746.756927
9500,2.312678,,741.456373
9500,2.287194,,749.717739
9500,2.297813,,746.252957
10000,2.696943,,741.580301
10000,2.703878,,739.678345
10000,2.706156,,739.055561
10000,2.707647,,738.648740
10000,2.701956,,740.204405
10500,3.158695,,732.976699
10500,3.156005,,733.601575
10500,3.168215,,730.774334
10500,3.159319,,732.831892
10500,3.177903,,728.546416
11000,3.580662,,743.438046
11000,6.479924,,410.807292
11000,6.493645,,409.939254
11000,6.498583,,409.627791
11000,2.790458,,953.965125
11500,3.117872,,975.585367
11500,3.116922,,975.882732
11500,3.137025,,969.628810
11500,3.113913,,976.825652
11500,3.126938,,972.756596
12000,3.572320,,967.438485
12000,3.558674,,971.148130
12000,3.580309,,965.279840
12000,3.555649,,971.974367
12000,3.587928,,963.229923
12500,4.153586,,940.452487
12500,4.135320,,944.606498
12500,4.146595,,942.038033
12500,4.148343,,941.641006
12500,4.163479,,938.217746
13000,4.642134,,946.547362
13000,4.666288,,941.647738
13000,4.625207,,950.011634
13000,4.660465,,942.824357
13000,4.624804,,950.094277
13500,5.054937,,973.454237
13500,5.095638,,965.678840
13500,5.061663,,972.160756
13500,5.067283,,971.082561
13500,5.066489,,971.234702
14000,5.775855,,950.162322
14000,5.757393,,953.209140
14000,5.745927,,955.111323
14000,5.770409,,951.059155
14000,5.767515,,951.536354
14500,6.252357,,975.192206
14500,6.244563,,976.409446
14500,6.223097,,979.777452
14500,6.364035,,958.079264
14500,6.224345,,979.580993
15000,7.142541,,945.041870
15000,7.013103,,962.484097
15000,7.103792,,950.196739
15000,7.026432,,960.658330
15000,7.054761,,956.800619
15500,7.719301,,964.821763
15500,7.722565,,964.414021
15500,7.722009,,964.483522
15500,7.721279,,964.574590
15500,7.705638,,966.532575
16000,8.502005,,963.537418
16000,8.486238,,965.327610
16000,8.501199,,963.628792
16000,9.075734,,902.626736
16000,8.514957,,962.071820
16500,9.400279,,955.742871
16500,9.435372,,952.188240
16500,9.513962,,944.322694
16500,9.408634,,954.894166
16500,9.410898,,954.664505
17000,10.192044,,964.085310
17000,10.163483,,966.794551
17000,10.210106,,962.379858
17000,10.182096,,965.027214
17000,10.188391,,964.430986
17500,11.031985,,971.606621
17500,11.107468,,965.003898
17500,11.092321,,966.321682
17500,11.115566,,964.300900
17500,11.029034,,971.866596
18000,11.993256,,972.546536
18000,11.953719,,975.763271
18000,12.128129,,961.731185
18000,12.043058,,968.524768
18000,12.011382,,971.078916
18500,12.983452,,975.337694
18500,13.039228,,971.165611
18500,13.005304,,973.698862
18500,12.994393,,974.516476
18500,12.982339,,975.421323
19000,14.369738,,954.645132
19000,14.393034,,953.099957
19000,14.379396,,954.003907
19000,14.271728,,961.201054
19000,14.307208,,958.817384
19500,15.133927,,979.900970
19500,15.092343,,982.600895
19500,15.099343,,982.145357
19500,15.097294,,982.278688
19500,15.063419,,984.487651
20000,16.416438,,974.632840
20000,16.440296,,973.218512
20000,16.403496,,975.401829
20000,16.393429,,976.000789
20000,16.382500,,976.651944
