size,exTime,gflops
2000,0.016942,,944.390342
2000,0.015990,,1000.617193
2000,0.016196,,987.875739
2000,0.016509,,969.168098
2000,0.016449,,972.686596
2500,0.026171,,1194.081452
2500,0.026712,,1169.875682
2500,0.027231,,1147.606887
2500,0.026991,,1157.775709
2500,0.026523,,1178.209259
3000,0.040877,,1321.034664
3000,0.040235,,1342.109770
3000,0.040454,,1334.852857
3000,0.164106,,329.056104
3000,0.076079,,709.784712
3500,0.114568,,748.463298
3500,0.114722,,747.459264
3500,0.114734,,747.379387
3500,0.114261,,750.471539
3500,0.115025,,745.492230
4000,0.163918,,780.879792
4000,0.164475,,778.234337
4000,0.166528,,768.640265
4000,0.163991,,780.531829
4000,0.163308,,783.794169
4500,0.229245,,794.999265
4500,0.228979,,795.923398
4500,0.229036,,795.726054
4500,0.228886,,796.247809
4500,0.229315,,794.757356
5000,0.316039,,791.040401
5000,0.315636,,792.051227
5000,0.316037,,791.046353
5000,0.315905,,791.377776
5000,0.315695,,791.902534
5500,0.414187,,803.381737
5500,0.414494,,802.785083
5500,0.413947,,803.846794
5500,0.502029,,662.810773
5500,0.414688,,802.410717
6000,0.532531,,811.220151
6000,0.532339,,811.512446
6000,0.532618,,811.088377
6000,0.532489,,811.284688
6000,0.532025,,811.992592
6500,0.675299,,813.343749
6500,0.676749,,811.600761
6500,0.676484,,811.918904
6500,0.675718,,812.839071
6500,0.675206,,813.455050
7000,0.849076,,807.937101
7000,0.849085,,807.928332
7000,0.917721,,747.504088
7000,0.849416,,807.613886
7000,0.848273,,808.701930
7500,1.038901,,812.156132
7500,1.036953,,813.682010
7500,1.038101,,812.782364
7500,1.038370,,812.571369
7500,1.037951,,812.899310
8000,1.251238,,818.389570
8000,1.249200,,819.724875
8000,1.249373,,819.611064
8000,1.249661,,819.422394
8000,1.249327,,819.640981
8500,1.515808,,810.293762
8500,1.515735,,810.332735
8500,1.532119,,801.667420
8500,1.516542,,809.901663
8500,1.515830,,810.282210
9000,1.775931,,820.977710
9000,1.777628,,820.194257
9000,1.777760,,820.133214
9000,1.778177,,819.940838
9000,1.777692,,820.164646
9500,2.189672,,783.108110
9500,2.084684,,822.546556
9500,2.103186,,815.310622
9500,2.096931,,817.742713
9500,2.097536,,817.506796
10000,2.458639,,813.458145
10000,2.452435,,815.515848
10000,2.450964,,816.005366
10000,2.455875,,814.373701
10000,2.451860,,815.707105
10500,2.909829,,795.665368
10500,2.840922,,814.964381
10500,2.837872,,815.840274
10500,2.913577,,794.641691
10500,2.839211,,815.455292
11000,3.246339,,820.000501
11000,3.250486,,818.954434
11000,3.248418,,819.475741
11000,3.252309,,818.495457
11000,1.638325,,1624.829842
11500,1.889025,,1610.222571
11500,1.874026,,1623.109598
11500,1.890170,,1609.246370
11500,1.890335,,1609.105898
11500,1.873054,,1623.952183
12000,2.139884,,1615.040852
12000,2.142281,,1613.233780
12000,2.141433,,1613.872767
12000,2.140361,,1614.680922
12000,2.155195,,1603.567129
12500,2.407390,,1622.608056
12500,2.413991,,1618.171071
12500,2.406788,,1623.013439
12500,2.413521,,1618.486092
12500,2.408001,,1622.196335
13000,2.714504,,1618.712028
13000,2.712485,,1619.916667
13000,2.712169,,1620.105675
13000,2.707668,,1622.798521
13000,2.714489,,1618.720764
13500,3.023180,,1627.673619
13500,3.016261,,1631.407165
13500,3.021419,,1628.622305
13500,3.015453,,1631.844383
13500,3.019542,,1629.634346
14000,3.362425,,1632.155569
14000,3.360320,,1633.177842
14000,3.360734,,1632.976847
14000,3.363566,,1631.601496
14000,3.429682,,1600.148233
14500,3.722909,,1637.765187
14500,3.718732,,1639.604564
14500,3.723889,,1637.333933
14500,3.722490,,1637.949289
14500,3.724795,,1636.935542
15000,4.170909,,1618.352307
15000,4.165288,,1620.536211
15000,4.166089,,1620.224621
15000,4.162217,,1621.731799
15000,4.169028,,1619.082593
15500,4.528996,,1644.459468
15500,4.521733,,1647.100789
15500,4.525237,,1645.825317
15500,4.588958,,1622.972002
15500,4.525224,,1645.830194
16000,5.012221,,1634.405315
16000,5.012400,,1634.346917
16000,5.002466,,1637.592407
16000,5.017807,,1632.585811
16000,4.999810,,1638.462269
16500,5.582679,,1609.308141
16500,5.525024,,1626.101452
16500,5.514755,,1629.129365
16500,5.525716,,1625.898027
16500,5.529717,,1624.721458
17000,6.039853,,1626.860695
17000,6.041654,,1626.375868
17000,6.039871,,1626.856059
17000,6.041845,,1626.324508
17000,6.041268,,1626.479687
17500,6.547984,,1636.954105
17500,6.555743,,1635.016877
17500,6.617272,,1619.813936
17500,6.550421,,1636.345118
17500,6.563965,,1632.968764
18000,7.105605,,1641.520972
18000,7.146693,,1632.083618
18000,7.135486,,1634.646829
18000,7.144524,,1632.579010
18000,7.137166,,1634.262045
18500,7.805647,,1622.319030
18500,7.799731,,1623.549493
18500,7.801626,,1623.155312
18500,7.787797,,1626.037481
18500,7.812339,,1620.929413
19000,8.434124,,1626.487803
19000,8.434182,,1626.476633
19000,8.430046,,1627.274668
19000,8.440880,,1625.186058
19000,8.438569,,1625.631123
19500,9.064263,,1636.067953
19500,9.060033,,1636.831864
19500,9.059902,,1636.855406
19500,9.067481,,1635.487275
19500,9.058828,,1637.049506
20000,9.862284,,1622.342330
20000,9.875319,,1620.200766
20000,9.873206,,1620.547611
20000,9.865689,,1621.782348
20000,9.879150,,1619.572485
