size,exTime,gflops
2000,0.013904,,1150.707682
2000,0.013369,,1196.815215
2000,0.013346,,1198.868179
2000,0.013056,,1225.469171
2000,0.014088,,1135.753814
2500,0.024047,,1299.514950
2500,0.024074,,1298.104535
2500,0.024258,,1288.238951
2500,0.025500,,1225.480729
2500,0.024215,,1290.531197
3000,0.038857,,1389.719861
3000,0.038815,,1391.212048
3000,0.037839,,1427.104871
3000,0.039153,,1379.190146
3000,0.073047,,739.251843
3500,0.113447,,755.860244
3500,0.114697,,747.624955
3500,0.113489,,755.578884
3500,0.114301,,750.210499
3500,0.113718,,754.056640
4000,0.163798,,781.449903
4000,0.162605,,787.182456
4000,0.164638,,777.464086
4000,0.162963,,785.452367
4000,0.162885,,785.828352
4500,0.233256,,781.330072
4500,0.236105,,771.901308
4500,0.237024,,768.908553
4500,0.235153,,775.026380
4500,0.233919,,779.116944
5000,0.326881,,764.803206
5000,0.327381,,763.635376
5000,0.325589,,767.839331
5000,0.326540,,765.603120
5000,0.327595,,763.138077
5500,0.433946,,766.800244
5500,0.434372,,766.049001
5500,0.439698,,756.769433
5500,0.421363,,789.699100
5500,0.426120,,780.884135
6000,0.545370,,792.123348
6000,0.543796,,794.414868
6000,0.546116,,791.040547
6000,0.545453,,792.001640
6000,0.541411,,797.914912
6500,0.699231,,785.505259
6500,0.693699,,791.769372
6500,0.687578,,798.818851
6500,0.689689,,796.372967
6500,0.687232,,799.221085
7000,0.872865,,785.917683
7000,0.873386,,785.448546
7000,0.871186,,787.431919
7000,0.876086,,783.028181
7000,0.873586,,785.269118
7500,1.067531,,790.374979
7500,1.074428,,785.301690
7500,1.068488,,789.667041
7500,1.069316,,789.055878
7500,1.069161,,789.169989
8000,1.282753,,798.283374
8000,1.283707,,797.689710
8000,1.287168,,795.544953
8000,1.289846,,793.893197
8000,1.280744,,799.535072
8500,1.542139,,796.458678
8500,1.549578,,792.635077
8500,1.577535,,778.588006
8500,1.557414,,788.647044
8500,1.544153,,795.419640
9000,1.823377,,799.615018
9000,1.818154,,801.912150
9000,1.815805,,802.949736
9000,1.830254,,796.610913
9000,1.821431,,800.469493
9500,2.158718,,794.337115
9500,2.159593,,794.015298
9500,2.137184,,802.340797
9500,2.156122,,795.293423
9500,2.252840,,761.150512
10000,2.516377,,794.793498
10000,2.513049,,795.846148
10000,2.509574,,796.948018
10000,2.509329,,797.025758
10000,2.502262,,799.276679
10500,2.927529,,790.854604
10500,2.902693,,797.621267
10500,2.915415,,794.140810
10500,2.897841,,798.957010
10500,2.899505,,798.498354
11000,3.368696,,790.216841
11000,3.364958,,791.094528
11000,3.339945,,797.019137
11000,3.352250,,794.093491
11000,1.662347,,1601.350749
11500,1.866720,,1629.462689
11500,1.901380,,1599.759111
11500,1.864254,,1631.617699
11500,1.877957,,1619.712247
11500,1.875076,,1622.201191
12000,2.224759,,1553.426585
12000,2.148379,,1608.654370
12000,2.150942,,1606.737979
12000,2.146784,,1609.849651
12000,2.146505,,1610.059372
12500,2.431326,,1606.633789
12500,2.501277,,1561.702505
12500,2.431000,,1606.849362
12500,2.434781,,1604.353514
12500,2.509126,,1556.816956
13000,2.717883,,1616.699394
13000,2.725073,,1612.434065
13000,2.719960,,1615.465040
13000,2.714603,,1618.652875
13000,2.740263,,1603.495825
13500,3.034263,,1621.728463
13500,3.031536,,1623.187247
13500,3.107355,,1583.581356
13500,3.040137,,1618.594921
13500,3.041757,,1617.732803
14000,3.411573,,1608.641881
14000,3.408441,,1610.120055
14000,3.409157,,1609.782245
14000,3.430624,,1599.709173
14000,3.403528,,1612.444477
14500,3.768905,,1617.777439
14500,3.793729,,1607.191924
14500,3.764419,,1619.705466
14500,3.768833,,1617.808595
14500,3.761400,,1621.005532
15000,4.179215,,1615.136030
15000,4.167573,,1619.647648
15000,4.195766,,1608.764756
15000,4.172457,,1617.752031
15000,4.187871,,1611.797480
15500,4.603888,,1617.708602
15500,4.575786,,1627.644000
15500,4.580704,,1625.896511
15500,4.610284,,1615.464332
15500,4.607354,,1616.491979
16000,5.063899,,1617.725725
16000,5.130607,,1596.692274
16000,5.078629,,1613.033910
16000,5.081401,,1612.153740
16000,5.103274,,1605.243956
16500,5.581540,,1609.636430
16500,5.608675,,1601.848787
16500,5.662623,,1586.588019
16500,5.596962,,1605.201050
16500,5.834885,,1539.747671
17000,6.209271,,1582.472526
17000,6.096695,,1611.692959
17000,6.107816,,1608.758370
17000,6.182761,,1589.257665
17000,6.091470,,1613.075463
17500,6.676972,,1605.330880
17500,6.639723,,1614.336807
17500,6.643173,,1613.498478
17500,6.621850,,1618.694051
17500,6.625182,,1617.880158
18000,7.199754,,1620.055275
18000,7.215266,,1616.572389
18000,7.194266,,1621.291173
18000,7.226313,,1614.101107
18000,7.190027,,1622.247146
18500,7.778517,,1627.977449
18500,7.780168,,1627.631974
18500,7.796423,,1624.238360
18500,7.791296,,1625.307243
18500,7.784802,,1626.663103
19000,8.441220,,1625.120519
19000,8.421042,,1629.014499
19000,8.439447,,1625.461955
19000,8.442195,,1624.932887
19000,8.451098,,1623.221028
19500,9.206693,,1610.757458
19500,9.233691,,1606.047939
19500,9.166484,,1617.823179
19500,9.221943,,1608.093844
19500,9.148624,,1620.981475
20000,9.874898,,1620.269947
20000,9.871846,,1620.770831
20000,9.887164,,1618.259825
20000,9.888717,,1618.005677
20000,9.862446,,1622.315529
