size,exTime,gflops
2000,0.026581,,601.940528
2000,0.028003,,571.365517
2000,0.026313,,608.074692
2000,0.026371,,606.719264
2000,0.026362,,606.942627
2500,0.049342,,633.328408
2500,0.048514,,644.137957
2500,0.048917,,638.837044
2500,0.048912,,638.904909
2500,0.048289,,647.142619
3000,0.081142,,665.500603
3000,0.080836,,668.016695
3000,0.081603,,661.738609
3000,0.089330,,604.498266
3000,0.081057,,666.198494
3500,0.123168,,696.202791
3500,0.130809,,655.533854
3500,0.124810,,687.046476
3500,0.123096,,696.611958
3500,0.122290,,701.201705
4000,0.182061,,703.060259
4000,0.181652,,704.644661
4000,0.181189,,706.443634
4000,0.181016,,707.120891
4000,0.180289,,709.970638
4500,0.256306,,711.064457
4500,0.255745,,712.624006
4500,0.262605,,694.007088
4500,0.255509,,713.282104
4500,0.256685,,710.015133
5000,0.351992,,710.242987
5000,0.351362,,711.517183
5000,0.349093,,716.141345
5000,0.349619,,715.063325
5000,0.350197,,713.883667
5500,0.461949,,720.317915
5500,0.455980,,729.746194
5500,0.457773,,726.889401
5500,0.460027,,723.326607
5500,0.459432,,724.263188
6000,0.597250,,723.314818
6000,0.590924,,731.058630
6000,0.591076,,730.870202
6000,0.593351,,728.067642
6000,0.595982,,724.854412
6500,0.743225,,739.008940
6500,0.742719,,739.512155
6500,0.747861,,734.427530
6500,0.745019,,737.229696
6500,0.745105,,737.144318
7000,0.930749,,737.040904
7000,0.923159,,743.100395
7000,0.919548,,746.018897
7000,0.934060,,734.427894
7000,0.922238,,743.842951
7500,1.145683,,736.460414
7500,1.139815,,740.251478
7500,1.144853,,736.994285
7500,1.141234,,739.330964
7500,1.156713,,729.437826
8000,1.404932,,728.861032
8000,1.389958,,736.712852
8000,1.442762,,709.749868
8000,1.390618,,736.363414
8000,1.396435,,733.295679
8500,1.662042,,739.000742
8500,1.668756,,736.027218
8500,1.674151,,733.655609
8500,1.658473,,740.590716
8500,1.671993,,734.602153
9000,1.957525,,744.818105
9000,1.979664,,736.488488
9000,1.962439,,742.953107
9000,1.971293,,739.616129
9000,1.966734,,741.330700
9500,2.316365,,740.276284
9500,2.299072,,745.844271
9500,2.317089,,740.044866
9500,2.296337,,746.732663
9500,2.301017,,745.214063
10000,2.752599,,726.586072
10000,2.729744,,732.669456
10000,2.730993,,732.334249
10000,2.704200,,739.590344
10000,2.719928,,735.313497
10500,3.155850,,733.637490
10500,3.176521,,728.863507
10500,3.152075,,734.516090
10500,3.211937,,720.826649
10500,3.192209,,725.281361
11000,3.630910,,733.149449
11000,3.598403,,739.772700
11000,3.574561,,744.706897
11000,3.568327,,746.007846
11000,3.597070,,740.046723
11500,4.097441,,742.353552
11500,4.213174,,721.961625
11500,4.105053,,740.976972
11500,4.094993,,742.797329
11500,4.200650,,724.114107
12000,4.761051,,725.890094
12000,4.729386,,730.750292
12000,4.702927,,734.861501
12000,4.744626,,728.402968
12000,4.856437,,711.632869
12500,5.422744,,720.345692
12500,5.354170,,729.571496
12500,5.346399,,730.631918
12500,5.342762,,731.129296
12500,5.341867,,731.251852
13000,6.045251,,726.851546
13000,6.028476,,728.874099
13000,5.980669,,734.700371
13000,5.964365,,736.708826
13000,6.051047,,726.155379
13500,6.644702,,740.552370
13500,6.575968,,748.292839
13500,6.841797,,719.218989
13500,6.658716,,738.993775
13500,6.761738,,727.734544
14000,7.383394,,743.289637
14000,7.485747,,733.126533
14000,7.442846,,737.352311
14000,7.330234,,748.680009
14000,7.356833,,745.973153
14500,8.251704,,738.907944
14500,8.290133,,735.482807
14500,8.279571,,736.420995
14500,8.289029,,735.580756
14500,8.260397,,738.130390
15000,9.257623,,729.128854
15000,9.138579,,738.626834
15000,9.153746,,737.403054
15000,9.199687,,733.720599
15000,9.117129,,740.364656
15500,10.287644,,723.950977
15500,10.100700,,737.349895
15500,10.139080,,734.558772
15500,10.081049,,738.787210
15500,10.357553,,719.064600
16000,11.140651,,735.325092
16000,11.150613,,734.668157
16000,11.186847,,732.288566
16000,11.476459,,713.808993
16000,11.197836,,731.569924
16500,12.186557,,737.226271
16500,12.381051,,725.645165
16500,12.167736,,738.366597
16500,12.202802,,736.244860
16500,12.202741,,736.248533
17000,13.376092,,734.594221
17000,13.318904,,737.748404
17000,13.360775,,735.436370
17000,13.544333,,725.469446
17000,13.429459,,731.675032
17500,14.436405,,742.480548
17500,14.859327,,721.348276
17500,14.641355,,732.087294
17500,14.584570,,734.937683
17500,14.480500,,740.219590
18000,15.924839,,732.440706
18000,16.423770,,710.190179
18000,16.027788,,727.736082
18000,15.927064,,732.338356
18000,15.925206,,732.423807
18500,17.736208,,713.977324
18500,18.252056,,693.798550
18500,17.554567,,721.364983
18500,17.097276,,740.658932
18500,17.161069,,737.905678
19000,18.742689,,731.912054
19000,18.824910,,728.715318
19000,18.945282,,724.085285
19000,19.278440,,711.572108
19000,19.319031,,710.077028
19500,20.455049,,724.992142
19500,20.091240,,738.120194
19500,20.442192,,725.448137
19500,20.267280,,731.708932
19500,20.309349,,730.193268
20000,21.479442,,744.898307
20000,21.589786,,741.091186
20000,22.035560,,726.099086
20000,21.619266,,740.080639
20000,21.879973,,731.262329
