size,exTime,gflops
2000,0.177073,,90.358003
2000,0.015766,,1014.815224
2000,0.016826,,950.925866
2000,0.015994,,1000.386149
2000,0.017109,,935.194253
2500,0.083086,,376.114276
2500,0.047941,,651.839396
2500,0.047603,,656.476251
2500,0.047320,,660.391266
2500,0.047036,,664.388018
3000,0.075870,,711.746042
3000,0.076045,,710.107016
3000,0.076653,,704.475391
3000,0.075513,,715.107303
3000,0.076236,,708.322306
3500,0.115108,,744.953207
3500,0.114490,,748.973886
3500,0.114491,,748.969425
3500,0.114880,,746.430155
3500,0.114879,,746.434411
4000,0.164070,,780.154674
4000,0.163638,,782.212985
4000,0.163999,,780.493497
4000,0.164162,,779.716523
4000,0.163818,,781.354279
4500,0.229066,,795.622462
4500,0.229957,,792.540009
4500,0.229338,,794.679816
4500,0.229345,,794.653496
4500,0.229542,,793.972369
5000,0.316983,,788.684928
5000,0.317423,,787.592845
5000,0.316508,,789.869173
5000,0.317871,,786.482052
5000,0.316213,,790.606392
5500,0.416869,,798.211660
5500,0.415178,,801.463550
5500,0.417073,,797.821044
5500,0.415438,,800.962258
5500,0.416904,,798.144994
6000,0.533886,,809.161468
6000,0.535562,,806.629697
6000,0.532560,,811.176812
6000,0.535878,,806.153122
6000,0.534001,,808.987361
6500,0.677024,,811.270696
6500,0.676471,,811.934636
6500,0.677612,,810.566784
6500,0.677163,,811.104777
6500,0.678254,,809.799582
7000,0.852752,,804.454726
7000,0.852728,,804.477243
7000,0.849348,,807.678110
7000,0.850899,,806.205756
7000,0.850139,,806.927079
7500,1.044577,,807.743396
7500,1.039469,,811.712647
7500,1.042818,,809.105989
7500,1.080217,,781.092966
7500,1.038432,,812.523329
8000,1.279770,,800.144002
8000,1.255693,,815.486117
8000,1.256648,,814.866301
8000,1.252042,,817.864260
8000,1.253454,,816.942421
8500,1.515899,,810.245428
8500,1.514514,,810.986203
8500,1.518649,,808.777975
8500,1.515568,,810.422357
8500,1.515819,,810.287813
9000,1.778614,,819.739362
9000,1.777671,,820.174217
9000,1.779345,,819.402757
9000,1.811760,,804.742532
9000,1.780960,,818.659608
9500,2.097953,,817.344436
9500,2.101846,,815.830620
9500,2.097824,,817.394702
9500,2.098025,,817.316198
9500,2.101640,,815.910343
10000,2.449216,,816.587689
10000,2.457691,,813.771881
10000,2.456482,,814.172438
10000,2.463082,,811.990759
10000,2.456275,,814.241080
10500,2.846989,,813.227622
10500,2.841027,,814.934143
10500,2.844976,,813.803123
10500,2.844253,,814.009826
10500,2.847058,,813.207834
11000,3.268428,,814.458722
11000,3.261472,,816.195898
11000,3.251352,,818.736254
11000,3.260803,,816.363209
11000,3.253363,,818.230316
11500,3.706161,,820.727872
11500,3.717665,,818.188283
11500,3.702757,,821.482441
11500,3.707167,,820.505283
11500,3.713612,,819.081370
12000,4.211854,,820.541170
12000,4.214744,,819.978658
12000,4.246497,,813.847242
12000,4.249859,,813.203362
12000,4.211729,,820.565593
12500,4.788459,,815.763530
12500,4.780305,,817.154948
12500,4.770383,,818.854644
12500,4.761322,,820.412834
12500,4.781643,,816.926386
13000,5.378639,,816.935298
13000,5.363424,,819.252847
13000,5.398100,,813.990175
13000,5.363627,,819.221818
13000,5.357663,,820.133680
13500,6.052321,,813.035161
13500,6.048600,,813.535318
13500,6.012559,,818.411861
13500,5.995711,,820.711659
13500,5.989313,,821.588388
14000,6.716991,,817.032505
14000,6.718609,,816.835736
14000,6.738230,,814.457172
14000,6.702394,,818.811959
14000,6.703337,,818.696721
14500,7.416388,,822.132037
14500,7.436319,,819.928471
14500,7.483132,,814.799178
14500,7.422602,,821.443796
14500,7.444511,,819.026287
15000,8.304308,,812.831144
15000,8.335147,,809.823756
15000,8.222150,,820.953204
15000,8.228969,,820.272841
15000,8.271251,,816.079736
15500,9.074643,,820.720983
15500,9.318633,,799.232030
15500,9.092791,,819.082898
15500,9.127722,,815.948338
15500,9.162828,,812.822165
16000,9.971291,,821.558603
16000,9.973418,,821.383442
16000,9.979419,,820.889495
16000,10.036737,,816.201496
16000,9.974347,,821.306917
16500,10.899185,,824.304730
16500,10.941281,,821.133266
16500,10.919496,,822.771516
16500,10.920329,,822.708692
16500,10.906677,,823.738555
17000,11.975094,,820.536367
17000,11.978994,,820.269248
17000,11.935959,,823.226719
17000,11.942481,,822.777089
17000,11.967596,,821.050473
17500,12.996807,,824.721777
17500,13.015220,,823.555022
17500,12.987596,,825.306723
17500,13.008477,,823.981923
17500,12.987123,,825.336768
18000,14.092826,,827.655166
18000,14.111049,,826.586320
18000,14.101878,,827.123899
18000,14.124671,,825.789159
18000,14.132306,,825.343015
18500,15.597399,,811.882139
18500,15.421989,,821.116504
18500,15.456485,,819.283961
18500,15.408437,,821.838735
18500,15.421566,,821.139063
19000,16.593673,,826.700651
19000,16.603683,,826.202223
19000,16.631950,,824.798051
19000,16.550454,,828.859422
19000,16.625876,,825.099391
19500,17.993854,,824.156384
19500,18.083391,,820.075715
19500,18.005571,,823.620077
19500,18.014234,,823.224000
19500,18.011796,,823.335459
20000,19.648130,,814.326840
20000,19.432231,,823.374306
20000,19.471392,,821.718327
20000,19.468846,,821.825811
20000,19.502847,,820.393024
