size,exTime,gflops
2000,0.013565,,1179.488431
2000,0.013835,,1156.445710
2000,0.013411,,1193.045499
2000,0.013564,,1179.617391
2000,0.013239,,1208.516811
2500,0.044681,,699.407784
2500,0.044378,,704.173953
2500,0.044231,,706.515433
2500,0.044708,,698.983847
2500,0.045022,,694.106831
3000,0.073605,,733.644347
3000,0.073126,,738.448703
3000,0.073629,,733.409981
3000,0.073540,,734.291286
3000,0.073867,,731.039040
3500,0.114706,,747.562300
3500,0.114930,,746.106605
3500,0.113813,,753.426255
3500,0.113796,,753.543948
3500,0.114850,,746.623226
4000,0.165234,,774.658758
4000,0.164443,,778.384856
4000,0.162995,,785.298418
4000,0.163124,,784.680429
4000,0.163417,,783.271705
4500,0.243125,,749.615663
4500,0.239818,,759.950130
4500,0.240607,,757.458192
4500,0.245645,,741.922947
4500,0.235475,,773.966710
5000,0.326214,,766.368893
5000,0.331183,,754.869942
5000,0.325773,,767.404469
5000,0.341818,,731.383597
5000,0.332136,,752.704587
5500,0.422651,,787.292837
5500,0.426172,,780.788055
5500,0.432017,,770.224858
5500,0.426972,,779.325070
5500,0.423420,,785.862451
6000,0.544304,,793.673591
6000,0.580910,,743.660442
6000,0.581862,,742.444496
6000,0.557490,,774.902474
6000,0.555507,,777.668391
6500,0.698261,,786.596572
6500,0.718315,,764.636482
6500,0.719591,,763.281186
6500,0.726093,,756.445798
6500,0.704788,,779.312082
7000,0.912662,,751.647654
7000,0.924323,,742.164863
7000,0.883759,,776.229735
7000,0.875797,,783.286566
7000,0.906820,,756.489934
7500,1.239492,,680.722681
7500,1.084581,,777.950431
7500,1.120777,,752.825881
7500,1.070408,,788.250968
7500,1.090274,,773.888341
8000,1.313704,,779.475677
8000,1.305830,,784.175794
8000,1.287407,,795.397040
8000,1.293451,,791.680655
8000,1.282833,,798.233237
8500,1.583093,,775.854549
8500,1.580588,,777.084411
8500,1.548793,,793.036935
8500,1.557675,,788.514833
8500,1.606301,,764.645157
9000,1.874660,,777.741177
9000,1.869150,,780.033804
9000,1.844367,,790.515287
9000,1.834820,,794.628340
9000,1.909985,,763.356849
9500,2.267954,,756.077857
9500,2.173489,,788.938929
9500,2.201659,,778.844500
9500,2.198836,,779.844527
9500,2.287817,,749.513664
10000,2.515856,,794.958101
10000,2.574773,,776.767449
10000,2.675062,,747.646348
10000,2.715552,,736.498392
10000,2.683098,,745.407065
10500,3.036884,,762.376886
10500,2.941489,,787.101287
10500,2.989111,,774.561419
10500,2.901685,,797.898471
10500,2.911110,,795.315211
11000,3.433393,,775.326370
11000,3.437481,,774.404219
11000,3.583541,,742.840637
11000,3.691995,,721.019429
11000,3.503345,,759.845271
11500,3.949301,,770.199664
11500,3.799508,,800.564246
11500,4.055970,,749.943922
11500,4.089280,,743.835077
11500,3.825682,,795.086996
12000,4.819684,,717.059522
12000,4.841730,,713.794446
12000,5.132011,,673.420191
12000,4.532456,,762.500569
12000,4.816045,,717.601279
12500,5.062233,,771.645662
12500,5.481753,,712.591426
12500,5.137848,,760.289155
12500,4.912465,,795.171072
12500,5.288180,,738.675696
13000,5.846927,,751.505849
13000,5.630710,,780.363393
13000,6.133382,,716.407309
13000,5.832986,,753.301946
13000,5.631263,,780.286729
13500,6.295702,,781.604602
13500,6.415718,,766.983518
13500,6.412309,,767.391250
13500,6.576528,,748.229209
13500,6.153720,,799.638232
14000,7.108461,,772.037747
14000,7.519511,,729.834699
14000,7.303171,,751.454382
14000,7.262134,,755.700692
14000,6.935658,,791.273124
14500,8.318091,,733.010730
14500,8.927852,,682.947036
14500,8.717252,,699.446350
14500,7.850127,,776.707144
14500,8.633067,,706.266997
15000,8.588777,,785.909293
15000,8.968781,,752.610645
15000,8.823747,,764.981098
15000,8.533704,,790.981222
15000,9.047679,,746.047673
15500,9.413920,,791.142235
15500,9.817103,,758.650459
15500,9.559945,,779.057838
15500,10.631278,,700.550776
15500,9.293284,,801.412043
16000,10.321575,,793.677340
16000,10.253617,,798.937556
16000,10.493506,,780.673279
16000,10.830236,,756.400845
16000,10.364524,,790.388477
16500,11.455790,,784.254094
16500,11.407568,,787.569287
16500,11.397415,,788.270835
16500,11.442836,,785.141903
16500,11.309872,,794.372398
17000,12.305324,,798.516145
17000,12.345925,,795.890173
17000,12.298170,,798.980663
17000,12.309380,,798.253012
17000,12.319415,,797.602839
17500,13.406638,,799.510650
17500,13.361691,,802.200121
17500,13.399594,,799.930926
17500,13.405207,,799.596032
17500,13.432028,,797.999360
18000,14.484353,,805.282756
18000,14.482457,,805.388212
18000,14.758238,,790.338254
18000,14.595998,,799.123181
18000,14.487495,,805.108134
18500,16.582239,,763.663441
18500,16.183665,,782.471099
18500,16.329182,,775.498129
18500,16.176085,,782.837756
18500,16.166300,,783.311568
19000,17.268799,,794.380649
19000,17.722406,,774.048382
19000,17.305906,,792.677386
19000,17.667191,,776.467504
19000,20.445895,,670.941535
19500,18.652489,,795.054763
19500,18.673538,,794.158573
19500,18.561257,,798.962581
19500,18.653990,,794.990791
19500,18.893122,,784.928506
20000,20.111319,,795.571890
20000,20.017947,,799.282780
20000,20.132544,,794.733157
20000,21.269080,,752.265721
20000,20.073737,,797.061338
