size,exTime,gflops
2000,0.015071,,1061.615359
2000,0.014981,,1068.025551
2000,0.015390,,1039.602757
2000,0.015300,,1045.764484
2000,0.014768,,1083.420317
2500,0.026368,,1185.131226
2500,0.027283,,1145.409707
2500,0.028041,,1114.436709
2500,0.027051,,1155.229586
2500,0.026821,,1165.121026
3000,0.044003,,1227.175780
3000,0.043786,,1233.257305
3000,0.043759,,1234.032956
3000,0.044124,,1223.818000
3000,0.044133,,1223.562192
3500,0.069467,,1234.403332
3500,0.069293,,1237.506970
3500,0.069394,,1235.704858
3500,0.068325,,1255.039937
3500,0.068870,,1245.107381
4000,0.099002,,1292.901646
4000,0.099033,,1292.496085
4000,0.098395,,1300.874152
4000,0.099183,,1290.549429
4000,0.099190,,1290.448933
4500,0.139204,,1309.225143
4500,0.138251,,1318.254088
4500,0.138244,,1318.324271
4500,0.139095,,1310.254441
4500,0.138196,,1318.781444
5000,0.187581,,1332.758378
5000,0.188617,,1325.439595
5000,0.188185,,1328.478817
5000,0.188237,,1328.115885
5000,0.190909,,1309.526896
5500,0.244474,,1361.085277
5500,0.243997,,1363.747857
5500,0.244278,,1362.180040
5500,0.243511,,1366.466552
5500,0.243420,,1366.981642
6000,0.321107,,1345.346970
6000,0.321901,,1342.029590
6000,0.319906,,1350.394602
6000,0.319887,,1350.477731
6000,0.321069,,1345.504589
6500,0.399259,,1375.674975
6500,0.399315,,1375.478854
6500,0.399334,,1375.413923
6500,0.397854,,1380.530316
6500,0.400590,,1371.102093
7000,0.503488,,1362.494338
7000,0.501041,,1369.150191
7000,0.504460,,1359.868717
7000,0.499857,,1372.392867
7000,0.503843,,1361.535475
7500,0.617258,,1366.932993
7500,0.609606,,1384.090027
7500,0.613968,,1374.257069
7500,0.615643,,1370.519377
7500,0.613351,,1375.638833
8000,0.735996,,1391.312822
8000,0.740523,,1382.806814
8000,0.737560,,1388.361768
8000,0.737295,,1388.860497
8000,0.743255,,1377.723936
8500,0.882186,,1392.279422
8500,0.883757,,1389.805171
8500,0.877684,,1399.421591
8500,0.877828,,1399.192784
8500,0.885449,,1387.149218
9000,1.049278,,1389.526402
9000,1.051267,,1386.898248
9000,1.050451,,1387.974683
9000,1.047641,,1391.698664
9000,1.051554,,1386.519212
9500,1.237785,,1385.337687
9500,1.242073,,1380.554573
9500,1.248608,,1373.328844
9500,1.245363,,1376.907328
9500,1.305813,,1313.166652
10000,1.458333,,1371.429312
10000,1.448035,,1381.182555
10000,1.459222,,1370.593708
10000,1.446442,,1382.703205
10000,1.452625,,1376.817638
10500,1.653252,,1400.421778
10500,1.654902,,1399.025158
10500,1.657095,,1397.174344
10500,1.660144,,1394.607912
10500,1.647967,,1404.913116
11000,1.909575,,1394.027605
11000,1.908040,,1395.148947
11000,1.976421,,1346.879071
11000,1.894873,,1404.843175
11000,1.907684,,1395.408963
11500,2.156439,,1410.542966
11500,2.188229,,1390.050776
11500,2.174316,,1398.945945
11500,2.163584,,1405.885017
11500,2.145942,,1417.442857
12000,2.480846,,1393.073100
12000,2.469985,,1399.198686
12000,2.533434,,1364.156278
12000,2.560571,,1349.698906
12000,2.488697,,1388.678489
12500,2.812810,,1388.735705
12500,2.881944,,1355.422055
12500,2.801393,,1394.395467
12500,2.773596,,1408.370460
12500,2.821948,,1384.238719
13000,3.191931,,1376.596259
13000,3.180118,,1381.709751
13000,3.229628,,1360.528200
13000,3.184659,,1379.739664
13000,3.158598,,1391.123666
13500,3.552420,,1385.182316
13500,3.478934,,1414.441848
13500,3.509854,,1401.981458
13500,3.487497,,1410.968991
13500,3.503402,,1404.563496
14000,3.914724,,1401.886989
14000,3.919319,,1400.243082
14000,3.889627,,1410.932030
14000,3.908872,,1403.985726
14000,3.906483,,1404.844132
14500,4.404553,,1384.306236
14500,4.382845,,1391.162435
14500,4.390027,,1388.886773
14500,4.359913,,1398.479821
14500,4.359163,,1398.720407
15000,4.869053,,1386.306469
15000,4.912938,,1373.923286
15000,4.914689,,1373.433894
15000,4.886151,,1381.455353
15000,4.922029,,1371.385687
15500,5.339606,,1394.812662
15500,5.446915,,1367.333678
15500,5.357659,,1390.112790
15500,5.431842,,1371.127916
15500,5.376559,,1385.226025
16000,6.013545,,1362.258066
16000,5.987229,,1368.245562
16000,5.916737,,1384.546823
16000,5.933505,,1380.634205
16000,5.921113,,1383.523614
16500,6.483531,,1385.703279
16500,6.471164,,1388.351361
16500,6.439229,,1395.236808
16500,6.437665,,1395.575885
16500,6.447063,,1393.541512
17000,7.141058,,1375.986583
17000,7.091092,,1385.682241
17000,7.171710,,1370.105612
17000,7.012897,,1401.132808
17000,7.112884,,1381.436776
17500,7.742316,,1384.437214
17500,7.732444,,1386.204621
17500,7.708773,,1390.461184
17500,7.815448,,1371.482487
17500,7.690533,,1393.759119
18000,8.390927,,1390.072802
18000,8.399843,,1388.597384
18000,8.443701,,1381.384718
18000,8.450089,,1380.340565
18000,8.422573,,1384.849976
18500,9.188198,,1378.208152
18500,9.102390,,1391.200522
18500,9.183540,,1378.907330
18500,9.253624,,1368.463870
18500,9.117977,,1388.822393
19000,9.903050,,1385.229762
19000,9.967362,,1376.291884
19000,9.986738,,1373.621666
19000,9.958328,,1377.540542
19000,9.939279,,1380.180639
19500,10.693281,,1386.828793
19500,10.595884,,1399.576510
19500,10.666447,,1390.317751
19500,10.513515,,1410.541557
19500,10.639670,,1393.816743
20000,11.599331,,1379.389852
20000,11.628988,,1375.872052
20000,11.660287,,1372.178922
20000,11.596732,,1379.699029
20000,11.531460,,1387.508647
