size,exTime,gflops
2000,0.013863,,1154.136519
2000,0.014029,,1140.485178
2000,0.013436,,1190.842126
2000,0.013438,,1190.696168
2000,0.013252,,1207.379048
2500,0.024826,,1258.785619
2500,0.024026,,1300.697332
2500,0.024019,,1301.073754
2500,0.024861,,1256.971971
2500,0.024478,,1276.664413
3000,0.038067,,1418.556532
3000,0.037676,,1433.267313
3000,0.037555,,1437.904188
3000,0.039286,,1374.545604
3000,0.069577,,776.123910
3500,0.059156,,1449.545954
3500,0.058966,,1454.237306
3500,0.058756,,1459.435232
3500,0.058542,,1464.769801
3500,0.058439,,1467.349347
4000,0.083130,,1539.754896
4000,0.083672,,1529.783748
4000,0.082813,,1545.650411
4000,0.083181,,1538.806919
4000,0.083898,,1525.654440
4500,0.119922,,1519.742696
4500,0.118700,,1535.383617
4500,0.120739,,1509.448452
4500,0.119149,,1529.600758
4500,0.118597,,1536.712362
5000,0.164316,,1521.458097
5000,0.164574,,1519.074742
5000,0.165231,,1513.036217
5000,0.164893,,1516.132067
5000,0.164551,,1519.285879
5500,0.213080,,1561.621837
5500,0.213901,,1555.628434
5500,0.213084,,1561.589877
5500,0.212866,,1563.191839
5500,0.213571,,1558.032771
6000,0.277431,,1557.143720
6000,0.277689,,1555.696691
6000,0.277326,,1557.731257
6000,0.277769,,1555.248065
6000,0.280240,,1541.536817
6500,0.345001,,1592.025391
6500,0.346030,,1587.291161
6500,0.344518,,1594.255402
6500,0.345030,,1591.888387
6500,0.345001,,1592.023965
7000,0.430726,,1592.660955
7000,0.431059,,1591.430905
7000,0.430733,,1592.635213
7000,0.431456,,1589.966667
7000,0.431557,,1589.592520
7500,0.530335,,1590.975917
7500,0.529024,,1594.918138
7500,0.528967,,1595.089236
7500,0.529581,,1593.239933
7500,0.529333,,1593.986397
8000,0.638335,,1604.172455
8000,0.632747,,1618.339187
8000,0.633148,,1617.316039
8000,0.633327,,1616.859024
8000,0.634336,,1614.286292
8500,0.767039,,1601.288471
8500,0.768282,,1598.697684
8500,0.766009,,1603.441712
8500,0.772777,,1589.397864
8500,0.765304,,1604.917973
9000,0.904731,,1611.528855
9000,0.906692,,1608.042631
9000,0.898999,,1621.804371
9000,0.899665,,1620.603655
9000,0.899509,,1620.884740
9500,1.077897,,1590.828719
9500,1.084262,,1581.489886
9500,1.077498,,1591.417532
9500,1.084573,,1581.036573
9500,1.095242,,1565.636068
10000,1.274607,,1569.110759
10000,1.275238,,1568.334539
10000,1.271037,,1573.517837
10000,1.269830,,1575.013683
10000,1.270052,,1574.738153
10500,1.453221,,1593.184759
10500,1.448226,,1598.680522
10500,1.457599,,1588.399727
10500,1.470021,,1574.977952
10500,1.446185,,1600.936520
11000,1.669992,,1594.019498
11000,1.662030,,1601.655818
11000,1.671052,,1593.008014
11000,1.660985,,1602.663741
11000,1.663405,,1600.331388
11500,1.880251,,1617.736526
11500,1.868078,,1628.278232
11500,1.864803,,1631.137442
11500,1.868611,,1627.813808
11500,1.887245,,1611.740752
12000,2.156156,,1602.852765
12000,2.145922,,1610.496299
12000,2.144611,,1611.481363
12000,2.146058,,1610.394448
12000,2.149387,,1607.900556
12500,2.431406,,1606.580489
12500,2.435588,,1603.822320
12500,2.430380,,1607.259043
12500,2.439065,,1601.535912
12500,2.437284,,1602.706258
13000,2.780775,,1580.135174
13000,2.719208,,1615.911659
13000,2.718804,,1616.151732
13000,2.726820,,1611.401060
13000,2.744368,,1601.097356
13500,3.047432,,1614.720120
13500,3.082424,,1596.389506
13500,3.050735,,1612.971737
13500,3.037759,,1619.861969
13500,3.038659,,1619.382124
14000,3.424674,,1602.488412
14000,3.472539,,1580.399700
14000,3.420950,,1604.232761
14000,3.411631,,1608.614551
14000,3.419125,,1605.088879
14500,3.775882,,1614.788371
14500,3.769642,,1617.461456
14500,3.772672,,1616.162059
14500,3.777119,,1614.259310
14500,3.782711,,1611.872933
15000,4.178225,,1615.518367
15000,4.206825,,1604.535553
15000,4.187045,,1612.115407
15000,4.188590,,1611.520877
15000,4.192232,,1610.120650
15500,4.623612,,1610.807756
15500,4.586758,,1623.750372
15500,4.593827,,1621.251860
15500,4.601951,,1618.389647
15500,4.583796,,1624.799696
16000,5.078649,,1613.027373
16000,5.087408,,1610.250131
16000,5.075199,,1614.124019
16000,5.080302,,1612.502558
16000,5.083300,,1611.551519
16500,5.562476,,1615.153050
16500,5.559998,,1615.872913
16500,5.567210,,1613.779502
16500,5.605386,,1602.788956
16500,5.598714,,1604.698849
17000,6.123038,,1604.759023
17000,6.122587,,1604.877143
17000,6.136150,,1601.329860
17000,6.174591,,1591.360556
17000,6.118385,,1605.979304
17500,6.634689,,1615.561786
17500,6.645496,,1612.934491
17500,6.643946,,1613.310845
17500,6.642158,,1613.745005
17500,6.647147,,1612.533856
18000,7.205859,,1618.682730
18000,7.212944,,1617.092833
18000,7.209181,,1617.936986
18000,7.221551,,1615.165446
18000,7.236887,,1611.742718
18500,7.792659,,1625.023033
18500,7.786869,,1626.231232
18500,7.789902,,1625.598193
18500,7.785424,,1626.533109
18500,7.787146,,1626.173495
19000,8.433065,,1626.692055
19000,8.433501,,1626.608041
19000,8.436212,,1626.085287
19000,8.440744,,1625.212135
19000,8.436336,,1626.061338
19500,9.230261,,1606.644708
19500,9.170516,,1617.111914
19500,9.162160,,1618.586653
19500,9.162346,,1618.553886
19500,9.152048,,1620.375058
20000,9.871204,,1620.876170
20000,9.883494,,1618.860643
20000,9.933411,,1610.725740
20000,9.905967,,1615.188142
20000,9.948399,,1608.299039
